sample_id,dialects_present,n_dialects,has_all_six_dialects
MCQA_0074_5,"PNB,PNT1,PNT2,PNT3,PNT4",5,False
MCQA_0074_6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0077_0,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0080_0,"PNB,PNN,PNT1,PNT2,PNT4",5,False
MCQA_0081_3,"PNB,PNT1,PNT2,PNT3,PNT4",5,False
MCQA_0081_4,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0087_0,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0090_10,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0090_6,"PNB,PNN,PNT1,PNT3,PNT4",5,False
MCQA_0091_0,"PNB,PNT1,PNT2,PNT3,PNT4",5,False
MCQA_0091_1,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0092_1,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0092_2,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0095_1,"PNB,PNT1,PNT2,PNT3,PNT4",5,False
MCQA_0096_0,"PNB,PNN,PNT1,PNT3,PNT4",5,False
MCQA_0098_4,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
MCQA_0098_8,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
MCQA_0100_1,"PNB,PNT1,PNT2,PNT3,PNT4",5,False
MCQA_0100_2,"PNN,PNT1,PNT3,PNT4",4,False
MCQA_0104_4,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
MCQA_0106_3,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
MCQA_0114_1,"PNB,PNT1,PNT2,PNT3,PNT4",5,False
MCQA_0114_6,"PNN,PNT1,PNT2,PNT4",4,False
MCQA_0116_5,"PNB,PNN,PNT2,PNT3,PNT4",5,False
MCQA_0116_6,"PNN,PNT1,PNT3,PNT4",4,False
MCQA_0120_3,"PNT1,PNT2,PNT3,PNT4",4,False
MCQA_0120_7,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
MCQA_0123_0,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0123_6,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
MCQA_0126_2,"PNB,PNT1,PNT2,PNT3,PNT4",5,False
MCQA_0127_0,"PNN,PNT1,PNT3,PNT4",4,False
MCQA_0127_3,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
MCQA_0128_1,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
MCQA_0128_2,"PNB,PNT1,PNT2,PNT4",4,False
MCQA_0137_1,"PNN,PNT1,PNT3,PNT4",4,False
MCQA_0137_3,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0138_3,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
MCQA_0138_5,"PNT1,PNT2,PNT3,PNT4",4,False
MCQA_0140_3,"PNN,PNT1,PNT3,PNT4",4,False
MCQA_0141_2,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0141_3,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
MCQA_0142_1,"PNT1,PNT2,PNT3,PNT4",4,False
MCQA_0144_0,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
MCQA_0144_3,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0147_4,"PNN,PNT1,PNT3,PNT4",4,False
MCQA_0148_3,"PNT1,PNT2,PNT3,PNT4",4,False
MCQA_0151_1,"PNN,PNT1,PNT2,PNT4",4,False
MCQA_0151_3,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0152_0,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
MCQA_0152_3,"PNT1,PNT2,PNT4",3,False
NLI_0028,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
NLI_0064,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
NLI_0157,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
NLI_0240,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
NLI_0337,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
NLI_0448,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
NLI_0459,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
NLI_0511,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
NLI_0515,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
NLI_0516,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
NLI_0521,"PNB,PNT1,PNT2,PNT3,PNT4",5,False
NLI_0647,"PNB,PNT1,PNT2,PNT3,PNT4",5,False
NLI_0716,"PNT1,PNT2,PNT3,PNT4",4,False
NLI_0729,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
NLI_0830,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
NLI_0959,"PNB,PNT1,PNT2,PNT3,PNT4",5,False
NLI_1019,"PNT1,PNT2,PNT3,PNT4",4,False
NLI_1069,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
NLI_1077,"PNN,PNT1,PNT3,PNT4",4,False
NLI_1114,"PNT1,PNT2,PNT3,PNT4",4,False
NLI_1405,"PNT2,PNT3,PNT4",3,False
NLI_1420,"PNN,PNT1,PNT3,PNT4",4,False
NLI_1465,"PNT1,PNT3,PNT4",3,False
NLI_1639,"PNB,PNT1,PNT3",3,False
NLI_1677,PNT4,1,False
NLI_1749,"PNN,PNT4",2,False
NLI_1767,"PNT1,PNT2,PNT3",3,False
NLI_1775,"PNB,PNT1,PNT3,PNT4",4,False
NLI_1921,PNT4,1,False
NLI_2059,"PNN,PNT2,PNT4",3,False
NLI_2198,"PNT1,PNT4",2,False
NLI_2313,"PNB,PNT1,PNT2,PNT4",4,False
NLI_2559,PNN,1,False
NLI_2615,"PNT1,PNT2,PNT3,PNT4",4,False
NLI_2837,"PNB,PNT1,PNT3,PNT4",4,False
NLI_2899,PNT4,1,False
NLI_2948,"PNN,PNT2,PNT4",3,False
NLI_3048,"PNT1,PNT2",2,False
NLI_3107,"PNB,PNT1,PNT3,PNT4",4,False
NLI_3108,"PNT3,PNT4",2,False
NLI_3171,"PNN,PNT3,PNT4",3,False
NLI_3172,"PNT1,PNT2,PNT4",3,False
NLI_3201,"PNB,PNT1",2,False
NLI_3211,PNT2,1,False
NLI_3269,"PNB,PNN,PNT4",3,False
NLI_3276,"PNT1,PNT2,PNT4",3,False
NLI_3340,"PNT1,PNT4",2,False
NLI_3719,PNT4,1,False
NLI_3739,"PNB,PNN,PNT2,PNT3,PNT4",5,False
NLI_3915,"PNB,PNN,PNT1",3,False
NLI_3951,"PNT1,PNT3,PNT4",3,False
NLI_4015,"PNT2,PNT3,PNT4",3,False
NLI_4176,"PNN,PNT2,PNT3",3,False
NLI_4217,"PNB,PNT1,PNT4",3,False
NLI_4221,"PNT1,PNT4",2,False
NLI_4233,PNB,1,False
NLI_4266,"PNN,PNT2,PNT4",3,False
NLI_4394,"PNB,PNT1,PNT4",3,False
NLI_4572,"PNT1,PNT2,PNT3,PNT4",4,False
NLI_4616,"PNB,PNT4",2,False
NLI_4654,"PNB,PNN,PNT2,PNT4",4,False
NLI_4746,PNT1,1,False
NLI_4801,"PNB,PNT1,PNT4",3,False
NLI_4856,"PNB,PNT2,PNT3",3,False
NLI_4916,"PNN,PNT3,PNT4",3,False
NLI_5143,"PNB,PNT1,PNT4",3,False
NLI_5167,"PNB,PNT1,PNT2,PNT4",4,False
NLI_5263,PNT2,1,False
NLI_5366,"PNB,PNN,PNT4",3,False
NLI_5368,"PNB,PNT1,PNT4",3,False
NLI_5451,"PNT1,PNT4",2,False
NLI_5518,"PNB,PNT2,PNT3,PNT4",4,False
NLI_5586,"PNB,PNN,PNT4",3,False
NLI_5653,"PNN,PNT1,PNT2",3,False
NLI_5704,"PNB,PNT1,PNT3",3,False
NLI_5715,"PNT2,PNT4",2,False
NLI_5733,"PNB,PNN,PNT3,PNT4",4,False
NLI_5735,"PNT1,PNT4",2,False
NLI_5746,"PNB,PNT1,PNT2,PNT4",4,False
NLI_6129,"PNB,PNN,PNT4",3,False
NLI_6155,"PNB,PNT1,PNT2,PNT3,PNT4",5,False
NLI_6169,"PNT1,PNT2,PNT4",3,False
NLI_6280,"PNB,PNT4",2,False
NLI_6323,"PNB,PNN",2,False
NLI_6350,PNT1,1,False
NLI_6594,"PNB,PNT1,PNT2,PNT3,PNT4",5,False
NLI_6637,"PNB,PNT3,PNT4",3,False
NLI_6854,"PNN,PNT2,PNT4",3,False
NLI_6960,"PNB,PNT1,PNT4",3,False
NLI_7176,"PNT1,PNT2,PNT4",3,False
NLI_7469,PNB,1,False
NLI_7524,"PNN,PNT4",2,False
NLI_7530,"PNB,PNT1,PNT2,PNT3,PNT4",5,False
NLI_7681,PNT1,1,False
NLI_7691,"PNB,PNT3,PNT4",3,False
NLI_7826,"PNB,PNN,PNT2,PNT3,PNT4",5,False
NLI_7858,"PNT1,PNT2",2,False
NLI_7901,"PNB,PNT1,PNT4",3,False
QA_0268,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
QA_0363,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
QA_0572,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
QA_10332,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
QA_10377,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
QA_10410,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
QA_11490,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
QA_11800,"PNB,PNT2,PNT3,PNT4",4,False
QA_12019,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
QA_1203,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
QA_12099,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
QA_1224,"PNB,PNN,PNT1,PNT2,PNT4",5,False
QA_12824,"PNB,PNN,PNT2,PNT3,PNT4",5,False
QA_13646,"PNT1,PNT2,PNT3,PNT4",4,False
QA_13794,"PNB,PNN,PNT1,PNT3,PNT4",5,False
QA_13818,"PNB,PNN,PNT1,PNT3,PNT4",5,False
QA_14176,"PNN,PNT2,PNT3,PNT4",4,False
QA_14184,"PNB,PNT1,PNT3,PNT4",4,False
QA_14257,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
QA_14728,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
QA_1521,"PNB,PNN,PNT4",3,False
QA_15627,"PNB,PNN,PNT1,PNT3,PNT4",5,False
QA_15710,"PNT1,PNT2,PNT3,PNT4",4,False
QA_16173,"PNN,PNT1,PNT4",3,False
QA_17724,"PNN,PNT2,PNT3,PNT4",4,False
QA_17758,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
QA_17769,"PNB,PNT1,PNT3,PNT4",4,False
QA_17771,"PNN,PNT1,PNT4",3,False
QA_17926,"PNB,PNN,PNT2,PNT4",4,False
QA_17995,"PNN,PNT1,PNT3,PNT4",4,False
QA_18023,"PNB,PNT1,PNT2,PNT4",4,False
QA_18041,"PNT1,PNT2,PNT3,PNT4",4,False
QA_18170,"PNN,PNT3,PNT4",3,False
QA_18375,"PNN,PNT1,PNT3,PNT4",4,False
QA_18652,"PNB,PNT1,PNT2,PNT4",4,False
QA_18786,"PNB,PNT1,PNT3,PNT4",4,False
QA_18828,"PNN,PNT2,PNT3,PNT4",4,False
QA_19250,"PNB,PNN,PNT1,PNT2,PNT4",5,False
QA_19280,"PNB,PNT1,PNT3,PNT4",4,False
QA_19281,"PNT1,PNT3,PNT4",3,False
QA_19329,"PNB,PNN,PNT2,PNT3,PNT4",5,False
QA_19358,"PNB,PNN,PNT1,PNT3,PNT4",5,False
QA_19406,"PNT1,PNT2,PNT4",3,False
QA_19877,"PNB,PNT1,PNT2,PNT3,PNT4",5,False
QA_20004,"PNB,PNN,PNT4",3,False
QA_20495,"PNN,PNT1,PNT3,PNT4",4,False
QA_20639,"PNB,PNT1,PNT2,PNT3,PNT4",5,False
QA_21117,"PNB,PNT1,PNT4",3,False
QA_21489,"PNN,PNT2,PNT3,PNT4",4,False
QA_22617,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
QA_22620,"PNB,PNT1,PNT3,PNT4",4,False
QA_22836,"PNT1,PNT3,PNT4",3,False
QA_2325,"PNB,PNN,PNT2,PNT4",4,False
QA_23452,"PNB,PNN,PNT1,PNT3,PNT4",5,False
QA_23724,"PNT1,PNT2,PNT4",3,False
QA_23978,"PNT1,PNT2,PNT3,PNT4",4,False
QA_24045,"PNB,PNN,PNT3,PNT4",4,False
QA_25984,"PNN,PNT1,PNT4",3,False
QA_26154,"PNB,PNT1,PNT2,PNT3,PNT4",5,False
QA_26357,"PNT1,PNT3,PNT4",3,False
QA_26456,"PNN,PNT2,PNT4",3,False
QA_26462,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
QA_26558,"PNB,PNT1,PNT3,PNT4",4,False
QA_26719,"PNB,PNT1,PNT3,PNT4",4,False
QA_26901,"PNN,PNT2,PNT4",3,False
QA_27000,"PNN,PNT1,PNT3,PNT4",4,False
QA_27033,"PNT1,PNT2,PNT3,PNT4",4,False
QA_2707,"PNB,PNT1,PNT2,PNT4",4,False
QA_27538,"PNN,PNT4",2,False
QA_3137,"PNN,PNT1,PNT3,PNT4",4,False
QA_3368,"PNT1,PNT2,PNT3,PNT4",4,False
QA_3410,"PNB,PNT1,PNT3,PNT4",4,False
QA_3982,"PNB,PNN,PNT2,PNT4",4,False
QA_4111,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
QA_4230,"PNT1,PNT4",2,False
QA_4380,"PNT1,PNT3,PNT4",3,False
QA_4814,"PNB,PNN,PNT2,PNT3,PNT4",5,False
QA_4833,"PNN,PNT1,PNT3,PNT4",4,False
QA_4887,"PNT1,PNT2,PNT4",3,False
QA_5051,"PNT1,PNT2,PNT3,PNT4",4,False
QA_5750,"PNB,PNN,PNT4",3,False
QA_6624,"PNN,PNT1,PNT3,PNT4",4,False
QA_6664,"PNT1,PNT2,PNT4",3,False
QA_6673,"PNT1,PNT3,PNT4",3,False
QA_6720,"PNB,PNN,PNT2,PNT3,PNT4",5,False
QA_7436,"PNN,PNT1,PNT2,PNT4",4,False
QA_7442,"PNB,PNT1,PNT3,PNT4",4,False
QA_7517,"PNT1,PNT3,PNT4",3,False
QA_7713,"PNN,PNT2",2,False
QA_7747,"PNB,PNN,PNT1,PNT3,PNT4",5,False
QA_8086,"PNT1,PNT2,PNT4",3,False
QA_8137,"PNT1,PNT2,PNT3,PNT4",4,False
QA_8904,"PNB,PNN,PNT4",3,False
QA_9223,"PNN,PNT1,PNT3,PNT4",4,False
QA_9483,"PNB,PNT1,PNT2,PNT4",4,False
QA_9520,"PNB,PNT1,PNT3,PNT4",4,False
QA_9601,"PNN,PNT2,PNT4",3,False
QA_9637,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
QA_9767,"PNT1,PNT3,PNT4",3,False
QA_9774,"PNB,PNT1,PNT4",3,False
SENT_0018,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
SENT_0070,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
SENT_0192,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
SENT_0237,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
SENT_0343,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
SENT_0462,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
SENT_0534,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
SENT_0572,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
SENT_0626,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
SENT_0696,"PNB,PNN,PNT2,PNT3,PNT4",5,False
SENT_0814,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
SENT_0835,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
SENT_0895,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
SENT_0958,"PNN,PNT2,PNT3,PNT4",4,False
SENT_1093,"PNB,PNT1,PNT2,PNT3,PNT4",5,False
SENT_1098,"PNT1,PNT2,PNT3,PNT4",4,False
SENT_1146,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
SENT_1161,"PNB,PNN,PNT2,PNT3,PNT4",5,False
SENT_1172,"PNB,PNT1,PNT2,PNT3,PNT4",5,False
SENT_1192,"PNT1,PNT2,PNT3,PNT4",4,False
SENT_1222,"PNB,PNN,PNT1,PNT3,PNT4",5,False
SENT_1239,"PNN,PNT3,PNT4",3,False
SENT_1338,"PNT1,PNT2,PNT3,PNT4",4,False
SENT_1410,"PNB,PNT1,PNT4",3,False
SENT_1485,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
SENT_1546,"PNN,PNT2,PNT4",3,False
SENT_1579,"PNB,PNT1,PNT4",3,False
SENT_1626,"PNT1,PNT3,PNT4",3,False
SENT_1655,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
SENT_1726,"PNB,PNN,PNT4",3,False
SENT_1771,"PNB,PNT1,PNT2,PNT3,PNT4",5,False
SENT_1894,"PNT1,PNT2,PNT4",3,False
SENT_1908,"PNN,PNT1,PNT3,PNT4",4,False
SENT_1915,"PNN,PNT4",2,False
SENT_1971,"PNB,PNT1,PNT2,PNT3,PNT4",5,False
SENT_2129,"PNB,PNT1,PNT4",3,False
SENT_2148,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
SENT_2217,"PNN,PNT2,PNT4",3,False
SENT_2308,"PNT1,PNT3,PNT4",3,False
SENT_2473,"PNB,PNT1,PNT4",3,False
SENT_2507,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
SENT_2515,"PNB,PNN,PNT3,PNT4",4,False
SENT_2727,"PNT1,PNT2,PNT4",3,False
SENT_2816,"PNT1,PNT2,PNT4",3,False
SENT_2938,"PNB,PNN,PNT1,PNT3,PNT4",5,False
SENT_3023,"PNB,PNN,PNT4",3,False
SENT_3060,"PNT1,PNT2,PNT3,PNT4",4,False
SENT_3067,"PNT1,PNT3,PNT4",3,False
SENT_3094,"PNN,PNT1,PNT2,PNT4",4,False
SENT_3169,"PNB,PNN,PNT2,PNT3,PNT4",5,False
SENT_3243,"PNT1,PNT4",2,False
SENT_3249,"PNT1,PNT4",2,False
SENT_3273,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
SENT_3427,"PNB,PNT3,PNT4",3,False
SENT_3469,"PNB,PNT1,PNT2,PNT4",4,False
SENT_3514,"PNT1,PNT2,PNT4",3,False
SENT_3520,"PNB,PNN,PNT1,PNT4",4,False
SENT_3555,"PNT3,PNT4",2,False
SENT_3618,"PNT1,PNT2,PNT3,PNT4",4,False
SENT_3670,"PNB,PNT1,PNT4",3,False
SENT_3750,"PNN,PNT1,PNT2,PNT4",4,False
SENT_3763,"PNT2,PNT3,PNT4",3,False
SENT_3814,"PNT1,PNT4",2,False
SENT_3906,"PNB,PNT1,PNT4",3,False
SENT_3910,"PNN,PNT1,PNT2,PNT3,PNT4",5,False
SENT_4003,"PNB,PNT4",2,False
SENT_4035,"PNT1,PNT2,PNT3,PNT4",4,False
SENT_4057,"PNT1,PNT2,PNT4",3,False
SENT_4084,"PNB,PNN,PNT1,PNT4",4,False
SENT_4150,"PNT3,PNT4",2,False
SENT_4155,"PNT1,PNT2,PNT3,PNT4",4,False
SENT_4160,"PNT1,PNT4",2,False
SENT_4428,"PNB,PNN,PNT1,PNT2,PNT4",5,False
SENT_4445,PNT4,1,False
SENT_4494,"PNT1,PNT3,PNT4",3,False
SENT_4519,"PNT1,PNT4",2,False
SENT_4550,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
SENT_4733,"PNB,PNT4",2,False
SENT_4737,"PNT1,PNT2,PNT3,PNT4",4,False
SENT_4745,"PNT1,PNT4",2,False
SENT_4768,"PNN,PNT1,PNT4",3,False
SENT_4790,"PNB,PNT4",2,False
SENT_4809,"PNT1,PNT3,PNT4",3,False
SENT_4861,"PNT1,PNT4",2,False
SENT_4885,"PNN,PNT1,PNT2,PNT4",4,False
SENT_4959,"PNB,PNT4",2,False
SENT_4964,"PNB,PNT1,PNT3,PNT4",4,False
SENT_4989,"PNT1,PNT4",2,False
SENT_5008,"PNN,PNT3,PNT4",3,False
SENT_5017,PNT4,1,False
SENT_5154,"PNB,PNT1,PNT4",3,False
SENT_5251,"PNT1,PNT4",2,False
SENT_5315,"PNB,PNN,PNT4",3,False
SENT_5360,PNT4,1,False
SENT_5407,"PNT1,PNT3,PNT4",3,False
SENT_5421,"PNB,PNT1,PNT3,PNT4",4,False
SENT_5441,"PNN,PNT4",2,False
SENT_5456,PNT4,1,False
SENT_5521,"PNT1,PNT4",2,False
SENT_5531,"PNB,PNT1,PNT4",3,False
