sample_group,n_rows,n_dialects,dialects_present,is_complete
MCQA_0123_0,5,5,"PNB,PNN,PNT1,PNT2,PNT4",False
MCQA_0123_6,4,4,"PNN,PNT2,PNT3,PNT4",False
MCQA_0126_2,3,3,"PNB,PNT1,PNT4",False
MCQA_0127_0,3,3,"PNN,PNT3,PNT4",False
MCQA_0127_3,4,4,"PNN,PNT1,PNT2,PNT4",False
MCQA_0128_1,5,5,"PNN,PNT1,PNT2,PNT3,PNT4",False
MCQA_0128_2,3,3,"PNB,PNT1,PNT4",False
MCQA_0137_1,3,3,"PNN,PNT3,PNT4",False
MCQA_0137_3,5,5,"PNB,PNN,PNT1,PNT3,PNT4",False
MCQA_0138_3,4,4,"PNN,PNT1,PNT3,PNT4",False
MCQA_0138_5,3,3,"PNT1,PNT2,PNT4",False
MCQA_0140_3,1,1,PNT4,False
MCQA_0141_2,5,5,"PNB,PNN,PNT1,PNT2,PNT4",False
MCQA_0141_3,5,5,"PNN,PNT1,PNT2,PNT3,PNT4",False
MCQA_0142_1,3,3,"PNT1,PNT2,PNT4",False
MCQA_0144_0,1,1,PNT4,False
MCQA_0144_3,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
MCQA_0147_4,4,4,"PNN,PNT1,PNT3,PNT4",False
MCQA_0148_3,2,2,"PNT3,PNT4",False
MCQA_0151_1,3,3,"PNT1,PNT2,PNT4",False
MCQA_0151_3,5,5,"PNB,PNN,PNT1,PNT3,PNT4",False
MCQA_0152_0,3,3,"PNN,PNT2,PNT4",False
MCQA_0152_3,2,2,"PNT2,PNT4",False
NLI_0028,4,4,"PNN,PNT1,PNT2,PNT3",False
NLI_0064,4,4,"PNN,PNT1,PNT2,PNT3",False
NLI_0157,3,3,"PNT1,PNT2,PNT3",False
NLI_0240,2,2,"PNN,PNT1",False
NLI_0337,4,4,"PNN,PNT1,PNT2,PNT4",False
NLI_0448,3,3,"PNT1,PNT3,PNT4",False
NLI_0459,4,4,"PNB,PNN,PNT1,PNT3",False
NLI_0511,3,3,"PNN,PNT1,PNT3",False
NLI_0515,2,2,"PNN,PNT3",False
NLI_0516,4,4,"PNB,PNN,PNT2,PNT3",False
NLI_0521,1,1,PNT3,False
NLI_0647,1,1,PNT2,False
NLI_0716,3,3,"PNT1,PNT3,PNT4",False
NLI_0729,1,1,PNB,False
NLI_0830,1,1,PNT4,False
NLI_0959,3,3,"PNB,PNT1,PNT4",False
NLI_1069,2,2,"PNT3,PNT4",False
NLI_1077,1,1,PNT4,False
NLI_1114,2,2,"PNT1,PNT4",False
NLI_1405,1,1,PNT4,False
NLI_1420,2,2,"PNT3,PNT4",False
NLI_1639,2,2,"PNB,PNT1",False
NLI_1749,1,1,PNT4,False
NLI_1767,1,1,PNT1,False
NLI_1775,3,3,"PNB,PNT1,PNT4",False
NLI_2059,1,1,PNT4,False
NLI_2198,1,1,PNT1,False
NLI_2313,3,3,"PNB,PNT1,PNT4",False
NLI_2615,2,2,"PNT1,PNT4",False
NLI_2837,2,2,"PNT1,PNT3",False
NLI_2948,1,1,PNT4,False
NLI_3048,1,1,PNT1,False
NLI_3107,2,2,"PNB,PNT1",False
NLI_3172,1,1,PNT2,False
NLI_3201,1,1,PNT1,False
NLI_3340,1,1,PNT1,False
NLI_3739,1,1,PNT3,False
NLI_3915,1,1,PNB,False
NLI_3951,1,1,PNT1,False
NLI_4217,1,1,PNB,False
NLI_4221,1,1,PNT1,False
NLI_4394,1,1,PNB,False
NLI_4572,2,2,"PNT1,PNT3",False
NLI_4801,2,2,"PNB,PNT1",False
NLI_4916,1,1,PNT3,False
NLI_5167,1,1,PNT1,False
NLI_5366,1,1,PNB,False
NLI_5451,1,1,PNT1,False
NLI_5518,1,1,PNT3,False
NLI_5704,2,2,"PNB,PNT1",False
NLI_5733,1,1,PNT3,False
NLI_5746,3,3,"PNB,PNT1,PNT2",False
NLI_6155,1,1,PNT3,False
NLI_6169,1,1,PNT1,False
NLI_6280,1,1,PNB,False
NLI_6594,2,2,"PNT1,PNT3",False
NLI_6960,1,1,PNB,False
NLI_7176,1,1,PNT1,False
NLI_7469,1,1,PNB,False
NLI_7530,2,2,"PNB,PNT3",False
NLI_7681,1,1,PNT1,False
NLI_7691,1,1,PNB,False
NLI_7826,1,1,PNT3,False
NLI_7901,2,2,"PNB,PNT1",False
QA_0268,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
QA_0363,5,5,"PNN,PNT1,PNT2,PNT3,PNT4",False
QA_0572,5,5,"PNN,PNT1,PNT2,PNT3,PNT4",False
QA_10332,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
QA_10377,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
QA_10410,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
QA_11490,5,5,"PNB,PNT1,PNT2,PNT3,PNT4",False
QA_11800,3,3,"PNT2,PNT3,PNT4",False
QA_12019,4,4,"PNB,PNT2,PNT3,PNT4",False
QA_1203,5,5,"PNN,PNT1,PNT2,PNT3,PNT4",False
QA_12099,4,4,"PNB,PNT1,PNT2,PNT3",False
QA_1224,3,3,"PNN,PNT1,PNT4",False
QA_12824,4,4,"PNB,PNT2,PNT3,PNT4",False
QA_13646,1,1,PNT3,False
QA_13794,3,3,"PNT1,PNT3,PNT4",False
QA_13818,4,4,"PNB,PNN,PNT1,PNT3",False
QA_14176,2,2,"PNT3,PNT4",False
QA_14184,1,1,PNT4,False
QA_14257,2,2,"PNT1,PNT3",False
QA_14728,3,3,"PNN,PNT1,PNT4",False
QA_1521,2,2,"PNN,PNT4",False
QA_15627,3,3,"PNB,PNT3,PNT4",False
QA_15710,1,1,PNT1,False
QA_16173,2,2,"PNT1,PNT4",False
QA_17724,3,3,"PNN,PNT3,PNT4",False
QA_17758,2,2,"PNB,PNT3",False
QA_17769,2,2,"PNT1,PNT3",False
QA_17771,2,2,"PNT1,PNT4",False
QA_17926,2,2,"PNN,PNT4",False
QA_17995,1,1,PNT4,False
QA_18023,2,2,"PNB,PNT1",False
QA_18041,3,3,"PNT1,PNT3,PNT4",False
QA_18375,2,2,"PNT3,PNT4",False
QA_18652,3,3,"PNB,PNT1,PNT4",False
QA_18786,3,3,"PNT1,PNT3,PNT4",False
QA_18828,2,2,"PNN,PNT3",False
QA_19280,3,3,"PNB,PNT1,PNT4",False
QA_19281,2,2,"PNT1,PNT4",False
QA_19329,3,3,"PNB,PNN,PNT3",False
QA_19358,3,3,"PNB,PNT3,PNT4",False
QA_19406,2,2,"PNT1,PNT4",False
QA_19877,1,1,PNT1,False
QA_20004,3,3,"PNB,PNN,PNT4",False
QA_20495,2,2,"PNT3,PNT4",False
QA_20639,3,3,"PNB,PNT1,PNT3",False
QA_21117,3,3,"PNB,PNT1,PNT4",False
QA_21489,2,2,"PNN,PNT3",False
QA_22617,2,2,"PNT2,PNT4",False
QA_22620,2,2,"PNB,PNT1",False
QA_22836,3,3,"PNT1,PNT3,PNT4",False
QA_2325,3,3,"PNB,PNN,PNT4",False
QA_23452,2,2,"PNB,PNT4",False
QA_23724,2,2,"PNT1,PNT4",False
QA_23978,3,3,"PNT1,PNT3,PNT4",False
QA_24045,3,3,"PNB,PNN,PNT3",False
QA_26154,3,3,"PNB,PNT1,PNT4",False
QA_26357,2,2,"PNT1,PNT4",False
QA_26456,1,1,PNN,False
QA_26462,2,2,"PNT3,PNT4",False
QA_26558,3,3,"PNB,PNT1,PNT3",False
QA_26719,3,3,"PNB,PNT1,PNT4",False
QA_26901,2,2,"PNN,PNT4",False
QA_27000,1,1,PNT3,False
QA_27033,3,3,"PNT1,PNT3,PNT4",False
QA_2707,3,3,"PNB,PNT1,PNT4",False
QA_27538,2,2,"PNN,PNT4",False
QA_3137,2,2,"PNT3,PNT4",False
QA_3368,2,2,"PNT1,PNT4",False
QA_3410,4,4,"PNB,PNT1,PNT3,PNT4",False
QA_3982,3,3,"PNB,PNN,PNT4",False
QA_4111,1,1,PNT4,False
QA_4230,2,2,"PNT1,PNT4",False
QA_4380,3,3,"PNT1,PNT3,PNT4",False
QA_4814,4,4,"PNB,PNN,PNT3,PNT4",False
QA_4833,2,2,"PNT3,PNT4",False
QA_4887,2,2,"PNT1,PNT4",False
QA_5051,2,2,"PNT1,PNT4",False
QA_5750,3,3,"PNB,PNN,PNT4",False
QA_6624,2,2,"PNT3,PNT4",False
QA_6664,2,2,"PNT1,PNT4",False
QA_6673,2,2,"PNT1,PNT4",False
QA_6720,3,3,"PNN,PNT3,PNT4",False
QA_7436,1,1,PNT4,False
QA_7442,3,3,"PNT1,PNT3,PNT4",False
QA_7517,3,3,"PNT1,PNT3,PNT4",False
QA_7713,1,1,PNN,False
QA_7747,1,1,PNT4,False
QA_8086,2,2,"PNT1,PNT4",False
QA_8137,2,2,"PNT1,PNT3",False
QA_8904,1,1,PNN,False
QA_9223,1,1,PNT4,False
QA_9483,1,1,PNT1,False
QA_9520,3,3,"PNT1,PNT3,PNT4",False
QA_9601,2,2,"PNN,PNT4",False
QA_9637,1,1,PNT3,False
QA_9767,2,2,"PNT1,PNT4",False
QA_9774,1,1,PNT1,False
SENT_0018,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
SENT_0070,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
SENT_0192,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
SENT_0237,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
SENT_0343,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
SENT_0462,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
SENT_0534,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
SENT_0572,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
SENT_0626,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
SENT_0696,4,4,"PNN,PNT2,PNT3,PNT4",False
SENT_0814,4,4,"PNN,PNT2,PNT3,PNT4",False
SENT_0835,5,5,"PNN,PNT1,PNT2,PNT3,PNT4",False
SENT_0895,5,5,"PNN,PNT1,PNT2,PNT3,PNT4",False
SENT_0958,3,3,"PNT2,PNT3,PNT4",False
SENT_1093,3,3,"PNT2,PNT3,PNT4",False
SENT_1098,4,4,"PNT1,PNT2,PNT3,PNT4",False
SENT_1146,5,5,"PNN,PNT1,PNT2,PNT3,PNT4",False
SENT_1161,3,3,"PNT2,PNT3,PNT4",False
SENT_1172,1,1,PNT4,False
SENT_1192,2,2,"PNT1,PNT4",False
SENT_1222,3,3,"PNN,PNT1,PNT4",False
SENT_1239,3,3,"PNN,PNT3,PNT4",False
SENT_1338,2,2,"PNT3,PNT4",False
SENT_1410,2,2,"PNT1,PNT4",False
SENT_1485,2,2,"PNN,PNT1",False
SENT_1546,2,2,"PNN,PNT4",False
SENT_1626,2,2,"PNT1,PNT4",False
SENT_1655,3,3,"PNN,PNT1,PNT3",False
SENT_1726,2,2,"PNN,PNT4",False
SENT_1771,1,1,PNT3,False
SENT_1894,1,1,PNT1,False
SENT_1908,3,3,"PNN,PNT1,PNT4",False
SENT_1915,2,2,"PNN,PNT4",False
SENT_1971,2,2,"PNT3,PNT4",False
SENT_2129,2,2,"PNT1,PNT4",False
SENT_2148,2,2,"PNN,PNT1",False
SENT_2217,2,2,"PNN,PNT4",False
SENT_2473,2,2,"PNT1,PNT4",False
SENT_2507,3,3,"PNN,PNT1,PNT3",False
SENT_2515,1,1,PNN,False
SENT_2727,1,1,PNT4,False
SENT_2816,1,1,PNT1,False
SENT_2938,2,2,"PNN,PNT1",False
SENT_3023,2,2,"PNN,PNT4",False
SENT_3060,2,2,"PNT3,PNT4",False
SENT_3094,2,2,"PNN,PNT1",False
SENT_3243,1,1,PNT4,False
SENT_3249,1,1,PNT4,False
SENT_3273,3,3,"PNN,PNT1,PNT3",False
SENT_3427,1,1,PNB,False
SENT_3469,1,1,PNT4,False
SENT_3520,3,3,"PNB,PNN,PNT1",False
SENT_3555,1,1,PNT4,False
SENT_3618,1,1,PNT3,False
SENT_3670,1,1,PNT4,False
SENT_3750,2,2,"PNN,PNT1",False
SENT_3814,1,1,PNT4,False
SENT_3906,1,1,PNT4,False
SENT_3910,3,3,"PNN,PNT1,PNT3",False
SENT_4003,1,1,PNB,False
SENT_4057,1,1,PNT4,False
SENT_4084,2,2,"PNN,PNT1",False
SENT_4150,1,1,PNT4,False
SENT_4155,1,1,PNT3,False
SENT_4160,1,1,PNT4,False
SENT_4428,2,2,"PNN,PNT1",False
SENT_4445,1,1,PNT4,False
SENT_4519,1,1,PNT4,False
SENT_4550,4,4,"PNN,PNT1,PNT3,PNT4",False
SENT_4733,1,1,PNB,False
SENT_4745,1,1,PNT4,False
SENT_4768,2,2,"PNN,PNT1",False
SENT_4790,1,1,PNT4,False
SENT_4809,1,1,PNT3,False
SENT_4885,3,3,"PNN,PNT1,PNT4",False
SENT_4964,2,2,"PNB,PNT3",False
SENT_4989,1,1,PNT4,False
SENT_5008,3,3,"PNN,PNT3,PNT4",False
SENT_5154,1,1,PNT4,False
SENT_5315,2,2,"PNN,PNT4",False
SENT_5360,1,1,PNT4,False
SENT_5407,1,1,PNT3,False
SENT_5421,1,1,PNT3,False
SENT_5441,2,2,"PNN,PNT4",False
SENT_5531,1,1,PNT4,False
