standard_span,dialect_span,n_occurrences,is_shared_across_dialects,tasks,sample_ids,dialect,CATEGORY,NOTES
những,mấy cái,2,True,"MCQA, NLI",MCQA_0141_2; NLI_0448,PNN,Negation/Function words,
cả,nguyên,2,True,SENT,SENT_4035; SENT_5407,PNN,Negation/Function words,
sự việc,vụ,2,False,QA,QA_11800; QA_9483,PNN,Predicate vocabulary,
bùn,sình,2,False,MCQA,MCQA_0095_1,PNN,Predicate vocabulary,
bảo,biểu,2,False,MCQA,MCQA_0074_5,PNN,Predicate vocabulary,
bẩn,dơ,2,False,"MCQA, SENT",MCQA_0047_2; SENT_3273,PNN,Predicate vocabulary,
mẩu,miếng,2,True,MCQA,MCQA_0047_4,PNN,Predicate vocabulary,
ạ em,con,2,False,MCQA,MCQA_0025_10,PNN,Kinship/Honorific terms,
bố mình,ba tui,2,False,SENT,SENT_4428,PNN,Pronouns,[reclassified from Multi-word idiom -> Pronouns]
đỗ,đậu,2,True,SENT,SENT_3243,PNN,Predicate vocabulary,
cha mẹ,ba má,2,False,SENT,SENT_3067; SENT_3555,PNN,Kinship/Honorific terms,
đồng ý,chịu,2,False,NLI,NLI_4916,PNN,Predicate vocabulary,
để,đặng,2,False,"MCQA, SENT",MCQA_0137_3; SENT_1146,PNN,Connectives/Aspect markers,
nói rằng,kêu là,2,False,NLI,NLI_1921; NLI_4746,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
tập,hành,2,False,MCQA,MCQA_0137_3,PNN,Predicate vocabulary,
đến,qua,2,False,MCQA,MCQA_0065_5,PNN,Predicate vocabulary,
thuê,mướn,2,False,MCQA,MCQA_0043_4,PNN,Predicate vocabulary,
đàn ngan,bầy vịt xiêm,2,False,MCQA,MCQA_0144_3,PNN,Predicate vocabulary,
thật đấy,thiệt đó,2,False,SENT,SENT_1093; SENT_1626,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
cạnh,kế bên,2,False,MCQA,MCQA_0037_2; MCQA_0151_3,PNN,Predicate vocabulary,
và các,với mấy,2,True,NLI,NLI_1921; NLI_5263,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
mồm,miệng,2,False,SENT,SENT_1338; SENT_4494,PNN,Predicate vocabulary,
cô,con,2,True,"MCQA, NLI",MCQA_0056_2; NLI_7901,PNN,Kinship/Honorific terms,
trẻ em,con nít,2,False,"MCQA, SENT",MCQA_0137_1; SENT_4964,PNN,Predicate vocabulary,
đuổi,rượt,2,False,SENT,SENT_0696,PNN,Predicate vocabulary,
những gì,mấy cái,2,False,NLI,NLI_1775; NLI_4572,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
các,mấy cái,2,True,QA,QA_0572; QA_21489,PNN,Negation/Function words,
tốt,giỏi,1,False,NLI,NLI_0515,PNN,Predicate vocabulary,
tập làm,viết,1,False,MCQA,MCQA_0074_6,PNN,Predicate vocabulary,
tận,tuốt,1,False,MCQA,MCQA_0096_0,PNN,Predicate vocabulary,
tốt thật,giỏi thiệt,1,False,SENT,SENT_3750,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
tìm những,kiếm mấy,1,False,SENT,SENT_3169,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
tình,ý,1,False,QA,QA_17769,PNN,Predicate vocabulary,
tỏ,ra,1,True,SENT,SENT_4861,PNN,Predicate vocabulary,
tình hình kinh doanh,vụ làm ăn,1,False,NLI,NLI_4572,PNN,Idiomatic expressions,
tại thời điểm,lúc,1,False,NLI,NLI_0337,PNN,Connectives/Aspect markers,
tuyết,tuyệt,1,True,NLI,NLI_0337,PNN,Noise/Non-linguistic,
trở nên,đâm ra,1,False,QA,QA_22620,PNN,Predicate vocabulary,
thế nào khi,ra sao lúc,1,False,QA,QA_5750,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
trất,dẹp đi,1,False,SENT,SENT_0018,PNN,Predicate vocabulary,
trước,bữa,1,False,SENT,SENT_5456,PNN,Predicate vocabulary,
quả,cú,1,False,SENT,SENT_1093,PNN,Predicate vocabulary,
quần áo,đồ,1,False,MCQA,MCQA_0120_3,PNN,Predicate vocabulary,
rơi vào,lọt vô,1,False,QA,QA_3368,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
rất to,bự chảng,1,False,NLI,NLI_1921,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
rộng toang toác,bô bô,1,False,SENT,SENT_1338,PNN,Idiomatic expressions,
sau này,mai mốt,1,False,SENT,SENT_4733,PNN,Predicate vocabulary,
sinh sao này,trò mai mốt,1,False,SENT,SENT_4160,PNN,Noise/Non-linguistic,
số,phần,1,False,NLI,NLI_0959,PNN,Predicate vocabulary,
sử dụng,xài,1,False,QA,QA_7517,PNN,Predicate vocabulary,
sử dụng vào,xài vô,1,False,QA,QA_3982,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
ta,mình,1,True,SENT,SENT_2308,PNN,Pronouns,
thành thục,rành rọt,1,False,NLI,NLI_0028,PNN,Predicate vocabulary,
thêm khó chịu và,bực mình với,1,False,MCQA,MCQA_0116_5,PNN,Idiomatic expressions,[reclassified from Multi-word idiom -> Idiomatic expressions]
thì như thế nào,ra sao,1,False,QA,QA_26719,PNN,Interrogatives,
thông tin,chuyện,1,False,MCQA,MCQA_0018_4,PNN,Predicate vocabulary,
thật không,thiệt hông,1,False,MCQA,MCQA_0042_2,PNN,Negation/Function words,[reclassified from Multi-word idiom -> Negation/Function words]
thật đáng thương,ên thiệt tội nghiệp,1,False,MCQA,MCQA_0042_2,PNN,Idiomatic expressions,
thằng chúng mày,đứa tụi bây,1,False,SENT,SENT_2515,PNN,Pronouns,
thế chân,vậy giò,1,False,SENT,SENT_1908,PNN,Idiomatic expressions,
thế không,dữ hông,1,False,SENT,SENT_4885,PNN,Negation/Function words,[reclassified from Multi-word idiom -> Negation/Function words]
thế kia không,vậy hông,1,False,SENT,SENT_3094,PNN,Negation/Function words,[reclassified from Multi-word idiom -> Negation/Function words]
thủ,hườm,1,False,SENT,SENT_3814,PNN,Predicate vocabulary,
thủ,thử,1,True,QA,QA_23452,PNN,Noise/Non-linguistic,
thức,đồ,1,False,MCQA,MCQA_0030_1,PNN,Predicate vocabulary,
thực,thật,1,False,MCQA,MCQA_0012_5,PNN,Orthographic variant,
tiêm,chích,1,False,NLI,NLI_6280,PNN,Predicate vocabulary,
trong tương lai,sau này,1,False,NLI,NLI_0959,PNN,Predicate vocabulary,
trrong gia đoạn,hồi lúc,1,False,QA,QA_10410,PNN,Noise/Non-linguistic,
trút,quăng,1,False,MCQA,MCQA_0138_5,PNN,Predicate vocabulary,
từ,do,1,False,QA,QA_18828,PNN,Connectives/Aspect markers,
vì,tại anh,1,False,MCQA,MCQA_0041_7,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
từ,hồi,1,False,MCQA,MCQA_0010_1,PNN,Connectives/Aspect markers,
ông đến,ổng tới,1,False,QA,QA_9767,PNN,Kinship/Honorific terms,
đáng,để,1,False,MCQA,MCQA_0114_6,PNN,Predicate vocabulary,
điều may mắn,chuyện hên,1,False,MCQA,MCQA_0127_3,PNN,Predicate vocabulary,
điều khiển,lái,1,False,MCQA,MCQA_0127_3,PNN,Predicate vocabulary,
điên rồ,tửng,1,False,NLI,NLI_6854,PNN,Predicate vocabulary,
đi,hai,1,False,MCQA,MCQA_0152_0,PNN,Noise/Non-linguistic,
ôtô cá,xe hơi cá,1,False,NLI,NLI_3915,PNN,Predicate vocabulary,
ông bố,ba,1,False,MCQA,MCQA_0037_2,PNN,Kinship/Honorific terms,
vỡ vụn,banh,1,False,NLI,NLI_3171,PNN,Predicate vocabulary,
ông bà đấy thế nào,ổng bả ra sao,1,False,SENT,SENT_4519,PNN,Kinship/Honorific terms,
áo quần,đồ,1,False,MCQA,MCQA_0064_1,PNN,Predicate vocabulary,
à,hả,1,False,SENT,SENT_3094,PNN,Discourse particles,
yêu cầu,biểu,1,False,MCQA,MCQA_0047_4,PNN,Predicate vocabulary,
xấu hổ,mắc cỡ,1,False,MCQA,MCQA_0090_10,PNN,Predicate vocabulary,
xơi,ăn,1,True,SENT,SENT_1192,PNN,Predicate vocabulary,
đáng buồn,mắc,1,False,MCQA,MCQA_0041_7,PNN,Predicate vocabulary,
đánh,uýnh,1,False,SENT,SENT_1971,PNN,Predicate vocabulary,
đã đưa ra ý kiến,nói,1,False,MCQA,MCQA_0010_3,PNN,Idiomatic expressions,[reclassified from Multi-word idiom -> Idiomatic expressions]
đùa,giỡn,1,False,SENT,SENT_1655,PNN,Predicate vocabulary,
được,nổi,1,False,SENT,SENT_3060,PNN,Predicate vocabulary,
được,đặng,1,False,SENT,SENT_5360,PNN,Connectives/Aspect markers,
đến nơi nào,tới đâu,1,False,QA,QA_3410,PNN,Interrogatives,
đến thối,tới thúi,1,False,MCQA,MCQA_0126_2,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
đến việc,tới vụ,1,False,SENT,SENT_1894,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
đển,tới,1,True,NLI,NLI_3107,PNN,Noise/Non-linguistic,
định đánh,tính ăn,1,False,MCQA,MCQA_0114_1,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
đột,tự,1,True,NLI,NLI_6129,PNN,Noise/Non-linguistic,
ư,hả,1,True,SENT,SENT_2515,PNN,Discourse particles,
ạ thế thì em,vậy con,1,False,MCQA,MCQA_0025_10,PNN,Kinship/Honorific terms,
ấy chứ,nít đó chớ,1,False,SENT,SENT_3023,PNN,Discourse particles,
ấy đánh không,á uýnh hông,1,False,SENT,SENT_1971,PNN,Negation/Function words,[reclassified from Multi-word idiom -> Negation/Function words]
ầm,váng,1,False,MCQA,MCQA_0055_0,PNN,Predicate vocabulary,
xây,gầy,1,False,QA,QA_17724,PNN,Noise/Non-linguistic,
vở chọn bút,tập lựa viết,1,False,MCQA,MCQA_0064_1,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
tự do,thả giàn,1,False,NLI,NLI_4233,PNN,Idiomatic expressions,
và không,rồi hông,1,False,MCQA,MCQA_0138_5,PNN,Negation/Function words,[reclassified from Multi-word idiom -> Negation/Function words]
vâng,nghe,1,True,MCQA,MCQA_0056_2,PNN,Discourse particles,
vâng,dạ,1,True,SENT,SENT_3169,PNN,Discourse particles,
vào túi,vô bịch,1,False,MCQA,MCQA_0091_0,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
và rất,với,1,False,MCQA,MCQA_0140_3,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
và những,với mấy,1,False,MCQA,MCQA_0056_2,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
và không,với hông,1,False,MCQA,MCQA_0138_5,PNN,Negation/Function words,[reclassified from Multi-word idiom -> Negation/Function words]
và bật,với té,1,False,NLI,NLI_4394,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
vờ,bộ,1,True,MCQA,MCQA_0055_0,PNN,Predicate vocabulary,
và bảo,rồi kêu,1,False,MCQA,MCQA_0128_2,PNN,Connectives/Aspect markers,[reclassified from Multi-word idiom -> Connectives/Aspect markers]
và,lắm với,1,False,MCQA,MCQA_0140_3,PNN,Noise/Non-linguistic,
và,ghê với,1,False,SENT,SENT_4885,PNN,Noise/Non-linguistic,
việc ông ấy,vụ ổng,1,False,SENT,SENT_4057,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
việc,cái vụ,1,False,QA,QA_27538,PNN,Predicate vocabulary,
van xin,năn nỉ,1,False,MCQA,MCQA_0030_1,PNN,Idiomatic expressions,
phải,tính,1,False,SENT,SENT_1908,PNN,Predicate vocabulary,
vì,tại cái,1,False,MCQA,MCQA_0141_2,PNN,Connectives/Aspect markers,
vì bố,tại ba,1,False,MCQA,MCQA_0010_1,PNN,Kinship/Honorific terms,[reclassified from Multi-word idiom -> Kinship/Honorific terms]
vì cha không,tại ba hổng,1,False,MCQA,MCQA_0010_1,PNN,Kinship/Honorific terms,[reclassified from Multi-word idiom -> Kinship/Honorific terms]
vì cậu,tại nó,1,False,MCQA,MCQA_0077_0,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
vì cậu không,tại nó hông,1,False,MCQA,MCQA_0077_0,PNN,Negation/Function words,[reclassified from Multi-word idiom -> Negation/Function words]
vì không,tại hông,1,False,QA,QA_19877,PNN,Negation/Function words,[reclassified from Multi-word idiom -> Negation/Function words]
vì mẹ bảo,tại má biểu,1,False,MCQA,MCQA_0074_5,PNN,Kinship/Honorific terms,[reclassified from Multi-word idiom -> Kinship/Honorific terms]
vì nguyên nhân,tại lí do,1,False,QA,QA_20004,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
vì đến,tại tới,1,False,SENT,SENT_5441,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
ví,bóp,1,True,NLI,NLI_1077,PNN,Predicate vocabulary,
vấn đề,vụ,1,False,QA,QA_2325,PNN,Predicate vocabulary,
vẫn,vần,1,True,MCQA,MCQA_0072_2,PNN,Noise/Non-linguistic,
về bệnh,bịnh,1,False,NLI,NLI_0157,PNN,Orthographic variant,
về điều,nghe chuyện,1,False,MCQA,MCQA_0030_1,PNN,Predicate vocabulary,
vệ,lề,1,True,MCQA,MCQA_0138_5,PNN,Predicate vocabulary,
với ạ,giùm cái,1,False,SENT,SENT_4768,PNN,Discourse particles,
quá,ghê,1,True,SENT,SENT_4035,PNN,Predicate vocabulary,
1,phân,1,False,MCQA,MCQA_0042_2,PNN,Out-of-scope,
phúc đáp,hồi âm,1,False,MCQA,MCQA_0065_5,PNN,Predicate vocabulary,
khi cha,lúc ba,1,False,MCQA,MCQA_0098_4,PNN,Kinship/Honorific terms,[reclassified from Multi-word idiom -> Kinship/Honorific terms]
hối hả,tất bật,1,False,MCQA,MCQA_0090_10,PNN,Predicate vocabulary,
hoặc,hay,1,False,NLI,NLI_3048,PNN,Connectives/Aspect markers,
hoảng hốt,quýnh quáng,1,False,MCQA,MCQA_0055_1,PNN,Predicate vocabulary,
hoa quả,trái cây,1,False,MCQA,MCQA_0127_0,PNN,Predicate vocabulary,
gọi thật,kêu thiệt,1,False,MCQA,MCQA_0127_3,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
gấp gáp,rốp rẻng,1,False,MCQA,MCQA_0039_4,PNN,Predicate vocabulary,
gàn dở,khùng điên,1,False,MCQA,MCQA_0030_3,PNN,Predicate vocabulary,
gà,dở,1,False,SENT,SENT_0814,PNN,Noise/Non-linguistic,
giống,y chang,1,False,SENT,SENT_1098,PNN,Predicate vocabulary,
giai đoạn,lúc,1,False,NLI,NLI_3048,PNN,Predicate vocabulary,
ghen tị,phân bì,1,False,MCQA,MCQA_0090_10,PNN,Predicate vocabulary,
em ấy,ẻm,1,False,SENT,SENT_4861,PNN,Pronouns,
dạt,tấp,1,False,MCQA,MCQA_0095_1,PNN,Predicate vocabulary,
dàn,từ từ,1,False,QA,QA_24045,PNN,Predicate vocabulary,
do mẹ,tại má,1,False,SENT,SENT_1146,PNN,Kinship/Honorific terms,[reclassified from Multi-word idiom -> Kinship/Honorific terms]
khi bố bảo,lúc ba kêu,1,False,MCQA,MCQA_0010_3,PNN,Kinship/Honorific terms,[reclassified from Multi-word idiom -> Kinship/Honorific terms]
khi các,lúc mấy,1,False,MCQA,MCQA_0092_1,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
cậu cởi,nó lột,1,False,MCQA,MCQA_0120_3,PNN,Pronouns,
khi không,lúc hông,1,False,QA,QA_3982,PNN,Negation/Function words,[reclassified from Multi-word idiom -> Negation/Function words]
lao,nhào,1,False,SENT,SENT_5407,PNN,Predicate vocabulary,
kinh,ghê,1,True,SENT,SENT_4445,PNN,Predicate vocabulary,
khổng lồ,bự chảng,1,False,NLI,NLI_3211,PNN,Predicate vocabulary,
không về,hông dìa,1,False,MCQA,MCQA_0123_6,PNN,Negation/Function words,[reclassified from Multi-word idiom -> Negation/Function words]
không nhỉ,lắm hông,1,False,SENT,SENT_0237,PNN,Negation/Function words,[reclassified from Multi-word idiom -> Negation/Function words]
không nhầm hôm,hông lầm bữa,1,False,SENT,SENT_4550,PNN,Demonstratives/Deixis,[reclassified from Multi-word idiom -> Demonstratives/Deixis]
không khiến,hông làm,1,False,SENT,SENT_5251,PNN,Negation/Function words,[reclassified from Multi-word idiom -> Negation/Function words]
không chạm,hông đụng,1,False,NLI,NLI_7176,PNN,Negation/Function words,[reclassified from Multi-word idiom -> Negation/Function words]
không chú,hông để,1,False,MCQA,MCQA_0100_1,PNN,Negation/Function words,[reclassified from Multi-word idiom -> Negation/Function words]
khóm,bụi,1,True,MCQA,MCQA_0098_4,PNN,Predicate vocabulary,
khác,ta,1,False,MCQA,MCQA_0010_1,PNN,Noise/Non-linguistic,
khuất,mất,1,False,MCQA,MCQA_0100_1,PNN,Predicate vocabulary,
khiến các,làm mấy,1,False,NLI,NLI_4394,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
khi xem những,lúc coi mấy,1,False,NLI,NLI_2899,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
khi mẹ,lúc má,1,False,MCQA,MCQA_0144_3,PNN,Kinship/Honorific terms,[reclassified from Multi-word idiom -> Kinship/Honorific terms]
cậu trèo,nó leo,1,False,MCQA,MCQA_0120_3,PNN,Pronouns,
cả,hết,1,False,NLI,NLI_4616,PNN,Negation/Function words,
lâu lâu,thảng thảng,1,False,SENT,SENT_1726,PNN,Predicate vocabulary,
chăn,mền,1,True,MCQA,MCQA_0048_5,PNN,Predicate vocabulary,
chú,để,1,True,QA,QA_1203,PNN,Noise/Non-linguistic,
chú,con,1,True,NLI,NLI_3269,PNN,Kinship/Honorific terms,
chóng,mau,1,False,MCQA,MCQA_0100_1,PNN,Predicate vocabulary,
chê trách,quở,1,False,MCQA,MCQA_0041_5,PNN,Predicate vocabulary,
chép,lại,1,False,MCQA,MCQA_0060_2,PNN,Predicate vocabulary,
chàng hoảng hốt,ảnh quýnh quáng,1,False,MCQA,MCQA_0098_4,PNN,Kinship/Honorific terms,
cho,bỏ,1,False,MCQA,MCQA_0091_0,PNN,Predicate vocabulary,
bởi,tại,1,True,NLI,NLI_3201,PNN,Connectives/Aspect markers,
bố đời ấy,làm phách đó,1,False,SENT,SENT_4003,PNN,Idiomatic expressions,
bố điều,ba chuyện,1,False,MCQA,MCQA_0051_0,PNN,Kinship/Honorific terms,
bố láo,cà chớn,1,False,SENT,SENT_1192,PNN,Idiomatic expressions,
bố,cha,1,False,MCQA,MCQA_0144_0,PNN,Kinship/Honorific terms,
bỏ mặc,kệ,1,False,MCQA,MCQA_0055_0,PNN,Predicate vocabulary,
bả,bã,1,True,MCQA,MCQA_0065_2,PNN,Orthographic variant,
bà mẹ,má,1,False,MCQA,MCQA_0056_2,PNN,Kinship/Honorific terms,
chúng ta những,tụi mình mấy,1,False,SENT,SENT_2308,PNN,Pronouns,
chạy,nhào,1,False,SENT,SENT_5456,PNN,Predicate vocabulary,
cạnh nơi,kế bên chỗ,1,False,NLI,NLI_1921,PNN,Predicate vocabulary,
chắn,cú,1,False,NLI,NLI_4221,PNN,Predicate vocabulary,
cùng,chung với,1,False,MCQA,MCQA_0077_0,PNN,Predicate vocabulary,
công,mướn,1,False,SENT,SENT_2727,PNN,Predicate vocabulary,
cô ấy tôi,cổ tui,1,False,SENT,SENT_4494,PNN,Pronouns,
cô gái cưới,cổ lấy,1,False,NLI,NLI_0716,PNN,Pronouns,
có vẻ điều,coi bộ chuyện,1,False,NLI,NLI_3172,PNN,Predicate vocabulary,
có vẻ ngoài không,nhìn hông,1,False,NLI,NLI_5704,PNN,Negation/Function words,[reclassified from Multi-word idiom -> Negation/Function words]
có lẽ,hông chừng,1,False,SENT,SENT_4155,PNN,Predicate vocabulary,
cáu,quạu,1,False,MCQA,MCQA_0018_6,PNN,Predicate vocabulary,
