standard_span,dialect_span,n_occurrences,is_shared_across_dialects,tasks,sample_ids,dialect,CATEGORY,NOTES
đó kkkk,đấy,1,False,SENT,SENT_3249,PNB,Demonstratives/Deixis,
đúi,đuối,1,True,SENT,SENT_3910,PNB,Orthographic variant,
đưa,làm cho,1,False,QA,QA_18786,PNB,Predicate vocabulary,
để,được,1,False,MCQA,MCQA_0120_3,PNB,Negation/Function words,
đển,đến,1,True,NLI,NLI_3107,PNB,Orthographic variant,
đối với,trước,1,False,QA,QA_11800,PNB,Connectives/Aspect markers,
đức,bức,1,True,NLI,NLI_1077,PNB,Noise/Non-linguistic,
ỉ,ỷ,1,False,SENT,SENT_5315,PNB,Orthographic variant,
xem,coi,1,True,QA,QA_14257,PNB,Predicate vocabulary,
với,bằng,1,False,QA,QA_6664,PNB,Connectives/Aspect markers,
trở thành,là,1,False,QA,QA_26558,PNB,Predicate vocabulary,
vốn,trình độ,1,False,SENT,SENT_0070,PNB,Predicate vocabulary,
nóng,sốt,1,True,NLI,NLI_2198,PNB,Predicate vocabulary,
tác động,ảnh hưởng,1,False,QA,QA_0572,PNB,Predicate vocabulary,
tính thân,tinh thần,1,True,NLI,NLI_5368,PNB,Noise/Non-linguistic,
tý vào,tí,1,False,SENT,SENT_4733,PNB,Predicate vocabulary,
tại,rằng ở,1,False,QA,QA_1203,PNB,Noise/Non-linguistic,
tấm,chiếc,1,False,MCQA,MCQA_0092_2,PNB,Predicate vocabulary,
tốt khi,nhanh trí kêu,1,False,NLI,NLI_0515,PNB,Noise/Non-linguistic,
vi,xâm,1,False,QA,QA_17769,PNB,Noise/Non-linguistic,
vid,video,1,False,SENT,SENT_1626,PNB,Orthographic variant,
vâng,nghe,1,True,MCQA,MCQA_0056_2,PNB,Discourse particles,
vì,tại,1,True,NLI,NLI_2198,PNB,Connectives/Aspect markers,
vô,vào,1,False,SENT,SENT_3427,PNB,Predicate vocabulary,
vùng,nơi,1,False,MCQA,MCQA_0060_2,PNB,Predicate vocabulary,
vương,vươn,1,False,SENT,SENT_1222,PNB,Noise/Non-linguistic,
vương nỏ,giương ná,1,False,SENT,SENT_1410,PNB,Noise/Non-linguistic,
vẫn,vần,1,True,MCQA,MCQA_0072_2,PNB,Noise/Non-linguistic,
vị,vi,1,False,QA,QA_3410,PNB,Noise/Non-linguistic,
nũa,nữa,1,True,SENT,SENT_3273,PNB,Orthographic variant,
nhâu,nhau,1,True,SENT,SENT_3249,PNB,Orthographic variant,
nói rằng,bảo là,1,False,NLI,NLI_4746,PNB,Idiomatic expressions,
dữ vậy,kinh thế,1,False,SENT,SENT_4959,PNB,Idiomatic expressions,
cảnh sát,công an,1,False,SENT,SENT_5456,PNB,Predicate vocabulary,
cặp,gắp,1,True,MCQA,MCQA_0041_5,PNB,Predicate vocabulary,
cứ phải,toàn như,1,False,SENT,SENT_0814,PNB,Idiomatic expressions,
do,vì,1,False,NLI,NLI_3269,PNB,Connectives/Aspect markers,
dàn,dần,1,True,QA,QA_24045,PNB,Noise/Non-linguistic,
dã man,khinh khủng,1,False,SENT,SENT_0534,PNB,Idiomatic expressions,
dạt,trôi,1,False,MCQA,MCQA_0095_1,PNB,Predicate vocabulary,
dịu cơn,đỡ,1,False,MCQA,MCQA_0016_0,PNB,Predicate vocabulary,
gàn dở,ngớ ngẩn,1,False,MCQA,MCQA_0030_3,PNB,Predicate vocabulary,
câu hỏi,thắc mắc,1,False,NLI,NLI_6637,PNB,Predicate vocabulary,
góp,tặng,1,False,MCQA,MCQA_0092_2,PNB,Predicate vocabulary,
gấu,người yêu,1,False,SENT,SENT_1894,PNB,Predicate vocabulary,
halo,hãm,1,False,SENT,SENT_1726,PNB,Noise/Non-linguistic,
hay,tốt,1,False,SENT,SENT_4035,PNB,Predicate vocabulary,
hiểu,biết được,1,False,QA,QA_1224,PNB,Predicate vocabulary,
hoạng,hoảng,1,True,SENT,SENT_3814,PNB,Orthographic variant,
hám,ham,1,False,SENT,SENT_3520,PNB,Orthographic variant,
háo,hóa,1,True,QA,QA_23724,PNB,Orthographic variant,
có,còn,1,False,SENT,SENT_1093,PNB,Negation/Function words,
con mẹ,mụ,1,False,SENT,SENT_5315,PNB,Kinship/Honorific terms,
nhờ,ngờ,1,True,MCQA,MCQA_0065_2,PNB,Noise/Non-linguistic,
chau,cháu,1,True,SENT,SENT_3273,PNB,Orthographic variant,
1,một,1,True,SENT,SENT_4964,PNB,Out-of-scope,
all,tất cả,1,False,SENT,SENT_3763,PNB,Negation/Function words,
anh ấy,mình,1,False,NLI,NLI_5368,PNB,Pronouns,
bả,bã,1,True,MCQA,MCQA_0065_2,PNB,Orthographic variant,
bịn rịn,lưu luyến,1,False,MCQA,MCQA_0081_3,PNB,Idiomatic expressions,
bổg m,bổng mày,1,False,SENT,SENT_3520,PNB,Noise/Non-linguistic,
bởi,từ,1,False,QA,QA_0572,PNB,Connectives/Aspect markers,
bứt,đứt,1,False,MCQA,MCQA_0095_1,PNB,Orthographic variant,
chay,chạy,1,True,SENT,SENT_1222,PNB,Orthographic variant,
chừ,giờ,1,False,SENT,SENT_0018,PNB,Demonstratives/Deixis,
chetme,chết khiếp,1,False,SENT,SENT_5456,PNB,Noise/Non-linguistic,
chiện,chuyện,1,True,SENT,SENT_4428,PNB,Orthographic variant,
cho cắm,chó cắn,1,True,SENT,SENT_3273,PNB,Noise/Non-linguistic,
chôm,trộm,1,True,SENT,SENT_1485,PNB,Predicate vocabulary,
chúng,bọn,1,True,NLI,NLI_4266,PNB,Pronouns,
chạy,phóng,1,False,SENT,SENT_5456,PNB,Predicate vocabulary,
chết,mất,1,False,MCQA,MCQA_0062_2,PNB,Predicate vocabulary,
chớ,chứ,1,False,SENT,SENT_5315,PNB,Discourse particles,
hão huyền,viển vông,1,False,MCQA,MCQA_0043_3,PNB,Idiomatic expressions,
hên xui,may rủi,1,False,SENT,SENT_4035,PNB,Idiomatic expressions,
hút,húc,1,False,SENT,SENT_1222,PNB,Noise/Non-linguistic,
mỏi,nhọc,1,False,NLI,NLI_4266,PNB,Predicate vocabulary,
mát,lát,1,False,MCQA,MCQA_0138_3,PNB,Noise/Non-linguistic,
móa thiệt chứ tụi,mé thật sự bọn,1,False,SENT,SENT_0343,PNB,Noise/Non-linguistic,
mẫu,mảnh,1,False,MCQA,MCQA_0047_4,PNB,Predicate vocabulary,
mắc ói,buồn nôn,1,False,SENT,SENT_1579,PNB,Idiomatic expressions,
mặc,lại,1,False,MCQA,MCQA_0055_0,PNB,Connectives/Aspect markers,
mặt,mặc,1,True,MCQA,MCQA_0081_4,PNB,Noise/Non-linguistic,
mọc,lên,1,False,MCQA,MCQA_0069_5,PNB,Predicate vocabulary,
mọi,tất cả,1,False,NLI,NLI_5735,PNB,Negation/Function words,
mổ,một,1,False,SENT,SENT_4959,PNB,Noise/Non-linguistic,
hư,rách,1,False,MCQA,MCQA_0095_1,PNB,Predicate vocabulary,
nghề nghiệp,manh áo của,1,False,SENT,SENT_4003,PNB,Idiomatic expressions,
ngoại,vãi,1,False,MCQA,MCQA_0064_1,PNB,Predicate vocabulary,
ngưng,ngừng,1,False,MCQA,MCQA_0004_3,PNB,Orthographic variant,
ngưới,người,1,True,NLI,NLI_0959,PNB,Orthographic variant,
ngườ,người,1,False,NLI,NLI_4856,PNB,Orthographic variant,
người,quân,1,True,QA,QA_11800,PNB,Predicate vocabulary,
người,vị,1,False,MCQA,MCQA_0116_5,PNB,Predicate vocabulary,
""" tại","""tại",1,False,SENT,SENT_3555,PNB,Noise/Non-linguistic,
lại,cản,1,False,NLI,NLI_4654,PNB,Predicate vocabulary,
lí,lý,1,True,NLI,NLI_2615,PNB,Orthographic variant,
lên,đến,1,False,QA,QA_8904,PNB,Predicate vocabulary,
là,rằng,1,False,NLI,NLI_7681,PNB,Connectives/Aspect markers,
hả,à,1,True,SENT,SENT_5008,PNB,Discourse particles,
hết,nữa,1,False,SENT,SENT_1726,PNB,Negation/Function words,
hối hả,vội vã,1,False,MCQA,MCQA_0090_10,PNB,Idiomatic expressions,
inh,minh,1,True,MCQA,MCQA_0056_2,PNB,Noise/Non-linguistic,
khi,1h,1,False,NLI,NLI_3739,PNB,Noise/Non-linguistic,
khoá,khóa,1,False,SENT,SENT_5315,PNB,Orthographic variant,
khóm,bụi,1,True,MCQA,MCQA_0098_4,PNB,Predicate vocabulary,
không được,chịu,1,False,SENT,SENT_1146,PNB,Negation/Function words,
kiếm,tìm,1,False,SENT,SENT_4959,PNB,Predicate vocabulary,
kêu,bảo,1,False,SENT,SENT_1146,PNB,Predicate vocabulary,
kì,kỳ,1,False,NLI,NLI_4856,PNB,Orthographic variant,
kìm kẹp,khống chế,1,False,MCQA,MCQA_0062_0,PNB,Idiomatic expressions,
la hoài,chửi mãi,1,False,SENT,SENT_3906,PNB,Idiomatic expressions,
liền,ngay,1,False,SENT,SENT_1146,PNB,Demonstratives/Deixis,
lui,quay,1,False,MCQA,MCQA_0069_5,PNB,Predicate vocabulary,
luyện,liệng,1,True,MCQA,MCQA_0004_3,PNB,Noise/Non-linguistic,
ly,cốc,1,False,SENT,SENT_5251,PNB,Predicate vocabulary,
ổ,chuồng,1,False,MCQA,MCQA_0058_0,PNB,Predicate vocabulary,
