standard_span,dialect_span,n_occurrences_total,dialects,tasks,sample_ids,CATEGORY,NOTES
bát,chén,8,"PNN, PNT3",MCQA,MCQA_0036_5,Predicate vocabulary,
thẹo,sẹo,8,"PNB, PNT1, PNT2, PNT4",SENT,SENT_1146,Orthographic variant,
ngày,ngay,6,"PNT1, PNT2, PNT3","MCQA, NLI",MCQA_0012_0; MCQA_0077_0; NLI_1420,Orthographic variant,
nữa,nửa,6,"PNB, PNT1, PNT2","MCQA, QA, SENT",MCQA_0004_3; QA_19280; QA_3410; SENT_2308,Orthographic variant,
rơi,rớt,6,"PNN, PNT3, PNT4",MCQA,MCQA_0058_0; MCQA_0095_1; MCQA_0128_1,Predicate vocabulary,
bố mẹ,ba má,6,"PNN, PNT4","MCQA, SENT",MCQA_0128_1; SENT_0192; SENT_5017; SENT_5360; SENT_5421,Kinship/Honorific terms,
do,tại,5,"PNN, PNT4",NLI,NLI_3269; NLI_3719; NLI_4015; NLI_5704,Connectives/Aspect markers,
mình,chắc,5,"PNT2, PNT3","MCQA, NLI",MCQA_0042_2; MCQA_0077_0; NLI_6110,Pronouns,
nhờ,ngờ,5,"PNB, PNN, PNT1, PNT3, PNT4",MCQA,MCQA_0065_2,Orthographic variant,
nũa,nữa,5,"PNB, PNT1, PNT2, PNT3, PNT4",SENT,SENT_3273,Orthographic variant,
chúng,bọn,5,"PNB, PNT3","MCQA, NLI",MCQA_0062_0; MCQA_0148_3; NLI_4266,Pronouns,
đỗ,đậu,5,"PNN, PNT3, PNT4",SENT,SENT_3243,Predicate vocabulary,
quả,trái,5,"PNN, PNT4","MCQA, NLI",MCQA_0041_5; MCQA_0141_2; MCQA_0141_3; NLI_3171,Predicate vocabulary,
gì đã,chi đạ,5,"PNT2, PNT3","MCQA, NLI",MCQA_0020_1; MCQA_0030_3; MCQA_0138_5; NLI_7469,Interrogatives,
phục,phúc,4,"PNB, PNT2, PNT3, PNT4",NLI,NLI_0521,Orthographic variant,
và các,với mấy,4,"PNN, PNT4",NLI,NLI_1921; NLI_5263,Connectives/Aspect markers,
luyện,liệng,4,"PNB, PNT1, PNT2, PNT4",MCQA,MCQA_0004_3,Orthographic variant,
sử dụng,dùng,4,"PNT1, PNT3, PNT4","MCQA, NLI, QA",MCQA_0104_4; NLI_5366; QA_7517,Predicate vocabulary,
bả,bã,4,"PNB, PNN, PNT1, PNT3",MCQA,MCQA_0065_2,Orthographic variant,
cô,con,4,"PNN, PNT2","MCQA, NLI",MCQA_0056_2; NLI_7901,Kinship/Honorific terms,
đức,bức,4,"PNB, PNT2, PNT3, PNT4",NLI,NLI_1077,Noise/Non-linguistic,
người,đứa,4,"PNT1, PNT2, PNT3, PNT4","MCQA, NLI, SENT",MCQA_0043_4; NLI_6350; SENT_5008,Pronouns,
vâng,nghe,4,"PNB, PNN, PNT1, PNT4",MCQA,MCQA_0056_2,Discourse particles,
nhìn,ngó,4,"PNN, PNT4","MCQA, SENT",MCQA_0114_6; MCQA_0123_0; MCQA_0152_3; SENT_2148,Predicate vocabulary,
ta,mình,4,"PNB, PNN, PNT3","MCQA, SENT",MCQA_0042_2; SENT_2308; SENT_3555,Pronouns,
cái này,cấy ni,4,"PNT2, PNT3",SENT,SENT_1771; SENT_4790; SENT_5531,Demonstratives/Deixis,
heo,lợn,4,"PNB, PNT2",SENT,SENT_4035,Predicate vocabulary,
nào làm,mô mần,4,"PNT2, PNT3",NLI,NLI_3269; NLI_6155,Interrogatives,
dàn,dần,4,"PNB, PNT1, PNT2, PNT3",QA,QA_24045,Orthographic variant,
này vào,ni vô,4,"PNT2, PNT3, PNT4",SENT,SENT_2727; SENT_4519,Demonstratives/Deixis,
trèo,leo,4,"PNN, PNT3, PNT4","MCQA, SENT",MCQA_0120_3; SENT_4745,Predicate vocabulary,
đột,tự,4,"PNN, PNT2, PNT3, PNT4",NLI,NLI_6129,Noise/Non-linguistic,
hôm,bữa,4,"PNN, PNT3, PNT4","NLI, SENT",NLI_0830; SENT_1410; SENT_5531,Predicate vocabulary,
cậu,thằng,4,"PNT3, PNT4",MCQA,MCQA_0036_5; MCQA_0120_3; MCQA_0120_7,Pronouns,
xơi,ăn,4,"PNB, PNN, PNT3, PNT4",SENT,SENT_1192,Predicate vocabulary,
điều gì,cấy chi,4,"PNT2, PNT3","MCQA, NLI, QA",MCQA_0036_5; MCQA_0051_4; NLI_6854; QA_17771,Interrogatives,
chay,chạy,3,"PNB, PNT3, PNT4",SENT,SENT_1222,Orthographic variant,
ngưới,người,3,"PNB, PNT2, PNT3",NLI,NLI_0959,Orthographic variant,
nặn,nạn,3,"PNB, PNT1, PNT3",SENT,SENT_4964,Orthographic variant,
những,nhửng,3,"PNT1, PNT2","MCQA, NLI",MCQA_0137_3; NLI_0448; NLI_2948,Orthographic variant,
trâu,tru,3,"PNT1, PNT2",MCQA,MCQA_0020_1; MCQA_0087_0,Orthographic variant,
nhằm,để,3,"PNN, PNT3, PNT4","MCQA, QA",MCQA_0137_1; QA_21489; QA_9601,Connectives/Aspect markers,
trịu,trụi,3,"PNB, PNT3, PNT4",MCQA,MCQA_0002_4,Orthographic variant,
thủ,thử,3,"PNB, PNN, PNT2",QA,QA_23452,Orthographic variant,
mẩu,miếng,3,"PNN, PNT4",MCQA,MCQA_0047_4,Predicate vocabulary,
các,mấy cái,3,"PNN, PNT3","NLI, QA",NLI_1019; QA_0572; QA_21489,Negation/Function words,
vâng,dạ,3,"PNN, PNT2, PNT4",SENT,SENT_3169,Discourse particles,
đó không,nớ nỏ,3,"PNT2, PNT3",NLI,NLI_3172; NLI_6129,Negation/Function words,
hoạ,họa,3,"PNT1, PNT2, PNT3",SENT,SENT_0534,Orthographic variant,
cả,nguyên,3,"PNN, PNT4","MCQA, SENT",MCQA_0020_2; SENT_4035; SENT_5407,Predicate vocabulary,
vờ,đò,3,"PNT3, PNT4",MCQA,MCQA_0055_0; MCQA_0055_1,Predicate vocabulary,
hôm nay,bữa ni,3,"PNT2, PNT3, PNT4",MCQA,MCQA_0047_2,Demonstratives/Deixis,
vờ,bộ,3,"PNN, PNT1",MCQA,MCQA_0055_0; MCQA_0055_1,Predicate vocabulary,
tao không,tau nỏ,3,"PNT2, PNT3",SENT,SENT_1410; SENT_3763,Negation/Function words,
inh,minh,3,"PNB, PNT1, PNT3",MCQA,MCQA_0056_2,Orthographic variant,
khóm,bụi,3,"PNB, PNN, PNT3",MCQA,MCQA_0098_4,Predicate vocabulary,
vẫn,vần,3,"PNB, PNN, PNT1",MCQA,MCQA_0072_2,Orthographic variant,
cùng,với,3,"PNT2, PNT3","MCQA, SENT",MCQA_0077_0; SENT_0958,Connectives/Aspect markers,
lí,lý,3,"PNB, PNN, PNT1",NLI,NLI_0511; NLI_2615,Orthographic variant,
lúc,hồi,3,"PNN, PNT4",SENT,SENT_3469; SENT_5360,Connectives/Aspect markers,
vào,ở,3,"PNT3, PNT4",QA,QA_14176; QA_5051; QA_7436,Connectives/Aspect markers,
mong muốn,ưng,3,"PNT1, PNT2, PNT3",NLI,NLI_3108,Predicate vocabulary,
chau,cháu,3,"PNB, PNT1, PNT2",SENT,SENT_3273,Orthographic variant,
mặt,mặc,3,"PNB, PNN, PNT1",MCQA,MCQA_0081_4,Noise/Non-linguistic,
một số,mấy,3,"PNN, PNT4","NLI, QA",NLI_3048; QA_17926,Negation/Function words,
truang,trung,3,"PNB, PNT1, PNT4",QA,QA_23724,Orthographic variant,
thế không,rứa nỏ,2,"PNT2, PNT3",SENT,SENT_4885,Negation/Function words,
trong tương lai,sau ni,2,"PNT3, PNT4",NLI,NLI_0959,Demonstratives/Deixis,
trrong gia,trong giai,2,"PNT1, PNT4",QA,QA_10410,Noise/Non-linguistic,
thục,thạo,2,"PNB, PNT4",NLI,NLI_0028,Predicate vocabulary,
thế kia,rứa,2,"PNT3, PNT4",SENT,SENT_0814; SENT_3094,Demonstratives/Deixis,
tỏ,ra,2,"PNN, PNT4",SENT,SENT_4861,Predicate vocabulary,
trịu,trọi,2,"PNT1, PNT2",MCQA,MCQA_0002_4,Orthographic variant,
đển,đến,2,"PNB, PNT3",NLI,NLI_3107,Noise/Non-linguistic,
tuyết,tuyệt,2,"PNB, PNN",NLI,NLI_0337,Noise/Non-linguistic,
tính,định,2,"PNT3, PNT4",SENT,SENT_1410,Predicate vocabulary,
đúi,đuối,2,"PNB, PNT3",SENT,SENT_3910,Orthographic variant,
đó tao,nớ tau,2,"PNT2, PNT3",SENT,SENT_1579,Pronouns,
tính thân,tinh thần,2,"PNB, PNT1",NLI,NLI_5368,Noise/Non-linguistic,
ạ thế,rứa,2,"PNT3, PNT4",MCQA,MCQA_0025_10,Demonstratives/Deixis,
đó chẳng,nớ nỏ,2,"PNT2, PNT3",MCQA,MCQA_0114_6,Negation/Function words,
ư,hả,2,"PNN, PNT4",SENT,SENT_2515,Discourse particles,
tao vậy,tau ri,2,"PNT1, PNT3",SENT,SENT_1098,Pronouns,
ví,bóp,2,"PNN, PNT4",NLI,NLI_1077; NLI_1465,Predicate vocabulary,
vệ,lề,2,"PNN, PNT4",MCQA,MCQA_0138_5,Orthographic variant,
tháng,thắng,2,"PNB, PNT3",NLI,NLI_7681,Noise/Non-linguistic,
1,một,2,"PNB, PNT4","NLI, SENT",NLI_6323; SENT_4964,Out-of-scope,
tao tao,tau tau,2,"PNT1, PNT2",SENT,SENT_5315,Pronouns,
làm thế,mần rứa,2,"PNT2, PNT3",SENT,SENT_5154,Predicate vocabulary,
làm gì nhìu,mần chi nhiều,2,"PNT2, PNT3",SENT,SENT_3618,Interrogatives,
kinh,ghê,2,"PNN, PNT3",SENT,SENT_4445,Predicate vocabulary,
không làm,nỏ mần,2,"PNT2, PNT3",SENT,SENT_4989,Negation/Function words,
hả,à,2,"PNB, PNT3",SENT,SENT_5008,Discourse particles,
hôm tao,bựa tau,2,"PNT2, PNT3",SENT,SENT_1410,Pronouns,
hôm,bựa,2,"PNT2, PNT3",MCQA,MCQA_0051_0,Predicate vocabulary,
hóa,hoá,2,"PNT3, PNT4",NLI,NLI_0337,Orthographic variant,
háo,hóa,2,"PNB, PNT4",QA,QA_23724,Orthographic variant,
hoạng,hoảng,2,"PNB, PNT4",SENT,SENT_3814,Orthographic variant,
giữa,giửa,2,"PNT1, PNT2","MCQA, NLI",MCQA_0020_2; NLI_6323,Orthographic variant,
du,ru,2,"PNT3, PNT4",SENT,SENT_5441,Orthographic variant,
cặp,gắp,2,"PNB, PNT4",MCQA,MCQA_0041_5,Predicate vocabulary,
chứ đâu,chơ mô,2,"PNT2, PNT3",SENT,SENT_4003,Discourse particles,
chọn,lựa,2,"PNN, PNT4","MCQA, NLI",MCQA_0064_1; NLI_7530,Predicate vocabulary,
chăn,mền,2,"PNN, PNT4",MCQA,MCQA_0048_5,Predicate vocabulary,
chú,con,2,"PNN, PNT4",NLI,NLI_3269,Kinship/Honorific terms,
chôm,trộm,2,"PNB, PNT1",SENT,SENT_1485,Predicate vocabulary,
cho cắm,chó cắn,2,"PNB, PNT2",SENT,SENT_3273,Noise/Non-linguistic,
chiện,chuyện,2,"PNB, PNT3",SENT,SENT_4428,Orthographic variant,
bởi,tại,2,"PNN, PNT4",NLI,NLI_3201,Connectives/Aspect markers,
bận,mắc,2,"PNT3, PNT4",MCQA,MCQA_0152_0,Predicate vocabulary,
làm sao,mần răng,2,"PNT1, PNT2",SENT,SENT_1908; SENT_4809,Interrogatives,
lũ,bọn,2,"PNT3, PNT4",SENT,SENT_3273; SENT_3514,Pronouns,
soán,soát,2,"PNB, PNT3",NLI,NLI_4572,Orthographic variant,
lầm,nhầm,2,"PNT2, PNT3",MCQA,MCQA_0016_5,Orthographic variant,
sao này,sau ni,2,"PNT2, PNT4",SENT,SENT_4160,Demonstratives/Deixis,
sao không,răng nỏ,2,"PNT2, PNT3","MCQA, SENT",MCQA_0037_4; SENT_4035,Interrogatives,
rược,đuổi,2,"PNT1, PNT4",SENT,SENT_2938,Predicate vocabulary,
rơi vào,rớt vô,2,"PNT3, PNT4",MCQA,MCQA_0058_0,Connectives/Aspect markers,
ruột,rọt,2,"PNT2, PNT3",NLI,NLI_2198,Orthographic variant,
quá,ghê,2,"PNN, PNT4","MCQA, SENT",MCQA_0016_0; SENT_4035,Predicate vocabulary,
nữa,nựa,2,"PNT2, PNT3",MCQA,MCQA_0004_3; MCQA_0056_1,Orthographic variant,
nơi,chỗ,2,"PNN, PNT4","NLI, QA",NLI_1921; QA_8086,Predicate vocabulary,
nóng,sốt,2,"PNB, PNT1",NLI,NLI_2198,Predicate vocabulary,
ném,quăng,2,"PNN, PNT4",SENT,SENT_5315,Predicate vocabulary,
này tuyết,ni tuyệt,2,"PNT2, PNT3",NLI,NLI_0337,Demonstratives/Deixis,
nhỉ sao,rứa răng,2,"PNT2, PNT3",SENT,SENT_1172,Interrogatives,
nhặt xem,lượm coi,2,"PNN, PNT4",SENT,SENT_5315,Predicate vocabulary,
nhé nhỉ,như,2,"PNN, PNT1",SENT,SENT_0534,Discourse particles,
nhâu,nhau,2,"PNB, PNT2",SENT,SENT_3249,Orthographic variant,
người,quân,2,"PNB, PNT3",QA,QA_11800,Noise/Non-linguistic,
ngay lập tức,liền,2,"PNN, PNT3",NLI,NLI_6960,Connectives/Aspect markers,
mẹ bật,má mở,2,"PNN, PNT4",MCQA,MCQA_0048_2,Kinship/Honorific terms,
mẫu,mẩu,2,"PNT1, PNT2",MCQA,MCQA_0047_4,Orthographic variant,
mãi đến,hoài tới,2,"PNN, PNT4",MCQA,MCQA_0095_1,Connectives/Aspect markers,
mãi,hoài,2,"PNN, PNT4",MCQA,MCQA_0095_1,Predicate vocabulary,
“tôi,“tui,2,"PNN, PNT2",MCQA,MCQA_0152_3,Pronouns,
