standard_span,dialect_span,n_occurrences,is_shared_across_dialects,tasks,sample_ids,dialect,CATEGORY,NOTES
nên,niên,2,False,NLI,NLI_4266; NLI_4916,PNT1,Orthographic variant,
giờ,chừ,2,False,SENT,SENT_0462; SENT_0534,PNT1,Demonstratives/Deixis,
nuôi,nui,2,False,MCQA,MCQA_0010_3,PNT1,Orthographic variant,
nữa,nửa,2,True,"MCQA, SENT",MCQA_0004_3; SENT_2308,PNT1,Orthographic variant,
gì,cái chi,2,False,"MCQA, QA",MCQA_0016_0; QA_19406,PNT1,Interrogatives,
gọi,hú,2,False,MCQA,MCQA_0100_2; MCQA_0127_3,PNT1,Predicate vocabulary,
hiểm,hỉm,2,False,"MCQA, NLI",MCQA_0039_4; NLI_0240,PNT1,Orthographic variant,
mẹ,moẹ,2,False,SENT,SENT_0814; SENT_3060,PNT1,Orthographic variant,
khỏi,khuổi,2,False,"MCQA, NLI",MCQA_0152_0; NLI_0337,PNT1,Orthographic variant,
thế,rứa,2,False,MCQA,MCQA_0090_6,PNT1,Demonstratives/Deixis,
nào,chi,2,False,"MCQA, QA",MCQA_0104_4; QA_7517,PNT1,Interrogatives,
muốn,mún,2,False,"MCQA, SENT",MCQA_0151_1; SENT_0462,PNT1,Orthographic variant,
vậy,rứ,2,False,MCQA,MCQA_0037_4,PNT1,Demonstratives/Deixis,
thẹo,sẹo,2,True,SENT,SENT_1146,PNT1,Orthographic variant,
khóc,khốc,2,False,MCQA,MCQA_0055_0,PNT1,Orthographic variant,
người,ngừi,2,False,"NLI, SENT",NLI_6350; SENT_3618,PNT1,Orthographic variant,
vờ,bộ,2,True,MCQA,MCQA_0055_0; MCQA_0055_1,PNT1,Predicate vocabulary,
tao vậy,tau ri,1,True,SENT,SENT_1098,PNT1,Pronouns,[reclassified from Multi-word idiom -> Pronouns]
sẽ,sẻ,1,False,NLI,NLI_5366,PNT1,Orthographic variant,
sẽ nói cho,sĩa nuối choa,1,False,MCQA,MCQA_0030_1,PNT1,Pronouns,[reclassified from Multi-word idiom -> Pronouns]
sử dụng,dùng,1,True,MCQA,MCQA_0104_4,PNT1,Predicate vocabulary,
thiếu thiếu,thíu thíu,1,False,SENT,SENT_0626,PNT1,Orthographic variant,
sự,lúc,1,False,MCQA,MCQA_0127_3,PNT1,Predicate vocabulary,
nhờ,ngờ,1,True,MCQA,MCQA_0065_2,PNT1,Orthographic variant,
sao cha,răng bố,1,False,MCQA,MCQA_0010_1,PNT1,Interrogatives,[reclassified from Multi-word idiom -> Interrogatives]
ta,cơ,1,False,SENT,SENT_1172,PNT1,Discourse particles,
tao tao,tau tau,1,True,SENT,SENT_5315,PNT1,Pronouns,
nhé nhỉ,như,1,True,SENT,SENT_0534,PNT1,Discourse particles,
sản của,sãn cũa,1,False,NLI,NLI_5735,PNT1,Orthographic variant,
quá,quớ,1,False,MCQA,MCQA_0010_1,PNT1,Orthographic variant,
sao,răng mà,1,False,SENT,SENT_1098,PNT1,Interrogatives,
những,mấy,1,True,MCQA,MCQA_0072_2,PNT1,Predicate vocabulary,
nên đã,niên đả,1,False,QA,QA_17724,PNT1,Connectives/Aspect markers,
này đời,ni đơì,1,False,SENT,SENT_0534,PNT1,Demonstratives/Deixis,
này cơ cực thật đấy,ni khổ kinh,1,False,SENT,SENT_1626,PNT1,Demonstratives/Deixis,[reclassified from Multi-word idiom -> Demonstratives/Deixis]
nào đó,môđó,1,False,SENT,SENT_4155,PNT1,Interrogatives,
nào đã,mô đả,1,False,QA,QA_17758,PNT1,Interrogatives,
nào cũng,mô củng,1,False,SENT,SENT_0626,PNT1,Interrogatives,
nó,nóa,1,False,SENT,SENT_5407,PNT1,Orthographic variant,
nuối,núi,1,False,MCQA,MCQA_0025_9,PNT1,Orthographic variant,
nói gì,nuối chi,1,False,MCQA,MCQA_0025_10,PNT1,Interrogatives,[reclassified from Multi-word idiom -> Interrogatives]
thuẫn,thuẩn,1,False,QA,QA_26462,PNT1,Orthographic variant,
nóng,sốt,1,True,NLI,NLI_2198,PNT1,Predicate vocabulary,
nũa,nữa,1,True,SENT,SENT_3273,PNT1,Orthographic variant,
nước,nác,1,True,MCQA,MCQA_0055_1,PNT1,Orthographic variant,
nặn,nạn,1,True,SENT,SENT_4964,PNT1,Orthographic variant,
or,hoặc,1,False,SENT,SENT_0237,PNT1,Connectives/Aspect markers,
phiên,phin,1,False,MCQA,MCQA_0043_3,PNT1,Orthographic variant,
phân biệt,nhận biết,1,False,SENT,SENT_1146,PNT1,Predicate vocabulary,
những,nhửng,1,True,NLI,NLI_2948,PNT1,Orthographic variant,
quản,quãn,1,False,NLI,NLI_0516,PNT1,Orthographic variant,
răng,sao,1,False,SENT,SENT_0572,PNT1,Interrogatives,
rược,đuổi,1,True,SENT,SENT_2938,PNT1,Predicate vocabulary,
thiệt,thặc,1,False,SENT,SENT_0343,PNT1,Orthographic variant,
"""ai",“ai,1,False,MCQA,MCQA_0072_2,PNT1,Noise/Non-linguistic,
thể gắn,thễ lắp,1,False,NLI,NLI_3915,PNT1,Noise/Non-linguistic,
tử,tữ,1,False,QA,QA_1203,PNT1,Orthographic variant,
và,lẫn,1,False,MCQA,MCQA_0104_4,PNT1,Connectives/Aspect markers,
và,rồi,1,True,MCQA,MCQA_0091_0,PNT1,Connectives/Aspect markers,
vâng,nghe,1,True,MCQA,MCQA_0056_2,PNT1,Discourse particles,
vẫn,vần,1,True,MCQA,MCQA_0072_2,PNT1,Orthographic variant,
vậy nên,di niên,1,False,NLI,NLI_3269,PNT1,Connectives/Aspect markers,
xem,cuôi,1,False,SENT,SENT_1626,PNT1,Orthographic variant,
xem,xiêm,1,False,SENT,SENT_1894,PNT1,Orthographic variant,
xem cái này,xiêm cấy ni,1,False,SENT,SENT_0070,PNT1,Demonstratives/Deixis,[reclassified from Multi-word idiom -> Demonstratives/Deixis]
xuống suối,xún súi,1,False,MCQA,MCQA_0151_1,PNT1,Orthographic variant,
xác đáng,minh bạch,1,False,NLI,NLI_5143,PNT1,Predicate vocabulary,
xò lông,dẩm,1,False,SENT,SENT_1579,PNT1,Idiomatic expressions,
ù,cố,1,False,SENT,SENT_0696,PNT1,Predicate vocabulary,
đi,đẫy,1,False,NLI,NLI_4233,PNT1,Orthographic variant,
điều,việc,1,False,MCQA,MCQA_0137_3,PNT1,Predicate vocabulary,
điện,địn,1,False,MCQA,MCQA_0037_4,PNT1,Orthographic variant,
đuổi,đủi,1,False,MCQA,MCQA_0043_3,PNT1,Orthographic variant,
đánh,nhể oánh,1,False,SENT,SENT_1971,PNT1,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
đánh,oách,1,False,SENT,SENT_1971,PNT1,Orthographic variant,
đánh cắp,lấy trộm,1,False,MCQA,MCQA_0114_1,PNT1,Predicate vocabulary,
đâu,chi mà,1,False,MCQA,MCQA_0060_2,PNT1,Interrogatives,
đấy,đấ,1,False,SENT,SENT_1192,PNT1,Orthographic variant,
đến,tới,1,True,MCQA,MCQA_0095_1,PNT1,Predicate vocabulary,
đọc,đuộc,1,False,SENT,SENT_0462,PNT1,Orthographic variant,
đủ,đũ,1,False,NLI,NLI_4176,PNT1,Orthographic variant,
ảnh hưởng khủng,ãnh hưỡng khũng,1,False,SENT,SENT_0534,PNT1,Orthographic variant,
viên,vin,1,False,MCQA,MCQA_0116_5,PNT1,Orthographic variant,
tại sao,răng mà,1,False,SENT,SENT_0835,PNT1,Interrogatives,
thôi thúc,giục,1,False,MCQA,MCQA_0137_3,PNT1,Predicate vocabulary,
tư tao,tự tạo,1,False,SENT,SENT_0572,PNT1,Noise/Non-linguistic,
thương,thưng,1,False,MCQA,MCQA_0042_7,PNT1,Orthographic variant,
thấy cảm,thấybiết,1,False,SENT,SENT_2507,PNT1,Noise/Non-linguistic,
thật đấy,vải luôn ấy,1,False,SENT,SENT_1093,PNT1,Idiomatic expressions,
thế,di,1,False,SENT,SENT_5154,PNT1,Demonstratives/Deixis,
thế nhỉ,rứa nhể,1,False,SENT,SENT_1338,PNT1,Demonstratives/Deixis,[reclassified from Multi-word idiom -> Demonstratives/Deixis]
thế nào,cái chi,1,False,QA,QA_19250,PNT1,Interrogatives,
thế nào,như răng,1,False,QA,QA_27000,PNT1,Interrogatives,
ngửa,ngữa,1,False,NLI,NLI_4394,PNT1,Orthographic variant,
thế nào,ri,1,False,SENT,SENT_2129,PNT1,Interrogatives,
thế này,ri,1,False,SENT,SENT_0462,PNT1,Demonstratives/Deixis,
thể,thễ,1,False,NLI,NLI_0647,PNT1,Orthographic variant,
thụt,trượt,1,False,SENT,SENT_2217,PNT1,Predicate vocabulary,
tiên,tin,1,False,QA,QA_10332,PNT1,Orthographic variant,
toác,hoang,1,False,SENT,SENT_1338,PNT1,Predicate vocabulary,
toán,tón,1,False,MCQA,MCQA_0042_7,PNT1,Orthographic variant,
triển,triễn,1,False,NLI,NLI_4176,PNT1,Orthographic variant,
trong,troong,1,False,QA,QA_10332,PNT1,Orthographic variant,
trrong gia,trong giai,1,True,QA,QA_10410,PNT1,Noise/Non-linguistic,
truang,trung,1,True,QA,QA_23724,PNT1,Noise/Non-linguistic,
trâu,tru,1,True,MCQA,MCQA_0020_1,PNT1,Orthographic variant,
trước,tước,1,False,MCQA,MCQA_0010_1,PNT1,Orthographic variant,
trịu,trọi,1,True,MCQA,MCQA_0002_4,PNT1,Orthographic variant,
tuyết,tuỵt,1,False,NLI,NLI_0337,PNT1,Orthographic variant,
tát,vả,1,False,SENT,SENT_4494,PNT1,Predicate vocabulary,
tính thân,tinh thần,1,True,NLI,NLI_5368,PNT1,Orthographic variant,
nhiệm,nhịm,1,False,NLI,NLI_0448,PNT1,Orthographic variant,
mặt,mặc,1,True,MCQA,MCQA_0081_4,PNT1,Orthographic variant,
ngỡ,ngở,1,False,NLI,NLI_4394,PNT1,Orthographic variant,
do chưa đóng,doa chư đuống,1,False,NLI,NLI_0240,PNT1,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
con kiếm,coan kím,1,False,MCQA,MCQA_0039_4,PNT1,Orthographic variant,
có,cúa,1,False,NLI,NLI_3951,PNT1,Orthographic variant,
các chế,bọn mi,1,False,SENT,SENT_3249,PNT1,Pronouns,
"cây""",cây”,1,False,MCQA,MCQA_0072_2,PNT1,Orthographic variant,
"cây"" ""người",cây” “người,1,False,MCQA,MCQA_0072_2,PNT1,Orthographic variant,
có,cúa cấy,1,False,NLI,NLI_2313,PNT1,Orthographic variant,
có điểm,cúa đỉm,1,False,NLI,NLI_0959,PNT1,Orthographic variant,
"có"" ""em",có” “em,1,False,MCQA,MCQA_0072_2,PNT1,Orthographic variant,
cũng,củng,1,False,SENT,SENT_0572,PNT1,Orthographic variant,
của,cũa,1,False,QA,QA_12824,PNT1,Orthographic variant,
cức,cứt,1,False,SENT,SENT_1971,PNT1,Orthographic variant,
diễn,diển,1,False,NLI,NLI_4916,PNT1,Orthographic variant,
dàn,dần,1,True,QA,QA_24045,PNT1,Orthographic variant,
cmm,chết cụ,1,False,SENT,SENT_4964,PNT1,Noise/Non-linguistic,
dơ,bẩn,1,False,SENT,SENT_4768,PNT1,Predicate vocabulary,
dưới,dứi,1,False,MCQA,MCQA_0137_1,PNT1,Orthographic variant,
dịu,bớt,1,False,MCQA,MCQA_0016_0,PNT1,Predicate vocabulary,
dữ,ghê,1,False,SENT,SENT_2148,PNT1,Predicate vocabulary,
dữ,gớm,1,False,SENT,SENT_4959,PNT1,Predicate vocabulary,
em,eim,1,False,MCQA,MCQA_0042_2,PNT1,Orthographic variant,
em,mi,1,False,MCQA,MCQA_0104_4,PNT1,Pronouns,
eo,éo,1,False,SENT,SENT_3243,PNT1,Orthographic variant,
ghi đông,tay xe,1,False,MCQA,MCQA_0127_3,PNT1,Predicate vocabulary,
giải,giãi,1,False,NLI,NLI_3739,PNT1,Orthographic variant,
giải thưởng,giãi thưỡng,1,False,NLI,NLI_7826,PNT1,Orthographic variant,
giỏi,giuổi,1,False,NLI,NLI_1639,PNT1,Orthographic variant,
con,cuân,1,False,NLI,NLI_0521,PNT1,Orthographic variant,
chửi,bới,1,False,SENT,SENT_4885,PNT1,Predicate vocabulary,
người,đứa,1,True,SENT,SENT_5008,PNT1,Predicate vocabulary,
chg,chẳng,1,False,SENT,SENT_3514,PNT1,Negation/Function words,
biết,bítt,1,False,NLI,NLI_2313,PNT1,Orthographic variant,
"biết""","bít""",1,False,NLI,NLI_2313,PNT1,Orthographic variant,
biển,bỉn,1,False,MCQA,MCQA_0014_1,PNT1,Orthographic variant,
bãi,bải,1,False,NLI,NLI_0516,PNT1,Orthographic variant,
bé,bíe,1,False,MCQA,MCQA_0120_7,PNT1,Orthographic variant,
bó với,bóa vứi,1,False,MCQA,MCQA_0020_1,PNT1,Orthographic variant,
bạn nhỉ mình,mi nhở tau,1,False,SENT,SENT_4745,PNT1,Pronouns,[reclassified from Multi-word idiom -> Pronouns]
bả,bã,1,True,MCQA,MCQA_0065_2,PNT1,Orthographic variant,
bắt,tống,1,False,NLI,NLI_4217,PNT1,Predicate vocabulary,
bỏ vào,bỏa vô,1,False,MCQA,MCQA_0041_5,PNT1,Orthographic variant,
chau,cháu,1,True,SENT,SENT_3273,PNT1,Orthographic variant,
chetme,bome,1,False,SENT,SENT_5456,PNT1,Noise/Non-linguistic,
chiếm,chím,1,False,NLI,NLI_2837,PNT1,Orthographic variant,
chừng,khéo lại,1,False,SENT,SENT_1655,PNT1,Predicate vocabulary,
chiến,chín,1,False,QA,QA_10377,PNT1,Orthographic variant,
cho chó con,choa chóa coan,1,False,MCQA,MCQA_0010_3,PNT1,Orthographic variant,
chui,bò,1,False,NLI,NLI_2615,PNT1,Predicate vocabulary,
chàng trai,nó,1,False,NLI,NLI_0459,PNT1,Pronouns,
chân tình,chăn tềnh,1,False,MCQA,MCQA_0116_5,PNT1,Orthographic variant,
chó,chóa,1,False,SENT,SENT_5407,PNT1,Orthographic variant,
chôm,trộm,1,True,SENT,SENT_1485,PNT1,Predicate vocabulary,
chùa,chù,1,False,MCQA,MCQA_0014_1,PNT1,Orthographic variant,
chúng tôi,bọn tau,1,False,NLI,NLI_1114,PNT1,Pronouns,
chơi gì,chi,1,False,MCQA,MCQA_0080_0,PNT1,Interrogatives,
chồng,chòng,1,False,MCQA,MCQA_0030_1,PNT1,Orthographic variant,
chứ,chớ,1,True,SENT,SENT_0192,PNT1,Discourse particles,
giữa,giửa,1,True,NLI,NLI_6323,PNT1,Orthographic variant,
gì,chi cả,1,False,MCQA,MCQA_0152_0,PNT1,Interrogatives,
gọi,gọai,1,False,QA,QA_10332,PNT1,Orthographic variant,
mắc,bị,1,False,NLI,NLI_5167,PNT1,Predicate vocabulary,
lạ,cách,1,False,SENT,SENT_2308,PNT1,Predicate vocabulary,
lập tức,luôn,1,False,NLI,NLI_6960,PNT1,Predicate vocabulary,
lộn,nhau,1,False,SENT,SENT_3618,PNT1,Predicate vocabulary,
m,mi,1,False,SENT,SENT_3520,PNT1,Pronouns,
mang thai,có bầu,1,False,NLI,NLI_4217,PNT1,Predicate vocabulary,
miêu,miu,1,False,MCQA,MCQA_0020_2,PNT1,Orthographic variant,
miệt,kì,1,False,NLI,NLI_1767,PNT1,Predicate vocabulary,
mong muốn,ưng,1,True,NLI,NLI_3108,PNT1,Predicate vocabulary,
moá,mẹ,1,False,SENT,SENT_5315,PNT1,Kinship/Honorific terms,
mày phì đâu,mi béo mô,1,False,SENT,SENT_5251,PNT1,Interrogatives,[reclassified from Multi-word idiom -> Interrogatives]
má,mẹ,1,False,SENT,SENT_2148,PNT1,Kinship/Honorific terms,
mùa hè,mù hiè,1,False,MCQA,MCQA_0014_1,PNT1,Orthographic variant,
mươi,mưi,1,False,QA,QA_10377,PNT1,Orthographic variant,
hoạ,họa,1,True,SENT,SENT_0534,PNT1,Orthographic variant,
mẫu,mẩu,1,True,MCQA,MCQA_0047_4,PNT1,Orthographic variant,
mắng,bới,1,False,SENT,SENT_4861,PNT1,Predicate vocabulary,
mắng mỏ và bêu riếu,chửi bới với bếu rếu,1,False,NLI,NLI_0459,PNT1,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
bb,bạn bè,1,False,SENT,SENT_3514,PNT1,Noise/Non-linguistic,
mẹ,miẹ,1,False,MCQA,MCQA_0039_4,PNT1,Orthographic variant,
mỏi gì,mõi chi,1,False,NLI,NLI_4266,PNT1,Interrogatives,[reclassified from Multi-word idiom -> Interrogatives]
nghe,nghie,1,False,MCQA,MCQA_0037_2,PNT1,Orthographic variant,
nghe người,nghie ngừi,1,False,MCQA,MCQA_0037_4,PNT1,Orthographic variant,
ngon,ngoan,1,False,MCQA,MCQA_0039_4,PNT1,Orthographic variant,
ngàng,hàng mà,1,False,SENT,SENT_1485,PNT1,Noise/Non-linguistic,
ngày,ngay,1,True,NLI,NLI_1420,PNT1,Orthographic variant,
ngáo,dở,1,False,SENT,SENT_5008,PNT1,Predicate vocabulary,
lười biếng,lừi bíng,1,False,MCQA,MCQA_0041_5,PNT1,Orthographic variant,
lúa,lú,1,False,MCQA,MCQA_0042_7,PNT1,Orthographic variant,
lí,lý,1,True,NLI,NLI_0511,PNT1,Orthographic variant,
lên,vô,1,False,MCQA,MCQA_0114_1,PNT1,Predicate vocabulary,
hám,tham,1,False,SENT,SENT_3520,PNT1,Predicate vocabulary,
háo,hoá,1,True,QA,QA_23724,PNT1,Orthographic variant,
hóa,húa,1,False,NLI,NLI_0337,PNT1,Orthographic variant,
hương,hưng,1,False,MCQA,MCQA_0043_3,PNT1,Orthographic variant,
hưởng quyền,hửng quỳn,1,False,NLI,NLI_0240,PNT1,Orthographic variant,
hạnh phục,hành phúc,1,False,NLI,NLI_0521,PNT1,Orthographic variant,
hỏa,hoã,1,False,NLI,NLI_2559,PNT1,Orthographic variant,
hỏi,huổi,1,False,MCQA,MCQA_0036_5,PNT1,Orthographic variant,
hỏi,hõi,1,False,NLI,NLI_7858,PNT1,Orthographic variant,
inh,minh,1,True,MCQA,MCQA_0056_2,PNT1,Orthographic variant,
khiến,khín,1,False,MCQA,MCQA_0116_5,PNT1,Orthographic variant,
khuyên,dặn,1,False,MCQA,MCQA_0137_3,PNT1,Predicate vocabulary,
khó,khúa,1,False,MCQA,MCQA_0137_1,PNT1,Orthographic variant,
khỏi,thể không,1,False,NLI,NLI_5143,PNT1,Negation/Function words,
khổng,không,1,False,NLI,NLI_3211,PNT1,Orthographic variant,
kia,di,1,False,SENT,SENT_0814,PNT1,Demonstratives/Deixis,
kia,tê,1,False,SENT,SENT_0835,PNT1,Demonstratives/Deixis,
kkkkk,kkk hhehehehe,1,False,SENT,SENT_4809,PNT1,Noise/Non-linguistic,
lao,phóng,1,False,MCQA,MCQA_0127_3,PNT1,Predicate vocabulary,
leo,lieo,1,False,MCQA,MCQA_0014_1,PNT1,Orthographic variant,
liên,lin,1,False,MCQA,MCQA_0039_4,PNT1,Orthographic variant,
luyện,liệng,1,True,MCQA,MCQA_0004_3,PNT1,Orthographic variant,
luôn,cứ,1,False,MCQA,MCQA_0056_1,PNT1,Predicate vocabulary,
làm như thế nào,mằn răng,1,False,MCQA,MCQA_0114_1,PNT1,Interrogatives,[reclassified from Multi-word idiom -> Interrogatives]
làm sao,mần răng,1,True,SENT,SENT_1908,PNT1,Interrogatives,[reclassified from Multi-word idiom -> Interrogatives]
“tôi,“tau,1,False,MCQA,MCQA_0152_3,PNT1,Pronouns,
