target_dialect,opcode,standard_span,dialect_span,n_occurrences,n_distinct_samples,tasks,example_sample_ids,category
PNB,replace,ngưới,người,1,1,NLI,NLI_0959,Predicate vocabulary
PNB,replace,ngườ,người,1,1,NLI,NLI_4856,Predicate vocabulary
PNB,replace,người,quân,1,1,QA,QA_11800,Predicate vocabulary
PNB,replace,người,vị,1,1,MCQA,MCQA_0116_5,Predicate vocabulary
PNB,replace,nhâu,nhau,1,1,SENT,SENT_3249,Predicate vocabulary
PNB,replace,nhờ,ngờ,1,1,MCQA,MCQA_0065_2,Predicate vocabulary
PNB,replace,nói rằng,bảo là,1,1,NLI,NLI_4746,Predicate vocabulary
PNB,replace,nóng,sốt,1,1,NLI,NLI_2198,Predicate vocabulary
PNB,replace,nũa,nữa,1,1,SENT,SENT_3273,Orthographic variant
PNB,replace,nặn,nạn,1,1,SENT,SENT_4964,Predicate vocabulary
PNB,replace,phì,béo,1,1,SENT,SENT_5251,Predicate vocabulary
PNB,replace,phúc đáp,phản hồi,1,1,MCQA,MCQA_0065_5,Connectives/Aspect markers
PNB,replace,phục,phúc,1,1,NLI,NLI_0521,Orthographic variant
PNB,replace,quân,quay,1,1,QA,QA_11800,Predicate vocabulary
PNB,replace,quơ,thì vơ,1,1,SENT,SENT_3249,Predicate vocabulary
PNB,replace,quơ,vơ,1,1,SENT,SENT_3249,Predicate vocabulary
PNB,replace,quốc-cộng,quốc - cộng,1,1,QA,QA_19358,Predicate vocabulary
PNB,replace,ra,đi,1,1,SENT,SENT_4964,Noise/Non-linguistic
PNB,replace,réo rắt,véo von,1,1,MCQA,MCQA_0060_1,Predicate vocabulary
PNB,replace,rược,đuổi theo,1,1,SENT,SENT_2938,Predicate vocabulary
PNB,replace,rễ,rể,1,1,NLI,NLI_1639,Predicate vocabulary
PNB,replace,rứa,thế,1,1,SENT,SENT_0572,Orthographic variant
PNB,replace,sau,từ,1,1,NLI,NLI_2354,Connectives/Aspect markers
PNB,replace,siêng năng,chăm chỉ,1,1,MCQA,MCQA_0041_7,Predicate vocabulary
PNB,replace,soán,soát,1,1,NLI,NLI_4572,Predicate vocabulary
PNB,replace,sầm sì,âm u,1,1,MCQA,MCQA_0069_1,Predicate vocabulary
PNB,replace,sự,tính,1,1,NLI,NLI_5143,Predicate vocabulary
PNB,replace,"ta ""","mình""",1,1,SENT,SENT_3555,Pronouns
PNB,replace,thi,thu,1,1,SENT,SENT_1894,Predicate vocabulary
PNB,replace,thành công,được,1,1,NLI,NLI_5263,Predicate vocabulary
PNB,replace,tháng,thắng,1,1,NLI,NLI_7681,Orthographic variant
PNB,replace,thân,nạn,1,1,MCQA,MCQA_0055_1,Predicate vocabulary
PNB,replace,thấy mẹ hà,thế không biết,1,1,SENT,SENT_2148,Kinship/Honorific terms
PNB,replace,thắng,thắn,1,1,NLI,NLI_2313,Predicate vocabulary
PNB,replace,thằg,thằng,1,1,SENT,SENT_3520,Pronouns
PNB,replace,thời,tuổi,1,1,MCQA,MCQA_0020_1,Predicate vocabulary
PNB,replace,thời điểm,lúc,1,1,MCQA,MCQA_0013_4,Connectives/Aspect markers
PNB,replace,thục,thạo,1,1,NLI,NLI_0028,Predicate vocabulary
PNB,replace,thủ,thử,1,1,QA,QA_23452,Predicate vocabulary
PNB,replace,tin chuẩn,chính xác,1,1,NLI,NLI_0647,Predicate vocabulary
PNB,replace,trrong,trong,1,1,QA,QA_10410,Predicate vocabulary
PNB,replace,truang,trung,1,1,QA,QA_23724,Predicate vocabulary
PNB,replace,trách,cười,1,1,MCQA,MCQA_0041_5,Predicate vocabulary
PNB,replace,trả,mượn,1,1,NLI,NLI_4801,Predicate vocabulary
PNB,replace,trả lời,giải đáp,1,1,NLI,NLI_6637,Predicate vocabulary
PNB,replace,trịu,trụi,1,1,MCQA,MCQA_0002_4,Orthographic variant
PNB,replace,trở thành,là,1,1,QA,QA_26558,Connectives/Aspect markers
PNB,replace,tuyết,tuyệt,1,1,NLI,NLI_0337,Orthographic variant
PNB,replace,tác động,ảnh hưởng,1,1,QA,QA_0572,Predicate vocabulary
PNB,replace,tính thân,tinh thần,1,1,NLI,NLI_5368,Predicate vocabulary
PNB,replace,tý vào,tí,1,1,SENT,SENT_4733,Connectives/Aspect markers
PNB,replace,tại,rằng ở,1,1,QA,QA_1203,Connectives/Aspect markers
PNB,replace,tấm,chiếc,1,1,MCQA,MCQA_0092_2,Predicate vocabulary
PNB,replace,tốt khi,nhanh trí kêu,1,1,NLI,NLI_0515,Connectives/Aspect markers
PNB,replace,vi,xâm,1,1,QA,QA_17769,Noise/Non-linguistic
PNB,replace,vid,video,1,1,SENT,SENT_1626,Predicate vocabulary
PNB,replace,vâng,nghe,1,1,MCQA,MCQA_0056_2,Discourse particles
PNB,replace,vì,tại,1,1,NLI,NLI_2198,Connectives/Aspect markers
PNB,replace,vô,vào,1,1,SENT,SENT_3427,Connectives/Aspect markers
PNB,replace,vùng,nơi,1,1,MCQA,MCQA_0060_2,Predicate vocabulary
PNB,replace,vương,vươn,1,1,SENT,SENT_1222,Predicate vocabulary
PNB,replace,vương nỏ,giương ná,1,1,SENT,SENT_1410,Predicate vocabulary
PNB,replace,vẫn,vần,1,1,MCQA,MCQA_0072_2,Orthographic variant
PNB,replace,vị,vi,1,1,QA,QA_3410,Noise/Non-linguistic
PNB,replace,vốn,trình độ,1,1,SENT,SENT_0070,Predicate vocabulary
PNB,replace,với,bằng,1,1,QA,QA_6664,Predicate vocabulary
PNB,replace,với thằg,thằng,1,1,SENT,SENT_3520,Pronouns
PNB,replace,xem,coi,1,1,QA,QA_14257,Predicate vocabulary
PNB,replace,xuể,hết,1,1,MCQA,MCQA_0010_1,Predicate vocabulary
PNB,replace,xvii-xx thì,xvii - xx,1,1,QA,QA_7442,Predicate vocabulary
PNB,replace,xơi,ăn,1,1,SENT,SENT_1192,Predicate vocabulary
PNB,replace,xưa,kìa,1,1,MCQA,MCQA_0051_0,Noise/Non-linguistic
PNB,replace,đame,dame,1,1,SENT,SENT_1410,Predicate vocabulary
PNB,replace,đem,mang,1,1,SENT,SENT_2727,Predicate vocabulary
PNB,replace,đàn,các,1,1,MCQA,MCQA_0081_4,Predicate vocabulary
PNB,replace,đám,mảnh,1,1,MCQA,MCQA_0043_3,Predicate vocabulary
PNB,replace,đã,từng,1,1,QA,QA_6664,Connectives/Aspect markers
PNB,replace,đó kkkk,đấy,1,1,SENT,SENT_3249,Demonstratives/Deixis
PNB,replace,đúi,đuối,1,1,SENT,SENT_3910,Predicate vocabulary
PNB,replace,đưa,làm cho,1,1,QA,QA_18786,Predicate vocabulary
PNB,replace,để,được,1,1,MCQA,MCQA_0120_3,Connectives/Aspect markers
PNB,replace,đển,đến,1,1,NLI,NLI_3107,Predicate vocabulary
PNB,replace,đối với,trước,1,1,QA,QA_11800,Predicate vocabulary
PNB,replace,đức,bức,1,1,NLI,NLI_1077,Orthographic variant
PNB,replace,ỉ,ỷ,1,1,SENT,SENT_5315,Predicate vocabulary
PNB,replace,ổ,chuồng,1,1,MCQA,MCQA_0058_0,Predicate vocabulary
PNN,replace,các,mấy,31,26,MCQA; NLI; QA; SENT,MCQA_0018_6; MCQA_0039_4; MCQA_0062_0; MCQA_0062_2; MCQA_0065_5,Demonstratives/Deixis
PNN,replace,như thế nào,ra sao,30,30,MCQA; QA; SENT,MCQA_0042_7; MCQA_0081_3; MCQA_0095_1; MCQA_0116_5; MCQA_0126_2,Interrogatives
PNN,replace,và,với,29,25,MCQA; NLI; QA; SENT,MCQA_0013_3; MCQA_0056_2; MCQA_0064_1; MCQA_0095_1; MCQA_0098_4,Connectives/Aspect markers
PNN,replace,vào,vô,27,26,MCQA; NLI; QA; SENT,MCQA_0016_0; MCQA_0047_2; MCQA_0123_0; MCQA_0142_1; NLI_0647,Connectives/Aspect markers
PNN,replace,khi,lúc,25,22,MCQA; NLI; QA; SENT,MCQA_0018_4; MCQA_0025_9; MCQA_0039_4; MCQA_0047_4; MCQA_0069_5,Connectives/Aspect markers
PNN,replace,mẹ,má,25,18,MCQA; NLI; QA; SENT,MCQA_0013_3; MCQA_0013_4; MCQA_0016_0; MCQA_0037_2; MCQA_0048_2,Kinship/Honorific terms
PNN,replace,đến,tới,24,21,MCQA; NLI; QA; SENT,MCQA_0037_4; MCQA_0039_4; MCQA_0055_0; MCQA_0056_1; MCQA_0064_1,Connectives/Aspect markers
PNN,replace,những,mấy,21,19,MCQA; NLI; QA; SENT,MCQA_0047_2; MCQA_0064_1; MCQA_0072_2; MCQA_0116_5; MCQA_0126_2,Demonstratives/Deixis
PNN,replace,vì,tại,21,9,MCQA; NLI; SENT,MCQA_0074_5; MCQA_0074_6; MCQA_0077_0; MCQA_0100_1; MCQA_0114_6,Connectives/Aspect markers
PNN,replace,vào,hồi,14,14,MCQA; NLI; QA,MCQA_0016_0; NLI_3108; QA_12824; QA_14728; QA_17724,Connectives/Aspect markers
PNN,replace,bố,ba,12,11,MCQA; SENT,MCQA_0013_3; MCQA_0013_4; MCQA_0014_1; MCQA_0016_0; MCQA_0037_2,Kinship/Honorific terms
PNN,replace,tại,ở,11,11,MCQA; NLI; QA,MCQA_0062_2; NLI_5263; QA_14184; QA_19280; QA_22620,Connectives/Aspect markers
PNN,replace,xem,coi,10,10,MCQA; QA; SENT,MCQA_0051_4; MCQA_0114_1; QA_14257; SENT_1161; SENT_1626,Predicate vocabulary
PNN,replace,điều,chuyện,9,6,MCQA; NLI; QA,MCQA_0051_4; MCQA_0074_6; MCQA_0138_5; NLI_6155; QA_18041,Predicate vocabulary
PNN,replace,cha,ba,8,6,MCQA; NLI; QA; SENT,MCQA_0043_4; MCQA_0098_4; NLI_5735; QA_27000; SENT_4768,Kinship/Honorific terms
PNN,replace,việc,chuyện,8,7,MCQA; NLI; QA,MCQA_0013_3; MCQA_0042_7; MCQA_0074_5; MCQA_0148_3; NLI_7858,Predicate vocabulary
PNN,replace,bát,chén,6,1,MCQA,MCQA_0036_5,Predicate vocabulary
PNN,replace,bọn,tụi,6,5,SENT,SENT_0958; SENT_4745; SENT_4768; SENT_4964; SENT_5008,Pronouns
PNN,replace,chúng ta,tụi mình,6,6,MCQA; SENT,MCQA_0062_0; MCQA_0065_5; MCQA_0116_6; SENT_2308; SENT_4155,Pronouns
PNN,replace,và,rồi,6,5,MCQA; NLI,MCQA_0091_0; MCQA_0095_1; MCQA_0100_1; MCQA_0138_5; NLI_6129,Connectives/Aspect markers
PNN,replace,bố mẹ,ba má,5,5,MCQA; SENT,MCQA_0128_1; SENT_5017; SENT_5360; SENT_5421; SENT_0192,Kinship/Honorific terms
PNN,replace,chúng,tụi,5,3,MCQA; SENT,MCQA_0148_3; SENT_5017; SENT_0696,Pronouns
PNN,replace,dí,rượt,5,2,SENT,SENT_5407; SENT_5521,Predicate vocabulary
PNN,replace,hoa,bông,5,2,MCQA,MCQA_0016_0; MCQA_0100_2,Predicate vocabulary
PNN,replace,hạt,hột,5,1,MCQA,MCQA_0126_2,Predicate vocabulary
PNN,replace,người mẹ,má,5,1,MCQA,MCQA_0048_5,Kinship/Honorific terms
PNN,replace,định,tính,5,2,MCQA,MCQA_0025_9; MCQA_0114_1,Predicate vocabulary
PNN,replace,bút,viết,4,1,MCQA,MCQA_0025_10,Predicate vocabulary
PNN,replace,do,tại,4,4,NLI,NLI_3269; NLI_3719; NLI_4015; NLI_5704,Connectives/Aspect markers
PNN,replace,dẫn,dắt,4,1,MCQA,MCQA_0064_1,Predicate vocabulary
PNN,replace,lười,làm biếng,4,2,MCQA; SENT,MCQA_0041_7; SENT_0462,Predicate vocabulary
PNN,replace,quả,trái,4,3,MCQA,MCQA_0041_5; MCQA_0141_2; MCQA_0141_3,Predicate vocabulary
PNN,replace,rơi,rớt,4,3,MCQA,MCQA_0058_0; MCQA_0095_1; MCQA_0128_1,Predicate vocabulary
PNN,replace,rằng,là,4,4,MCQA; NLI; QA,MCQA_0042_7; MCQA_0100_1; NLI_4856; QA_15627,Predicate vocabulary
PNN,replace,chàng lười,ảnh làm biếng mà,3,1,MCQA,MCQA_0041_7,Pronouns
PNN,replace,mảnh,miếng,3,1,MCQA,MCQA_0043_3,Predicate vocabulary
PNN,replace,mắng,la,3,3,MCQA; SENT,MCQA_0030_3; SENT_4445; SENT_5441,Predicate vocabulary
PNN,replace,như thế nào,làm sao,3,3,MCQA; QA,MCQA_0064_1; QA_13818; QA_0572,Interrogatives
PNN,replace,tôi không,tui hông,3,3,MCQA; NLI,MCQA_0138_3; NLI_4801; NLI_5143,Negation/Function words
PNN,replace,tầng,lầu,3,1,SENT,SENT_4445,Predicate vocabulary
PNN,replace,việc,vụ,3,3,QA,QA_18786; QA_27033; QA_4380,Predicate vocabulary
PNN,replace,bùn,sình,2,1,MCQA,MCQA_0095_1,Predicate vocabulary
PNN,replace,bảo,biểu,2,1,MCQA,MCQA_0074_5,Predicate vocabulary
PNN,replace,bẩn,dơ,2,2,MCQA; SENT,MCQA_0047_2; SENT_3273,Predicate vocabulary
PNN,replace,bố mình,ba tui,2,1,SENT,SENT_4428,Kinship/Honorific terms
PNN,replace,cha mẹ,ba má,2,2,SENT,SENT_3067; SENT_3555,Kinship/Honorific terms
PNN,replace,các,mấy cái,2,2,QA,QA_21489; QA_0572,Demonstratives/Deixis
PNN,replace,cô,con,2,2,MCQA; NLI,MCQA_0056_2; NLI_7901,Pronouns
PNN,replace,cạnh,kế bên,2,2,MCQA,MCQA_0037_2; MCQA_0151_3,Noise/Non-linguistic
PNN,replace,cả,nguyên,2,2,SENT,SENT_4035; SENT_5407,Demonstratives/Deixis
PNN,replace,dỗi,giận,2,1,MCQA,MCQA_0090_6,Predicate vocabulary
PNN,replace,giúp bố,phụ ba,2,1,MCQA,MCQA_0144_3,Kinship/Honorific terms
PNN,replace,giúp mẹ,phụ má,2,2,MCQA,MCQA_0013_3; MCQA_0092_1,Kinship/Honorific terms
PNN,replace,gấu,bồ,2,2,SENT,SENT_1192; SENT_1894,Predicate vocabulary
PNN,replace,hôm,bữa,2,2,SENT,SENT_1410; SENT_5531,Orthographic variant
PNN,replace,khi,chừng,2,1,SENT,SENT_1579,Connectives/Aspect markers
PNN,replace,lúc,hồi,2,2,SENT,SENT_3469; SENT_5360,Connectives/Aspect markers
PNN,replace,mẩu,miếng,2,1,MCQA,MCQA_0047_4,Predicate vocabulary
PNN,replace,mồm,miệng,2,2,SENT,SENT_1338; SENT_4494,Predicate vocabulary
PNN,replace,ngờ,dè,2,2,SENT,SENT_1410; SENT_2308,Predicate vocabulary
PNN,replace,những,mấy cái,2,2,MCQA; NLI,MCQA_0141_2; NLI_0448,Demonstratives/Deixis
PNN,replace,những gì,mấy cái,2,2,NLI,NLI_1775; NLI_4572,Interrogatives
PNN,replace,nói rằng,kêu là,2,2,NLI,NLI_1921; NLI_4746,Noise/Non-linguistic
PNN,replace,sự việc,vụ,2,2,QA,QA_11800; QA_9483,Predicate vocabulary
PNN,replace,thuê,mướn,2,1,MCQA,MCQA_0043_4,Predicate vocabulary
PNN,replace,thật đấy,thiệt đó,2,2,SENT,SENT_1093; SENT_1626,Discourse particles
PNN,replace,thời gian,lúc,2,2,QA; SENT,QA_7517; SENT_4035,Connectives/Aspect markers
PNN,replace,to,bự,2,2,SENT,SENT_2473; SENT_0572,Noise/Non-linguistic
PNN,replace,trèo,leo,2,2,MCQA; SENT,MCQA_0120_3; SENT_4745,Predicate vocabulary
PNN,replace,trẻ em,con nít,2,2,MCQA; SENT,MCQA_0137_1; SENT_4964,Pronouns
PNN,replace,tìm,kiếm,2,2,MCQA,MCQA_0055_0; MCQA_0127_3,Noise/Non-linguistic
PNN,replace,tập,hành,2,1,MCQA,MCQA_0137_3,Predicate vocabulary
PNN,replace,và các,với mấy,2,2,NLI,NLI_1921; NLI_5263,Demonstratives/Deixis
PNN,replace,vì cậu suốt ngày,tại nó cứ,2,1,MCQA,MCQA_0077_0,Pronouns
PNN,replace,vì mẹ,tại má,2,1,MCQA,MCQA_0074_5,Kinship/Honorific terms
PNN,replace,vờ,giả đò,2,1,MCQA,MCQA_0090_6,Predicate vocabulary
PNN,replace,đuổi,rượt,2,1,SENT,SENT_0696,Predicate vocabulary
PNN,replace,đàn ngan,bầy vịt xiêm,2,1,MCQA,MCQA_0144_3,Predicate vocabulary
PNN,replace,đến,qua,2,1,MCQA,MCQA_0065_5,Connectives/Aspect markers
PNN,replace,để,đặng,2,2,MCQA; SENT,MCQA_0137_3; SENT_1146,Connectives/Aspect markers
PNN,replace,đồng ý,chịu,2,1,NLI,NLI_4916,Predicate vocabulary
PNN,replace,đỗ,đậu,2,1,SENT,SENT_3243,Predicate vocabulary
PNN,replace,ạ em,con,2,1,MCQA,MCQA_0025_10,Pronouns
PNN,replace,1,phân,1,1,MCQA,MCQA_0042_2,Noise/Non-linguistic
PNN,replace,buồn,sầu,1,1,NLI,NLI_1420,Predicate vocabulary
PNN,replace,bà mẹ,má,1,1,MCQA,MCQA_0056_2,Kinship/Honorific terms
PNN,replace,bả,bã,1,1,MCQA,MCQA_0065_2,Pronouns
PNN,replace,bỏ mặc,kệ,1,1,MCQA,MCQA_0055_0,Predicate vocabulary
PNN,replace,bố,cha,1,1,MCQA,MCQA_0144_0,Kinship/Honorific terms
PNN,replace,bố láo,cà chớn,1,1,SENT,SENT_1192,Kinship/Honorific terms
PNN,replace,bố điều,ba chuyện,1,1,MCQA,MCQA_0051_0,Kinship/Honorific terms
PNN,replace,bố đời ấy,làm phách đó,1,1,SENT,SENT_4003,Kinship/Honorific terms
PNN,replace,bởi,tại,1,1,NLI,NLI_3201,Connectives/Aspect markers
PNN,replace,cho,bỏ,1,1,MCQA,MCQA_0091_0,Connectives/Aspect markers
PNN,replace,chàng hoảng hốt,ảnh quýnh quáng,1,1,MCQA,MCQA_0098_4,Pronouns
PNN,replace,chép,lại,1,1,MCQA,MCQA_0060_2,Predicate vocabulary
PNN,replace,chê trách,quở,1,1,MCQA,MCQA_0041_5,Predicate vocabulary
PNN,replace,chóng,mau,1,1,MCQA,MCQA_0100_1,Predicate vocabulary
PNN,replace,chú,con,1,1,NLI,NLI_3269,Kinship/Honorific terms
PNN,replace,chú,để,1,1,QA,QA_1203,Kinship/Honorific terms
PNN,replace,chúng ta những,tụi mình mấy,1,1,SENT,SENT_2308,Pronouns
PNN,replace,chăn,mền,1,1,MCQA,MCQA_0048_5,Predicate vocabulary
PNN,replace,chạy,nhào,1,1,SENT,SENT_5456,Predicate vocabulary
PNN,replace,chắn,cú,1,1,NLI,NLI_4221,Predicate vocabulary
PNN,replace,chẳng,hông có,1,1,MCQA,MCQA_0030_3,Negation/Function words
PNN,replace,chịu,bị,1,1,QA,QA_18828,Predicate vocabulary
PNN,replace,chọn,lựa,1,1,NLI,NLI_7530,Predicate vocabulary
PNN,replace,cuối,sau,1,1,MCQA,MCQA_0100_1,Predicate vocabulary
PNN,replace,cuộc,vụ,1,1,QA,QA_18023,Predicate vocabulary
PNN,replace,các chau,mấy đứa cháu,1,1,SENT,SENT_3273,Pronouns
PNN,replace,các quốc gia,mấy nước,1,1,QA,QA_26901,Demonstratives/Deixis
PNN,replace,cáu,quạu,1,1,MCQA,MCQA_0018_6,Predicate vocabulary
PNN,replace,có lẽ,hông chừng,1,1,SENT,SENT_4155,Negation/Function words
PNN,replace,có vẻ ngoài không,nhìn hông,1,1,NLI,NLI_5704,Negation/Function words
PNN,replace,có vẻ điều,coi bộ chuyện,1,1,NLI,NLI_3172,Idiomatic expressions
PNN,replace,cô gái cưới,cổ lấy,1,1,NLI,NLI_0716,Pronouns
PNN,replace,cô ấy tôi,cổ tui,1,1,SENT,SENT_4494,Pronouns
PNN,replace,công,mướn,1,1,SENT,SENT_2727,Predicate vocabulary
PNN,replace,cùng,chung với,1,1,MCQA,MCQA_0077_0,Connectives/Aspect markers
PNN,replace,cạnh nơi,kế bên chỗ,1,1,NLI,NLI_1921,Noise/Non-linguistic
