sample_id,task,target_dialect,opcode,standard_span,dialect_span,category,source
MCQA_0020_1,MCQA,PNN,replace,tôi,tui,Pronouns,lexicon_match
MCQA_0020_1,MCQA,PNT1,replace,ấy,nứ,Demonstratives/Deixis,lexicon_match
MCQA_0020_1,MCQA,PNT2,replace,ấy,ấu,Demonstratives/Deixis; Discourse particles,lexicon_match
MCQA_0020_2,MCQA,PNT2,replace,thế nào,răng,Interrogatives,lexicon_match
MCQA_0020_2,MCQA,PNT2,replace,lớn,to,Predicate vocabulary,lexicon_match
MCQA_0020_2,MCQA,PNT3,replace,thế nào,răng,Interrogatives,lexicon_match
MCQA_0020_2,MCQA,PNT3,replace,lớn,to,Predicate vocabulary,lexicon_match
MCQA_0020_2,MCQA,PNT4,replace,miêu,mô,Interrogatives,lexicon_match
MCQA_0025_10,MCQA,PNB,insert,,đâu,Interrogatives,lexicon_match
MCQA_0025_10,MCQA,PNT4,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0025_9,MCQA,PNT3,replace,thế nào,răng,Interrogatives,lexicon_match
MCQA_0025_9,MCQA,PNT4,replace,thế nào,răn,Interrogatives,lexicon_match
MCQA_0025_9,MCQA,PNT4,replace,bảo,kêu,Predicate vocabulary,lexicon_match
MCQA_0030_1,MCQA,PNN,replace,bảo,kêu,Predicate vocabulary,lexicon_match
MCQA_0030_1,MCQA,PNN,replace,về,dìa,Predicate vocabulary,lexicon_match
MCQA_0030_1,MCQA,PNN,replace,bảo,kêu,Predicate vocabulary,lexicon_match
MCQA_0030_1,MCQA,PNN,replace,bảo,kêu,Predicate vocabulary,lexicon_match
MCQA_0030_1,MCQA,PNT2,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0030_1,MCQA,PNT3,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0030_1,MCQA,PNT4,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0030_1,MCQA,PNT4,replace,bảo,kêu,Predicate vocabulary,lexicon_match
MCQA_0030_1,MCQA,PNT4,replace,bảo,kêu,Predicate vocabulary,lexicon_match
MCQA_0030_1,MCQA,PNT4,replace,bảo,kêu,Predicate vocabulary,lexicon_match
MCQA_0030_3,MCQA,PNB,replace,mắng,thét,Predicate vocabulary,lexicon_match
MCQA_0030_3,MCQA,PNT2,replace,đã,đạ,Connectives/Aspect markers,lexicon_match
MCQA_0030_3,MCQA,PNT2,replace,mắng,chưởi,Predicate vocabulary,lexicon_match
MCQA_0030_3,MCQA,PNT2,replace,chẳng,nỏ,Negation/Function words,lexicon_match
MCQA_0030_3,MCQA,PNT3,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0030_3,MCQA,PNT3,replace,mắng,chưởi,Predicate vocabulary,lexicon_match
MCQA_0030_3,MCQA,PNT3,replace,chẳng,nỏ,Negation/Function words,lexicon_match
MCQA_0030_3,MCQA,PNT4,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0030_3,MCQA,PNT4,replace,mắng,chửi,Predicate vocabulary,lexicon_match
MCQA_0036_5,MCQA,PNT1,replace,nào,mô,Negation/Function words,lexicon_match
MCQA_0036_5,MCQA,PNT1,replace,nào,mô,Negation/Function words,lexicon_match
MCQA_0036_5,MCQA,PNT1,replace,nào,mô,Negation/Function words,lexicon_match
MCQA_0036_5,MCQA,PNT1,replace,nào,mô,Negation/Function words,lexicon_match
MCQA_0036_5,MCQA,PNT1,replace,nào,mô,Negation/Function words,lexicon_match
MCQA_0036_5,MCQA,PNT1,replace,nào,mô,Negation/Function words,lexicon_match
MCQA_0036_5,MCQA,PNT2,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0036_5,MCQA,PNT2,replace,nào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0036_5,MCQA,PNT2,replace,nào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0036_5,MCQA,PNT2,replace,nào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0036_5,MCQA,PNT2,replace,nào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0036_5,MCQA,PNT2,replace,nào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0036_5,MCQA,PNT2,replace,nào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0036_5,MCQA,PNT3,replace,nào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0036_5,MCQA,PNT3,replace,nào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0036_5,MCQA,PNT3,replace,thế nào,răng,Interrogatives,lexicon_match
MCQA_0036_5,MCQA,PNT4,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0036_5,MCQA,PNT4,replace,nào,mô,Interrogatives,lexicon_match
MCQA_0036_5,MCQA,PNT4,replace,nào,mô,Interrogatives,lexicon_match
MCQA_0036_5,MCQA,PNT4,replace,nào,mô,Interrogatives,lexicon_match
MCQA_0036_5,MCQA,PNT4,replace,nào,mô,Interrogatives,lexicon_match
MCQA_0036_5,MCQA,PNT4,replace,nào,mô,Interrogatives,lexicon_match
MCQA_0036_5,MCQA,PNT4,replace,nào,mô,Interrogatives,lexicon_match
MCQA_0036_5,MCQA,PNT4,replace,thế nào,răng,Interrogatives,lexicon_match
MCQA_0037_2,MCQA,PNN,replace,không,hông,Negation/Function words,lexicon_match
MCQA_0037_2,MCQA,PNT1,replace,cho,choa,Pronouns,lexicon_match
MCQA_0037_2,MCQA,PNT1,replace,cho,choa,Pronouns,lexicon_match
MCQA_0037_2,MCQA,PNT1,replace,cho,choa,Pronouns,lexicon_match
MCQA_0037_2,MCQA,PNT2,replace,nhé,nha,Discourse particles,lexicon_match
MCQA_0037_2,MCQA,PNT2,replace,không,nỏ,Negation/Function words,lexicon_match
MCQA_0037_2,MCQA,PNT3,replace,ông bố,bọ,Kinship/Honorific terms,lexicon_match
MCQA_0037_2,MCQA,PNT3,replace,nhé,nghe,Discourse particles,lexicon_match
MCQA_0037_2,MCQA,PNT3,replace,làm gì,mần cấy chi,Interrogatives,lexicon_match
MCQA_0037_2,MCQA,PNT3,replace,không,nọ,Negation/Function words,lexicon_match
MCQA_0037_2,MCQA,PNT3,replace,bố,bọ,Kinship/Honorific terms,lexicon_match
MCQA_0037_2,MCQA,PNT4,replace,bố,ba,Kinship/Honorific terms,lexicon_match
MCQA_0037_2,MCQA,PNT4,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0037_2,MCQA,PNT4,replace,bố,ba,Kinship/Honorific terms,lexicon_match
MCQA_0037_4,MCQA,PNN,replace,không,hông,Negation/Function words,lexicon_match
MCQA_0037_4,MCQA,PNN,replace,không,hông,Negation/Function words,lexicon_match
MCQA_0037_4,MCQA,PNT2,replace,vậy,rứa,Demonstratives/Deixis,lexicon_match
MCQA_0037_4,MCQA,PNT2,replace,vậy,rứa,Demonstratives/Deixis,lexicon_match
MCQA_0037_4,MCQA,PNT2,replace,không,nỏ,Negation/Function words,lexicon_match
MCQA_0037_4,MCQA,PNT3,replace,vậy,rứa,Demonstratives/Deixis,lexicon_match
MCQA_0037_4,MCQA,PNT3,replace,mất lịch sự,bờ hơ,Predicate vocabulary,lexicon_match
MCQA_0037_4,MCQA,PNT3,replace,vậy,rứa,Demonstratives/Deixis,lexicon_match
MCQA_0037_4,MCQA,PNT4,replace,sao,ren,Interrogatives,lexicon_match
MCQA_0037_4,MCQA,PNT4,replace,vậy,rứa,Demonstratives/Deixis,lexicon_match
MCQA_0037_4,MCQA,PNT4,replace,vậy,rứa,Demonstratives/Deixis,lexicon_match
MCQA_0039_4,MCQA,PNN,replace,gì,sao,Interrogatives,lexicon_match
MCQA_0039_4,MCQA,PNN,replace,không,hông,Negation/Function words,lexicon_match
MCQA_0039_4,MCQA,PNT2,replace,mẹ,mệ,Kinship/Honorific terms,lexicon_match
MCQA_0039_4,MCQA,PNT2,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0039_4,MCQA,PNT2,replace,không,nỏ,Negation/Function words,lexicon_match
MCQA_0039_4,MCQA,PNT2,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0039_4,MCQA,PNT3,replace,gì,răng,Interrogatives,lexicon_match
MCQA_0039_4,MCQA,PNT3,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0039_4,MCQA,PNT4,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0039_4,MCQA,PNT4,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0041_5,MCQA,PNN,replace,lười,làm,Predicate vocabulary,lexicon_match
MCQA_0041_5,MCQA,PNT2,replace,đã,đạ,Connectives/Aspect markers,lexicon_match
MCQA_0041_5,MCQA,PNT3,replace,này,ni,Demonstratives/Deixis,lexicon_match
MCQA_0041_5,MCQA,PNT3,replace,thế nào,răng,Interrogatives,lexicon_match
MCQA_0041_7,MCQA,PNN,replace,đâu,gì,Interrogatives,lexicon_match
MCQA_0041_7,MCQA,PNT2,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0041_7,MCQA,PNT3,replace,đâu,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0041_7,MCQA,PNT3,replace,thế,rứa,Demonstratives/Deixis,lexicon_match
MCQA_0041_7,MCQA,PNT3,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0041_7,MCQA,PNT4,replace,đâu,chi,Interrogatives,lexicon_match
MCQA_0041_7,MCQA,PNT4,replace,thế,rứa,Demonstratives/Deixis,lexicon_match
MCQA_0041_7,MCQA,PNT4,replace,gì,cái chi,Interrogatives,lexicon_match
MCQA_0042_2,MCQA,PNN,replace,điều,cái,Negation/Function words,lexicon_match
MCQA_0042_2,MCQA,PNN,replace,thật,thiệt,Connectives/Aspect markers,lexicon_match
MCQA_0042_2,MCQA,PNN,replace,không,hông,Negation/Function words,lexicon_match
MCQA_0042_2,MCQA,PNT2,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0042_2,MCQA,PNT2,replace,không,nỏ,Negation/Function words,lexicon_match
MCQA_0042_2,MCQA,PNT2,replace,không,nỏ,Negation/Function words,lexicon_match
MCQA_0042_2,MCQA,PNT3,replace,điều gì,chi,Interrogatives,lexicon_match
MCQA_0042_2,MCQA,PNT3,replace,thật,thiệt,Connectives/Aspect markers,lexicon_match
MCQA_0042_2,MCQA,PNT3,replace,thật,thiệt,Connectives/Aspect markers,lexicon_match
MCQA_0042_2,MCQA,PNT4,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0042_7,MCQA,PNN,replace,không,hông,Negation/Function words,lexicon_match
MCQA_0042_7,MCQA,PNN,delete,rất,,Predicate vocabulary,lexicon_match
MCQA_0042_7,MCQA,PNN,delete,rất,,Predicate vocabulary,lexicon_match
MCQA_0042_7,MCQA,PNT1,replace,cho,choa,Pronouns,lexicon_match
MCQA_0042_7,MCQA,PNT2,replace,kia,tê,Demonstratives/Deixis; Pronouns,lexicon_match
MCQA_0042_7,MCQA,PNT2,replace,không,nỏ,Negation/Function words,lexicon_match
MCQA_0042_7,MCQA,PNT3,replace,thế nào,răng,Interrogatives,lexicon_match
MCQA_0042_7,MCQA,PNT4,replace,thế nào,ren,Interrogatives,lexicon_match
MCQA_0043_3,MCQA,PNT1,replace,đâu,mô,Negation/Function words,lexicon_match
MCQA_0043_3,MCQA,PNT2,replace,đã,đạ,Connectives/Aspect markers,lexicon_match
MCQA_0043_3,MCQA,PNT2,replace,đâu,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0043_3,MCQA,PNT3,replace,cha,bọ,Kinship/Honorific terms,lexicon_match
MCQA_0043_3,MCQA,PNT3,replace,làm gì,mần chi,Interrogatives,lexicon_match
MCQA_0043_3,MCQA,PNT3,replace,đâu,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0043_3,MCQA,PNT4,replace,đâu,mô,Interrogatives,lexicon_match
MCQA_0043_4,MCQA,PNB,replace,cha,bố,Kinship/Honorific terms,lexicon_match
MCQA_0043_4,MCQA,PNN,replace,không,hông,Negation/Function words,lexicon_match
MCQA_0043_4,MCQA,PNT2,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0043_4,MCQA,PNT2,replace,họ,bọn nớ,Pronouns,lexicon_match
MCQA_0043_4,MCQA,PNT2,replace,họ,bọn nớ,Pronouns,lexicon_match
MCQA_0043_4,MCQA,PNT2,replace,họ,bọn nớ,Pronouns,lexicon_match
MCQA_0043_4,MCQA,PNT2,replace,họ,bọn nớ,Pronouns,lexicon_match
MCQA_0043_4,MCQA,PNT3,replace,làm gì,mần chi,Interrogatives,lexicon_match
MCQA_0043_4,MCQA,PNT4,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0047_2,MCQA,PNT1,replace,bẩn,bửn,Predicate vocabulary,lexicon_match
MCQA_0047_2,MCQA,PNT2,replace,đã,đạ,Connectives/Aspect markers,lexicon_match
MCQA_0047_2,MCQA,PNT2,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0047_2,MCQA,PNT2,replace,đã,đạ,Connectives/Aspect markers,lexicon_match
MCQA_0047_2,MCQA,PNT3,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0047_2,MCQA,PNT4,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0047_4,MCQA,PNT1,replace,làm gì,mằn chi,Interrogatives,lexicon_match
MCQA_0047_4,MCQA,PNT2,replace,đã,đạ,Connectives/Aspect markers,lexicon_match
MCQA_0047_4,MCQA,PNT2,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0047_4,MCQA,PNT3,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0047_4,MCQA,PNT3,replace,làm gì,mần chi,Interrogatives,lexicon_match
MCQA_0047_4,MCQA,PNT4,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0048_2,MCQA,PNT1,replace,làm gì,mằn chi,Interrogatives,lexicon_match
MCQA_0048_2,MCQA,PNT2,replace,làm gì,mần chi,Interrogatives,lexicon_match
MCQA_0048_2,MCQA,PNT3,replace,làm gì,mần chi,Interrogatives,lexicon_match
MCQA_0048_2,MCQA,PNT4,replace,người mẹ,má,Kinship/Honorific terms,lexicon_match
MCQA_0048_2,MCQA,PNT4,replace,gì,răng,Interrogatives,lexicon_match
MCQA_0048_2,MCQA,PNT4,replace,mẹ,má,Kinship/Honorific terms,lexicon_match
MCQA_0048_2,MCQA,PNT4,replace,mẹ,má,Kinship/Honorific terms,lexicon_match
MCQA_0048_2,MCQA,PNT4,replace,mẹ,má,Kinship/Honorific terms,lexicon_match
MCQA_0048_5,MCQA,PNT1,replace,làm gì,mằn chi,Interrogatives,lexicon_match
MCQA_0048_5,MCQA,PNT2,replace,đã,đạ,Connectives/Aspect markers,lexicon_match
MCQA_0048_5,MCQA,PNT2,replace,làm,mần,Predicate vocabulary,lexicon_match
MCQA_0048_5,MCQA,PNT2,replace,đã,đạ,Connectives/Aspect markers,lexicon_match
MCQA_0048_5,MCQA,PNT2,replace,đã,đạ,Connectives/Aspect markers,lexicon_match
MCQA_0048_5,MCQA,PNT3,replace,làm gì,mần chi,Interrogatives,lexicon_match
MCQA_0048_5,MCQA,PNT3,replace,cái,kì,Negation/Function words,lexicon_match
MCQA_0048_5,MCQA,PNT4,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0051_0,MCQA,PNN,replace,kia,trước,Demonstratives/Deixis,lexicon_match
MCQA_0051_0,MCQA,PNT2,replace,đâu,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0051_0,MCQA,PNT3,replace,đâu,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0051_0,MCQA,PNT3,replace,đâu,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0051_0,MCQA,PNT4,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0051_0,MCQA,PNT4,replace,kia,nớ,Demonstratives/Deixis,lexicon_match
MCQA_0051_0,MCQA,PNT4,replace,nay,ni,Demonstratives/Deixis,lexicon_match
MCQA_0051_4,MCQA,PNT2,replace,đã,đạ,Connectives/Aspect markers,lexicon_match
MCQA_0051_4,MCQA,PNT2,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0051_4,MCQA,PNT3,replace,bố,ba,Kinship/Honorific terms,lexicon_match
MCQA_0051_4,MCQA,PNT4,replace,bố,ba,Kinship/Honorific terms,lexicon_match
MCQA_0051_4,MCQA,PNT4,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0055_0,MCQA,PNT1,replace,làm gì,mằn chi,Interrogatives,lexicon_match
MCQA_0055_0,MCQA,PNT4,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0055_0,MCQA,PNT4,replace,tìm,kêu,Predicate vocabulary,lexicon_match
MCQA_0055_1,MCQA,PNN,replace,giả vờ,làm bộ,Predicate vocabulary,lexicon_match
MCQA_0055_1,MCQA,PNT1,replace,làm gì,mằn chi,Interrogatives,lexicon_match
MCQA_0055_1,MCQA,PNT2,replace,làm gì,mần chi,Interrogatives,lexicon_match
MCQA_0055_1,MCQA,PNT3,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0055_1,MCQA,PNT4,replace,gì,ren,Interrogatives,lexicon_match
MCQA_0056_1,MCQA,PNN,replace,không,hông,Negation/Function words,lexicon_match
MCQA_0056_1,MCQA,PNT2,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0056_1,MCQA,PNT2,replace,không,nỏ,Negation/Function words,lexicon_match
MCQA_0056_1,MCQA,PNT3,replace,gì,răng,Interrogatives,lexicon_match
MCQA_0056_1,MCQA,PNT3,replace,gái,cấy,Negation/Function words,lexicon_match
MCQA_0056_2,MCQA,PNN,replace,ông,ổng,Pronouns,lexicon_match
MCQA_0056_2,MCQA,PNT2,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0056_2,MCQA,PNT3,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0056_2,MCQA,PNT4,replace,gì,cái chi,Interrogatives,lexicon_match
MCQA_0058_0,MCQA,PNT2,replace,thế nào,răng,Interrogatives,lexicon_match
MCQA_0058_0,MCQA,PNT3,replace,thế nào,răng,Interrogatives,lexicon_match
MCQA_0060_1,MCQA,PNT1,replace,nào,mô,Negation/Function words,lexicon_match
MCQA_0060_1,MCQA,PNT2,replace,nào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0060_1,MCQA,PNT3,replace,nào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0060_1,MCQA,PNT4,replace,nào,mô,Interrogatives,lexicon_match
MCQA_0060_2,MCQA,PNN,replace,vậy,thế,Demonstratives/Deixis,lexicon_match
MCQA_0060_2,MCQA,PNN,replace,không,hông,Negation/Function words,lexicon_match
MCQA_0060_2,MCQA,PNT2,replace,đâu,mô mà,Interrogatives,lexicon_match
MCQA_0060_2,MCQA,PNT2,replace,như vậy,a rứa,Demonstratives/Deixis,lexicon_match
MCQA_0060_2,MCQA,PNT2,replace,đã,đạ,Connectives/Aspect markers,lexicon_match
MCQA_0060_2,MCQA,PNT2,replace,không,nỏ,Negation/Function words,lexicon_match
MCQA_0060_2,MCQA,PNT3,replace,đâu,mô mà,Interrogatives,lexicon_match
MCQA_0060_2,MCQA,PNT3,replace,chúng,hắn,Pronouns,lexicon_match
MCQA_0060_2,MCQA,PNT3,replace,vậy,rứa,Demonstratives/Deixis,lexicon_match
MCQA_0060_2,MCQA,PNT4,replace,đâu,mô mà,Interrogatives,lexicon_match
MCQA_0060_2,MCQA,PNT4,replace,vậy,rứa,Demonstratives/Deixis,lexicon_match
MCQA_0062_0,MCQA,PNN,replace,chúng tôi,tụi tui,Pronouns,lexicon_match
MCQA_0062_0,MCQA,PNN,replace,thật,thiệt,Connectives/Aspect markers,lexicon_match
MCQA_0062_0,MCQA,PNT1,replace,nào,mô,Negation/Function words,lexicon_match
MCQA_0062_0,MCQA,PNT2,replace,nào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0062_0,MCQA,PNT3,replace,nào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0062_0,MCQA,PNT3,replace,chúng tôi,bọn mềng,Pronouns,lexicon_match
MCQA_0062_0,MCQA,PNT4,replace,nào,mô,Interrogatives,lexicon_match
MCQA_0062_0,MCQA,PNT4,replace,tôi,ta,Pronouns,lexicon_match
MCQA_0062_0,MCQA,PNT4,replace,đó,chỗ nớ,Demonstratives/Deixis,lexicon_match
MCQA_0062_2,MCQA,PNT1,replace,nào,mô,Negation/Function words,lexicon_match
MCQA_0062_2,MCQA,PNT1,replace,đó,nớ,Demonstratives/Deixis,lexicon_match
MCQA_0062_2,MCQA,PNT2,replace,nào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0064_1,MCQA,PNT2,replace,đã,đạ,Connectives/Aspect markers,lexicon_match
MCQA_0064_1,MCQA,PNT3,replace,thế nào,răng,Interrogatives,lexicon_match
MCQA_0064_1,MCQA,PNT4,replace,thế nào,ren,Interrogatives,lexicon_match
MCQA_0065_2,MCQA,PNN,delete,thế,,Demonstratives/Deixis,lexicon_match
MCQA_0065_2,MCQA,PNN,replace,không,hông,Negation/Function words,lexicon_match
MCQA_0065_2,MCQA,PNT2,replace,không,nỏ,Negation/Function words,lexicon_match
MCQA_0065_2,MCQA,PNT3,replace,thế nào,răng,Interrogatives,lexicon_match
MCQA_0065_5,MCQA,PNN,delete,rất,,Predicate vocabulary,lexicon_match
MCQA_0065_5,MCQA,PNT1,replace,nào,mô,Negation/Function words,lexicon_match
MCQA_0065_5,MCQA,PNT2,replace,nào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0065_5,MCQA,PNT3,replace,nào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0069_1,MCQA,PNT1,replace,nào,mô,Negation/Function words,lexicon_match
MCQA_0069_1,MCQA,PNT2,replace,nào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0069_1,MCQA,PNT3,replace,nào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0069_1,MCQA,PNT4,replace,nào,mô,Interrogatives,lexicon_match
MCQA_0069_5,MCQA,PNT1,replace,nào,mô,Negation/Function words,lexicon_match
MCQA_0069_5,MCQA,PNT2,replace,nào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0069_5,MCQA,PNT3,replace,nào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0072_2,MCQA,PNN,replace,gì,như nào,Interrogatives,lexicon_match
MCQA_0072_2,MCQA,PNT2,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0072_2,MCQA,PNT3,replace,đó,nớ,Demonstratives/Deixis,lexicon_match
MCQA_0072_2,MCQA,PNT3,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0072_2,MCQA,PNT3,replace,tạo,mần,Predicate vocabulary,lexicon_match
MCQA_0072_2,MCQA,PNT3,replace,tạo,mần,Predicate vocabulary,lexicon_match
MCQA_0072_2,MCQA,PNT3,replace,khiến,mần,Predicate vocabulary,lexicon_match
MCQA_0072_2,MCQA,PNT3,replace,tạo,mần,Predicate vocabulary,lexicon_match
MCQA_0072_2,MCQA,PNT3,replace,khiến,mần,Predicate vocabulary,lexicon_match
MCQA_0072_2,MCQA,PNT4,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0072_2,MCQA,PNT4,replace,khiến,làm,Predicate vocabulary,lexicon_match
MCQA_0072_2,MCQA,PNT4,replace,khiến,làm,Predicate vocabulary,lexicon_match
MCQA_0074_5,MCQA,PNT1,replace,làm,mằn,Predicate vocabulary,lexicon_match
MCQA_0074_5,MCQA,PNT1,replace,làm,mằn,Predicate vocabulary,lexicon_match
MCQA_0074_5,MCQA,PNT1,replace,làm,mằn,Predicate vocabulary,lexicon_match
MCQA_0074_5,MCQA,PNT1,replace,làm,mằn,Predicate vocabulary,lexicon_match
MCQA_0074_5,MCQA,PNT1,replace,làm,mằn,Predicate vocabulary,lexicon_match
MCQA_0074_5,MCQA,PNT2,replace,sao,răng,Interrogatives,lexicon_match
MCQA_0074_5,MCQA,PNT2,replace,thấy,chộ,Predicate vocabulary,lexicon_match
MCQA_0074_5,MCQA,PNT2,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0074_5,MCQA,PNT2,replace,làm,mần,Predicate vocabulary,lexicon_match
MCQA_0074_5,MCQA,PNT2,replace,làm,mần,Predicate vocabulary,lexicon_match
MCQA_0074_5,MCQA,PNT2,replace,làm,mần,Predicate vocabulary,lexicon_match
MCQA_0074_5,MCQA,PNT2,replace,gì,chi,Interrogatives,lexicon_match
