sample_id,task,target_dialect,opcode,opcode_seq,standard_span,dialect_span,standard_span_len,dialect_span_len,is_known,match_direction,category,lexicon_standard_word,lexicon_region_column
MCQA_0013_4,MCQA,PNT3,replace,0,bố vào thời điểm nào,ba khi mô,5,3,False,none,Kinship/Honorific terms,,
MCQA_0013_4,MCQA,PNT3,replace,1,và,với,1,1,False,none,Connectives/Aspect markers,,
MCQA_0014_1,MCQA,PNN,replace,0,bố,ba,1,1,False,none,Kinship/Honorific terms,,
MCQA_0014_1,MCQA,PNT1,replace,0,đâu,mô,1,1,True,dialect_phrase,Negation/Function words,đâu (phủ định),ThanhHoa
MCQA_0014_1,MCQA,PNT1,replace,1,mùa hè,mù hiè,2,2,False,none,Orthographic variant,,
MCQA_0014_1,MCQA,PNT1,replace,2,chùa,chù,1,1,False,none,Orthographic variant,,
MCQA_0014_1,MCQA,PNT1,replace,3,leo,lieo,1,1,False,none,Orthographic variant,,
MCQA_0014_1,MCQA,PNT1,replace,4,biển,bỉn,1,1,False,none,Orthographic variant,,
MCQA_0014_1,MCQA,PNT2,replace,0,đâu,mô,1,1,True,dialect_phrase,Interrogatives; Negation/Function words,đâu (phủ định); đâu / nào,HaTinh_QB_QT; NgheAn
MCQA_0014_1,MCQA,PNT3,replace,0,cùng bố,với bọ,2,2,False,none,Kinship/Honorific terms,,
MCQA_0014_1,MCQA,PNT3,replace,1,đâu vào,mô,2,1,True,dialect_phrase,Interrogatives; Negation/Function words,đâu (phủ định); đâu / nào,HaTinh_QB_QT; Hue
MCQA_0014_1,MCQA,PNT3,replace,2,rừng,rú,1,1,False,none,Predicate vocabulary,,
MCQA_0016_0,MCQA,PNB,insert,0,,để,0,1,False,none,Unknown,,
MCQA_0016_0,MCQA,PNB,replace,1,dịu cơn,đỡ,2,1,False,none,Predicate vocabulary,,
MCQA_0016_0,MCQA,PNN,replace,0,vào,vô,1,1,False,none,Connectives/Aspect markers,,
MCQA_0016_0,MCQA,PNN,replace,1,hoa,bông,1,1,False,none,Predicate vocabulary,,
MCQA_0016_0,MCQA,PNN,replace,2,vào,hồi,1,1,False,none,Connectives/Aspect markers,,
MCQA_0016_0,MCQA,PNN,replace,3,hoa,bông,1,1,False,none,Predicate vocabulary,,
MCQA_0016_0,MCQA,PNN,replace,4,mẹ,má,1,1,False,none,Kinship/Honorific terms,,
MCQA_0016_0,MCQA,PNN,replace,5,hoa,bông,1,1,False,none,Predicate vocabulary,,
MCQA_0016_0,MCQA,PNN,replace,6,bố,ba,1,1,False,none,Kinship/Honorific terms,,
MCQA_0016_0,MCQA,PNN,replace,7,bố,ba,1,1,False,none,Kinship/Honorific terms,,
MCQA_0016_0,MCQA,PNT1,replace,0,gì,cái chi,1,2,False,none,Interrogatives,,
MCQA_0016_0,MCQA,PNT1,replace,1,dịu,bớt,1,1,False,none,Predicate vocabulary,,
MCQA_0016_0,MCQA,PNT2,replace,0,vào,vô,1,1,False,none,Connectives/Aspect markers,,
MCQA_0016_0,MCQA,PNT2,replace,1,làm gì vào,mần chi,3,2,True,dialect_phrase,Interrogatives,làm gì,HaTinh_QB_QT; NgheAn
MCQA_0016_0,MCQA,PNT2,replace,2,vì,tại,1,1,False,none,Connectives/Aspect markers,,
MCQA_0016_5,MCQA,PNB,insert,0,,ạ,0,1,False,none,Unknown,,
MCQA_0016_5,MCQA,PNB,insert,1,,thôi ạ,0,2,False,none,Unknown,,
MCQA_0016_5,MCQA,PNT1,replace,0,vậy,rứa,1,1,False,none,Demonstratives/Deixis,,
MCQA_0016_5,MCQA,PNT2,replace,0,đã,đạ,1,1,True,dialect_phrase,Connectives/Aspect markers,đã,HaTinh_QB_QT
MCQA_0016_5,MCQA,PNT2,replace,1,gì,chi,1,1,True,dialect_phrase,Interrogatives,gì,HaTinh_QB_QT; NgheAn
MCQA_0016_5,MCQA,PNT2,replace,2,như vậy,a rứa,2,2,True,dialect_phrase,Demonstratives/Deixis,vậy / thế,HaTinh_QB_QT
MCQA_0016_5,MCQA,PNT2,insert,3,,có,0,1,False,none,Unknown,,
MCQA_0016_5,MCQA,PNT2,replace,4,lầm,nhầm,1,1,False,none,Orthographic variant,,
MCQA_0016_5,MCQA,PNT2,replace,5,nay,ni,1,1,True,dialect_phrase,Demonstratives/Deixis,này,HaTinh_QB_QT; NgheAn
MCQA_0016_5,MCQA,PNT2,replace,6,nhỉ,hè,1,1,True,dialect_phrase,Discourse particles,nhỉ,HaTinh_QB_QT
MCQA_0016_5,MCQA,PNT3,replace,0,gì,chi,1,1,True,dialect_phrase,Interrogatives,gì; sao / thế nào,HaTinh_QB_QT; Hue
MCQA_0016_5,MCQA,PNT3,replace,1,vậy,rứa,1,1,True,standard_word,Demonstratives/Deixis,a rứa; như ri; như rứa; ri,HaTinh_QB_QT; Hue
MCQA_0016_5,MCQA,PNT3,replace,2,lầm,nhầm,1,1,False,none,Orthographic variant,,
MCQA_0016_5,MCQA,PNT3,replace,3,nay,ni,1,1,True,dialect_phrase,Demonstratives/Deixis,này,HaTinh_QB_QT; Hue
MCQA_0016_5,MCQA,PNT3,replace,4,nhỉ,hè,1,1,True,dialect_phrase,Discourse particles,nhỉ,HaTinh_QB_QT
MCQA_0018_4,MCQA,PNB,insert,0,,thôi,0,1,False,none,Unknown,,
MCQA_0018_4,MCQA,PNB,insert,1,,thôi,0,1,False,none,Unknown,,
MCQA_0018_4,MCQA,PNN,replace,0,khi,lúc,1,1,False,none,Connectives/Aspect markers,,
MCQA_0018_4,MCQA,PNN,replace,1,thông tin,chuyện,2,1,False,none,Predicate vocabulary,,
MCQA_0018_4,MCQA,PNN,replace,2,không,hông,1,1,True,dialect_phrase,Negation/Function words,không,NamBo
MCQA_0018_4,MCQA,PNN,replace,3,như thế nào,sao,3,1,True,dialect_phrase,Interrogatives,sao / thế nào,NamBo
MCQA_0018_4,MCQA,PNN,replace,4,không,hông,1,1,True,dialect_phrase,Negation/Function words,không,NamBo
MCQA_0018_4,MCQA,PNN,replace,5,không,hông,1,1,True,dialect_phrase,Negation/Function words,không,NamBo
MCQA_0018_4,MCQA,PNN,replace,6,không,hông,1,1,True,dialect_phrase,Negation/Function words,không,NamBo
MCQA_0018_4,MCQA,PNN,insert,7,,rồi,0,1,False,none,Unknown,,
MCQA_0018_4,MCQA,PNT1,replace,0,có,cúa,1,1,False,none,Orthographic variant,,
MCQA_0018_4,MCQA,PNT1,replace,1,như thế nào,răng,3,1,False,none,Interrogatives,,
MCQA_0018_4,MCQA,PNT1,replace,2,gì,chi,1,1,False,none,Interrogatives,,
MCQA_0018_4,MCQA,PNT1,replace,3,có,cúa,1,1,False,none,Orthographic variant,,
MCQA_0018_4,MCQA,PNT1,replace,4,có,cúa,1,1,False,none,Orthographic variant,,
MCQA_0018_4,MCQA,PNT2,replace,0,như thế nào,a răng,3,2,False,none,Interrogatives,,
MCQA_0018_4,MCQA,PNT2,replace,1,gì,chi,1,1,True,dialect_phrase,Interrogatives,gì,HaTinh_QB_QT; NgheAn
MCQA_0018_6,MCQA,PNN,replace,0,các,mấy,1,1,False,none,Negation/Function words,,
MCQA_0018_6,MCQA,PNN,delete,1,thế,,1,0,True,standard_word,Demonstratives/Deixis,vậy,NamBo
MCQA_0018_6,MCQA,PNN,replace,2,không,hông,1,1,True,dialect_phrase,Negation/Function words,không,NamBo
MCQA_0018_6,MCQA,PNN,replace,3,cáu,quạu,1,1,False,none,Predicate vocabulary,,
MCQA_0018_6,MCQA,PNT1,replace,0,như thế nào,răng,3,1,False,none,Interrogatives,,
MCQA_0018_6,MCQA,PNT1,insert,1,,mô,0,1,True,dialect_phrase,Negation/Function words,đâu (phủ định),ThanhHoa
MCQA_0018_6,MCQA,PNT2,replace,0,các,mấy,1,1,False,none,Negation/Function words,,
MCQA_0018_6,MCQA,PNT2,replace,1,như thế nào,a răng,3,2,False,none,Interrogatives,,
MCQA_0018_6,MCQA,PNT2,replace,2,không,nỏ,1,1,True,dialect_phrase,Negation/Function words,không,HaTinh_QB_QT; NgheAn
MCQA_0018_6,MCQA,PNT3,replace,0,các vị,mấy người,2,2,False,none,Pronouns,,
MCQA_0018_6,MCQA,PNT3,replace,1,thế nào,răng,2,1,True,dialect_phrase,Interrogatives,sao / thế nào,HaTinh_QB_QT; Hue
MCQA_0018_6,MCQA,PNT3,replace,2,cáu,đóa,1,1,False,none,Predicate vocabulary,,
MCQA_0020_1,MCQA,PNB,replace,0,thời,tuổi,1,1,False,none,Predicate vocabulary,,
MCQA_0020_1,MCQA,PNB,delete,1,ấy,,1,0,True,standard_word,Demonstratives/Deixis,ấy,BacBo
MCQA_0020_1,MCQA,PNN,replace,0,tôi,tui,1,1,True,dialect_phrase,Pronouns,tôi,NamBo
MCQA_0020_1,MCQA,PNT1,replace,0,bó với,bóa vứi,2,2,False,none,Orthographic variant,,
MCQA_0020_1,MCQA,PNT1,replace,1,ấy,nứ,1,1,True,dialect_phrase,Demonstratives/Deixis,ấy / đó,ThanhHoa
MCQA_0020_1,MCQA,PNT1,replace,2,trâu,tru,1,1,False,none,Orthographic variant,,
MCQA_0020_1,MCQA,PNT2,replace,0,gì đã,chi đạ,2,2,False,none,Multi-word idiom,,
MCQA_0020_1,MCQA,PNT2,replace,1,ấy,ấu,1,1,True,standard_word,Demonstratives/Deixis; Discourse particles,nớ; đỏ,HaTinh_QB_QT; NgheAn
MCQA_0020_1,MCQA,PNT2,replace,2,trâu,tru,1,1,False,none,Orthographic variant,,
MCQA_0020_1,MCQA,PNT3,replace,0,gì đã,chi đạ,2,2,False,none,Multi-word idiom,,
MCQA_0020_1,MCQA,PNT3,replace,1,ấy của,ấu cụa,2,2,False,none,Orthographic variant,,
MCQA_0020_2,MCQA,PNB,insert,0,,nhà,0,1,False,none,Unknown,,
MCQA_0020_2,MCQA,PNT1,replace,0,miêu,miu,1,1,False,none,Orthographic variant,,
MCQA_0020_2,MCQA,PNT2,replace,0,thế nào,răng,2,1,True,dialect_phrase,Interrogatives,sao / thế nào,HaTinh_QB_QT; NgheAn
MCQA_0020_2,MCQA,PNT2,replace,1,lớn,to,1,1,True,standard_word,Predicate vocabulary,nậy,HaTinh_QB_QT; NgheAn
MCQA_0020_2,MCQA,PNT2,replace,2,giữa,giửa,1,1,False,none,Orthographic variant,,
MCQA_0020_2,MCQA,PNT3,replace,0,cây,cơn,1,1,False,none,Predicate vocabulary,,
MCQA_0020_2,MCQA,PNT3,replace,1,thế nào,răng,2,1,True,dialect_phrase,Interrogatives,sao / thế nào,HaTinh_QB_QT; Hue
MCQA_0020_2,MCQA,PNT3,replace,2,lớn,to,1,1,True,standard_word,Predicate vocabulary,nậy,HaTinh_QB_QT
MCQA_0020_2,MCQA,PNT4,replace,0,miêu,mô,1,1,True,dialect_phrase,Interrogatives,đâu / nào,QuangNam
MCQA_0020_2,MCQA,PNT4,replace,1,như thế nào,ra ren,3,2,False,none,Interrogatives,,
MCQA_0020_2,MCQA,PNT4,replace,2,cả,nguyên,1,1,False,none,Negation/Function words,,
MCQA_0020_2,MCQA,PNT4,replace,3,lớn,to,1,1,False,none,Predicate vocabulary,,
MCQA_0025_10,MCQA,PNB,insert,0,,đâu,0,1,True,dialect_phrase,Interrogatives,đâu / nào,BacBo
MCQA_0025_10,MCQA,PNB,insert,1,,đi ạ,0,2,False,none,Unknown,,
MCQA_0025_10,MCQA,PNB,insert,2,,ạ,0,1,False,none,Unknown,,
MCQA_0025_10,MCQA,PNB,insert,3,,ạ,0,1,False,none,Unknown,,
MCQA_0025_10,MCQA,PNT1,replace,0,nói gì,nuối chi,2,2,False,none,Multi-word idiom,,
MCQA_0025_10,MCQA,PNT1,replace,1,viết,vít,1,1,False,none,Orthographic variant,,
MCQA_0025_10,MCQA,PNT1,replace,2,viết,vít,1,1,False,none,Orthographic variant,,
MCQA_0025_10,MCQA,PNT4,replace,0,gì,chi,1,1,True,dialect_phrase,Interrogatives,gì,QuangNam
MCQA_0025_10,MCQA,PNT4,insert,1,,dạ,0,1,False,none,Unknown,,
MCQA_0025_10,MCQA,PNT4,delete,2,ạ,,1,0,False,none,Unknown,,
MCQA_0025_10,MCQA,PNT4,insert,3,,dạ,0,1,False,none,Unknown,,
MCQA_0025_10,MCQA,PNT4,delete,4,ạ,,1,0,False,none,Unknown,,
MCQA_0025_10,MCQA,PNT4,insert,5,,dạ,0,1,False,none,Unknown,,
MCQA_0025_10,MCQA,PNT4,replace,6,ạ thế,rứa,2,1,False,none,Demonstratives/Deixis,,
MCQA_0025_10,MCQA,PNT4,insert,7,,dạ,0,1,False,none,Unknown,,
MCQA_0025_10,MCQA,PNT4,delete,8,ạ,,1,0,False,none,Unknown,,
MCQA_0025_9,MCQA,PNN,delete,0,như,,1,0,False,none,Unknown,,
MCQA_0025_9,MCQA,PNN,replace,1,khi,lúc,1,1,False,none,Connectives/Aspect markers,,
MCQA_0025_9,MCQA,PNN,replace,2,định,tính,1,1,False,none,Predicate vocabulary,,
MCQA_0025_9,MCQA,PNT1,replace,0,như thế nào,răng,3,1,False,none,Interrogatives,,
MCQA_0025_9,MCQA,PNT1,replace,1,nuối,núi,1,1,False,none,Orthographic variant,,
MCQA_0025_9,MCQA,PNT2,replace,0,như thế nào,a răng,3,2,False,none,Interrogatives,,
MCQA_0025_9,MCQA,PNT3,replace,0,thế nào,răng,2,1,True,dialect_phrase,Interrogatives,sao / thế nào,HaTinh_QB_QT; Hue
MCQA_0025_9,MCQA,PNT3,replace,1,bảo,nói,1,1,False,none,Predicate vocabulary,,
MCQA_0025_9,MCQA,PNT4,replace,0,thế nào,răn,2,1,True,standard_word,Interrogatives,ren; sao; sô,PhuYen; QuangNam; QuangNgai
MCQA_0025_9,MCQA,PNT4,replace,1,bảo,kêu,1,1,True,dialect_phrase,Predicate vocabulary,gọi,PhuYen; QuangNgai
MCQA_0030_1,MCQA,PNN,replace,0,van xin,năn nỉ,2,2,False,none,Idiomatic expressions,,
MCQA_0030_1,MCQA,PNN,replace,1,về điều,nghe chuyện,2,2,False,none,Predicate vocabulary,,
MCQA_0030_1,MCQA,PNN,replace,2,bảo,kêu,1,1,True,dialect_phrase,Predicate vocabulary,gọi,NamBo
MCQA_0030_1,MCQA,PNN,replace,3,về,dìa,1,1,True,dialect_phrase,Predicate vocabulary,về,NamBo
MCQA_0030_1,MCQA,PNN,replace,4,bảo,kêu,1,1,True,dialect_phrase,Predicate vocabulary,gọi,NamBo
MCQA_0030_1,MCQA,PNN,replace,5,bảo,kêu,1,1,True,dialect_phrase,Predicate vocabulary,gọi,NamBo
MCQA_0030_1,MCQA,PNN,replace,6,thức,đồ,1,1,False,none,Predicate vocabulary,,
MCQA_0030_1,MCQA,PNT1,replace,0,sẽ nói cho,sĩa nuối choa,3,3,False,none,Multi-word idiom,,
MCQA_0030_1,MCQA,PNT1,replace,1,chồng,chòng,1,1,False,none,Orthographic variant,,
MCQA_0030_1,MCQA,PNT1,replace,2,gì,chi,1,1,False,none,Interrogatives,,
MCQA_0030_1,MCQA,PNT1,replace,3,có,cóa,1,1,False,none,Orthographic variant,,
MCQA_0030_1,MCQA,PNT1,replace,4,có,cóa,1,1,False,none,Orthographic variant,,
MCQA_0030_1,MCQA,PNT1,replace,5,có,cóa,1,1,False,none,Orthographic variant,,
MCQA_0030_1,MCQA,PNT1,replace,6,có,cóa,1,1,False,none,Orthographic variant,,
MCQA_0030_1,MCQA,PNT2,replace,0,gì,chi,1,1,True,dialect_phrase,Interrogatives,gì,HaTinh_QB_QT; NgheAn
MCQA_0030_1,MCQA,PNT2,replace,1,bảo,kêu,1,1,False,none,Predicate vocabulary,,
MCQA_0030_1,MCQA,PNT2,replace,2,bảo,kêu,1,1,False,none,Predicate vocabulary,,
MCQA_0030_1,MCQA,PNT2,replace,3,bảo,kêu,1,1,False,none,Predicate vocabulary,,
MCQA_0030_1,MCQA,PNT3,replace,0,gì,chi,1,1,True,dialect_phrase,Interrogatives,gì; sao / thế nào,HaTinh_QB_QT; Hue
MCQA_0030_1,MCQA,PNT4,replace,0,gì,chi,1,1,True,dialect_phrase,Interrogatives,gì,QuangNam
MCQA_0030_1,MCQA,PNT4,replace,1,bảo,kêu,1,1,True,dialect_phrase,Predicate vocabulary,gọi,PhuYen; QuangNgai
MCQA_0030_1,MCQA,PNT4,replace,2,bảo,kêu,1,1,True,dialect_phrase,Predicate vocabulary,gọi,PhuYen; QuangNgai
MCQA_0030_1,MCQA,PNT4,replace,3,rời,đi,1,1,False,none,Predicate vocabulary,,
MCQA_0030_1,MCQA,PNT4,replace,4,bảo,kêu,1,1,True,dialect_phrase,Predicate vocabulary,gọi,PhuYen; QuangNgai
MCQA_0030_3,MCQA,PNB,replace,0,mắng,thét,1,1,True,standard_word,Predicate vocabulary,mắng,BacBo
MCQA_0030_3,MCQA,PNB,replace,1,gàn dở,ngớ ngẩn,2,2,False,none,Predicate vocabulary,,
MCQA_0030_3,MCQA,PNN,insert,0,,mà,0,1,False,none,Unknown,,
MCQA_0030_3,MCQA,PNN,replace,1,mắng,la,1,1,False,none,Predicate vocabulary,,
MCQA_0030_3,MCQA,PNN,replace,2,gàn dở,khùng điên,2,2,False,none,Predicate vocabulary,,
MCQA_0030_3,MCQA,PNN,replace,3,chẳng,hông có,1,2,False,none,Negation/Function words,,
MCQA_0030_3,MCQA,PNT1,replace,0,con,coan,1,1,False,none,Orthographic variant,,
MCQA_0030_3,MCQA,PNT1,replace,1,gì,chi,1,1,False,none,Interrogatives,,
MCQA_0030_3,MCQA,PNT2,replace,0,đã,đạ,1,1,True,dialect_phrase,Connectives/Aspect markers,đã,HaTinh_QB_QT
MCQA_0030_3,MCQA,PNT2,replace,1,bản,xóm,1,1,False,none,Predicate vocabulary,,
MCQA_0030_3,MCQA,PNT2,replace,2,gì đã,chi đạ,2,2,False,none,Multi-word idiom,,
MCQA_0030_3,MCQA,PNT2,replace,3,mắng,chưởi,1,1,True,dialect_phrase,Predicate vocabulary,mắng,HaTinh_QB_QT
MCQA_0030_3,MCQA,PNT2,replace,4,gàn dở,bị điên,2,2,False,none,Predicate vocabulary,,
MCQA_0030_3,MCQA,PNT2,replace,5,chẳng,nỏ,1,1,True,dialect_phrase,Negation/Function words,không,HaTinh_QB_QT; NgheAn
MCQA_0030_3,MCQA,PNT3,replace,0,vợ chồng,cấy dông,2,2,False,none,Kinship/Honorific terms,,
MCQA_0030_3,MCQA,PNT3,replace,1,gì,chi,1,1,True,dialect_phrase,Interrogatives,gì; sao / thế nào,HaTinh_QB_QT; Hue
MCQA_0030_3,MCQA,PNT3,replace,2,và làm theo,rồi mần dọi,3,3,False,none,Multi-word idiom,,
MCQA_0030_3,MCQA,PNT3,replace,3,mắng,chưởi,1,1,True,dialect_phrase,Predicate vocabulary,mắng,HaTinh_QB_QT
MCQA_0030_3,MCQA,PNT3,replace,4,vợ chồng,cấy dông,2,2,False,none,Kinship/Honorific terms,,
MCQA_0030_3,MCQA,PNT3,replace,5,chẳng,nỏ,1,1,True,dialect_phrase,Negation/Function words,không,HaTinh_QB_QT
MCQA_0030_3,MCQA,PNT3,replace,6,làm theo,mần dọi,2,2,False,none,Multi-word idiom,,
MCQA_0030_3,MCQA,PNT4,replace,0,gì,chi,1,1,True,dialect_phrase,Interrogatives,gì,QuangNam
MCQA_0030_3,MCQA,PNT4,replace,1,mắng,chửi,1,1,True,dialect_phrase,Predicate vocabulary,mắng,QuangNam
MCQA_0030_3,MCQA,PNT4,replace,2,gàn dở,khùng,2,1,False,none,Predicate vocabulary,,
MCQA_0036_5,MCQA,PNN,replace,0,bát,chén,1,1,False,none,Predicate vocabulary,,
MCQA_0036_5,MCQA,PNN,replace,1,bát,chén,1,1,False,none,Predicate vocabulary,,
MCQA_0036_5,MCQA,PNN,replace,2,bát,chén,1,1,False,none,Predicate vocabulary,,
MCQA_0036_5,MCQA,PNN,replace,3,bát,chén,1,1,False,none,Predicate vocabulary,,
MCQA_0036_5,MCQA,PNN,replace,4,bát,chén,1,1,False,none,Predicate vocabulary,,
MCQA_0036_5,MCQA,PNN,replace,5,bát,chén,1,1,False,none,Predicate vocabulary,,
MCQA_0036_5,MCQA,PNT1,replace,0,hỏi,huổi,1,1,False,none,Orthographic variant,,
MCQA_0036_5,MCQA,PNT1,replace,1,gì,chi,1,1,False,none,Interrogatives,,
MCQA_0036_5,MCQA,PNT1,replace,2,nào,mô,1,1,True,dialect_phrase,Negation/Function words,đâu (phủ định),ThanhHoa
MCQA_0036_5,MCQA,PNT1,replace,3,nào,mô,1,1,True,dialect_phrase,Negation/Function words,đâu (phủ định),ThanhHoa
MCQA_0036_5,MCQA,PNT1,replace,4,nào,mô,1,1,True,dialect_phrase,Negation/Function words,đâu (phủ định),ThanhHoa
MCQA_0036_5,MCQA,PNT1,replace,5,nào,mô,1,1,True,dialect_phrase,Negation/Function words,đâu (phủ định),ThanhHoa
MCQA_0036_5,MCQA,PNT1,replace,6,nào,mô,1,1,True,dialect_phrase,Negation/Function words,đâu (phủ định),ThanhHoa
MCQA_0036_5,MCQA,PNT1,replace,7,nào,mô,1,1,True,dialect_phrase,Negation/Function words,đâu (phủ định),ThanhHoa
MCQA_0036_5,MCQA,PNT1,replace,8,như thế nào,răng,3,1,False,none,Interrogatives,,
MCQA_0036_5,MCQA,PNT2,replace,0,gì,chi,1,1,True,dialect_phrase,Interrogatives,gì,HaTinh_QB_QT; NgheAn
MCQA_0036_5,MCQA,PNT2,replace,1,nào,mô,1,1,True,dialect_phrase,Interrogatives; Negation/Function words,đâu (phủ định); đâu / nào,HaTinh_QB_QT; NgheAn
MCQA_0036_5,MCQA,PNT2,replace,2,nào,mô,1,1,True,dialect_phrase,Interrogatives; Negation/Function words,đâu (phủ định); đâu / nào,HaTinh_QB_QT; NgheAn
MCQA_0036_5,MCQA,PNT2,replace,3,nào,mô,1,1,True,dialect_phrase,Interrogatives; Negation/Function words,đâu (phủ định); đâu / nào,HaTinh_QB_QT; NgheAn
MCQA_0036_5,MCQA,PNT2,replace,4,nào,mô,1,1,True,dialect_phrase,Interrogatives; Negation/Function words,đâu (phủ định); đâu / nào,HaTinh_QB_QT; NgheAn
MCQA_0036_5,MCQA,PNT2,replace,5,nào,mô,1,1,True,dialect_phrase,Interrogatives; Negation/Function words,đâu (phủ định); đâu / nào,HaTinh_QB_QT; NgheAn
MCQA_0036_5,MCQA,PNT2,replace,6,nào,mô,1,1,True,dialect_phrase,Interrogatives; Negation/Function words,đâu (phủ định); đâu / nào,HaTinh_QB_QT; NgheAn
MCQA_0036_5,MCQA,PNT2,replace,7,như thế nào,a răng,3,2,False,none,Interrogatives,,
MCQA_0036_5,MCQA,PNT3,replace,0,cậu,thằng,1,1,False,none,Pronouns,,
MCQA_0036_5,MCQA,PNT3,replace,1,điều gì,cấy chi,2,2,False,none,Multi-word idiom,,
MCQA_0036_5,MCQA,PNT3,replace,2,bát nào,chén mô,2,2,False,none,Multi-word idiom,,
MCQA_0036_5,MCQA,PNT3,replace,3,bát,chén,1,1,False,none,Predicate vocabulary,,
MCQA_0036_5,MCQA,PNT3,replace,4,bát nào,chén mô,2,2,False,none,Multi-word idiom,,
MCQA_0036_5,MCQA,PNT3,replace,5,bát,chén,1,1,False,none,Predicate vocabulary,,
MCQA_0036_5,MCQA,PNT3,replace,6,bát nào,chén mô,2,2,False,none,Multi-word idiom,,
MCQA_0036_5,MCQA,PNT3,replace,7,bát nào,chén mô,2,2,False,none,Multi-word idiom,,
MCQA_0036_5,MCQA,PNT3,replace,8,nào,mô,1,1,True,dialect_phrase,Interrogatives; Negation/Function words,đâu (phủ định); đâu / nào,HaTinh_QB_QT; Hue
MCQA_0036_5,MCQA,PNT3,replace,9,nào,mô,1,1,True,dialect_phrase,Interrogatives; Negation/Function words,đâu (phủ định); đâu / nào,HaTinh_QB_QT; Hue
MCQA_0036_5,MCQA,PNT3,replace,10,và,với,1,1,False,none,Connectives/Aspect markers,,
MCQA_0036_5,MCQA,PNT3,replace,11,thế nào,răng,2,1,True,dialect_phrase,Interrogatives,sao / thế nào,HaTinh_QB_QT; Hue
MCQA_0036_5,MCQA,PNT4,replace,0,gì,chi,1,1,True,dialect_phrase,Interrogatives,gì,QuangNam
MCQA_0036_5,MCQA,PNT4,replace,1,nào,mô,1,1,True,dialect_phrase,Interrogatives,đâu / nào,QuangNam
MCQA_0036_5,MCQA,PNT4,replace,2,nào,mô,1,1,True,dialect_phrase,Interrogatives,đâu / nào,QuangNam
MCQA_0036_5,MCQA,PNT4,replace,3,nào,mô,1,1,True,dialect_phrase,Interrogatives,đâu / nào,QuangNam
