standard_span,dialect_span,category,n_occurrences,delta_nll_swap_mean,delta_nll_swap_std,delta_nll_swap_median,dialects,tasks
không làm gì,nỏ mần chi,Interrogatives,1,1.035595417022705,,1.035595417022705,PNT2,SENT
nó như thế nào,răng,Interrogatives,1,1.0240931510925293,,1.0240931510925293,PNT2,QA
tự do,thả giàn,Idiomatic expressions,1,1.023883581161499,,1.023883581161499,PNN,NLI
gì chúng tôi,chi choa,Interrogatives,1,1.005937576293945,,1.005937576293945,PNT3,NLI
điều gì,cái chi,Interrogatives,1,1.0048317909240725,,1.0048317909240725,PNT2,QA
nơi nào đã,lộ mô đạ,Interrogatives,1,0.9968130588531494,,0.9968130588531494,PNT3,QA
họ,mấy người nớ,Pronouns,1,0.9642510414123536,,0.9642510414123536,PNT3,QA
như thế nhỉ,vậy ta,Interrogatives,1,0.9613890647888184,,0.9613890647888184,PNN,SENT
thằng chúng mày,đứa tụi bây,Pronouns,1,0.9574956893920898,,0.9574956893920898,PNN,SENT
đâu nhỉ,mô hè,Interrogatives,1,0.9500012397766112,,0.9500012397766112,PNT3,SENT
tao không mắc ói,tau nỏ buồn oẹ,Pronouns,1,0.9496631622314452,,0.9496631622314452,PNT3,SENT
vào nó,vô hắn,Pronouns,1,0.9486520290374756,,0.9486520290374756,PNT3,NLI
như thế nào,ơ răng,Interrogatives,5,0.9463246822357178,0.46526057280018623,1.067244052886963,PNT2,"MCQA, QA"
tôi không,tau khung,Pronouns,1,0.946021318435669,,0.946021318435669,PNT3,NLI
cô gái cưới chồng,ả nớ lấy nhông,Kinship/Honorific terms,1,0.9438691139221193,,0.9438691139221193,PNT2,NLI
nó thích đỗ đâu,hắn ưng đậu mô,Interrogatives,1,0.941908359527588,,0.941908359527588,PNT3,SENT
trong giai,ở kì,Predicate vocabulary,1,0.9408721923828124,,0.9408721923828124,PNT3,QA
như thế nào đến,ra ren tới,Interrogatives,1,0.9347865581512452,,0.9347865581512452,PNT4,QA
nào,mô cả,Interrogatives,1,0.9329347610473632,,0.9329347610473632,PNT2,NLI
cô ấy,o nớ,Pronouns,1,0.9298522472381592,,0.9298522472381592,PNT2,NLI
không,mà nỏ,Negation/Function words,1,0.927828311920166,,0.927828311920166,PNT2,QA
người phụ nữ đã,ả nớ đạ,Kinship/Honorific terms,1,0.9231207370758056,,0.9231207370758056,PNT3,NLI
khu vực,mấy đoạn,Predicate vocabulary,1,0.9130909442901612,,0.9130909442901612,PNT2,QA
cô ấy,ả nớ,Pronouns,3,0.9130471547444662,0.07796955152142351,0.9005007743835449,PNT3,NLI
nào cũng,mô củng,Interrogatives,1,0.9098296165466307,,0.9098296165466307,PNT1,SENT
điều đó,chuyện nớ,Demonstratives/Deixis,1,0.9028301239013672,,0.9028301239013672,PNT4,NLI
chúng tôi,nhà choa,Pronouns,1,0.9024386405944824,,0.9024386405944824,PNT2,NLI
vậy nên,di niên,Connectives/Aspect markers,1,0.901146411895752,,0.901146411895752,PNT1,NLI
điều này,chuyện ni,Demonstratives/Deixis,1,0.8973615169525146,,0.8973615169525146,PNT4,QA
đó không,nớ nỏ,Demonstratives/Deixis,3,0.8921909332275391,0.26332614666443244,0.7401595115661621,"PNT2, PNT3",NLI
cô ấy vỡ vụn,cổ nát bét,Pronouns,1,0.8895292282104492,,0.8895292282104492,PNT4,NLI
cô gái cưới chồng,ả nớ lấy dông,Kinship/Honorific terms,1,0.8830103874206543,,0.8830103874206543,PNT3,NLI
khổng lồ như vậy,bà lả in rứa,Demonstratives/Deixis,1,0.8769145011901855,,0.8769145011901855,PNT3,NLI
sao,chi,Interrogatives,1,0.8765802383422852,,0.8765802383422852,PNT2,SENT
ngày nào,hôm mô,Interrogatives,1,0.8757133483886719,,0.8757133483886719,PNT3,QA
gặp,chộ,Predicate vocabulary,2,0.8691451549530029,0.5594441173168719,0.8691451549530029,PNT3,NLI
thế nào,ra răng,Interrogatives,1,0.8679087162017822,,0.8679087162017822,PNT3,QA
nào tao nhìn,mô tau chộ,Interrogatives,1,0.8649654388427734,,0.8649654388427734,PNT3,SENT
gì tại,chi ở cì chỗ,Interrogatives,1,0.864710807800293,,0.864710807800293,PNT3,QA
ngày nay,bữa ni,Demonstratives/Deixis,1,0.8594279289245605,,0.8594279289245605,PNT2,QA
nào đã,mô đả,Interrogatives,1,0.8575410842895508,,0.8575410842895508,PNT1,QA
nay nó,ni hắn,Pronouns,1,0.8533563613891602,,0.8533563613891602,PNT3,SENT
nói rằng ông,kêu là ổng,Predicate vocabulary,1,0.8488187789916992,,0.8488187789916992,PNN,NLI
nơi nào,chỗ mô,Interrogatives,1,0.8420677185058594,,0.8420677185058594,PNT4,QA
do chưa đóng,doa chư đuống,Predicate vocabulary,1,0.8360416889190674,,0.8360416889190674,PNT1,NLI
xem,chộ,Predicate vocabulary,1,0.8322501182556152,,0.8322501182556152,PNT3,NLI
này vào đĩa,ni vô dịa,Demonstratives/Deixis,1,0.8293781280517578,,0.8293781280517578,PNT3,SENT
vào làm,vô mần,Predicate vocabulary,1,0.8291106224060059,,0.8291106224060059,PNT3,QA
ngay lập,tắp lự,Predicate vocabulary,1,0.8243930339813232,,0.8243930339813232,PNT2,NLI
như thế nào,ra ren,Interrogatives,22,0.8238303661346436,0.36984231594232014,0.8965485095977783,PNT4,"MCQA, QA, SENT"
nào,mô đoạn,Interrogatives,1,0.8213591575622559,,0.8213591575622559,PNT2,QA
ngày,bữa,Predicate vocabulary,1,0.8188509941101074,,0.8188509941101074,PNN,NLI
sao ấy,răng á,Interrogatives,1,0.8151473999023438,,0.8151473999023438,PNT3,SENT
điên rồ,tửng,Predicate vocabulary,1,0.8134417533874512,,0.8134417533874512,PNN,NLI
gì nhưng mọi người đều,chi chớ ai cũng,Interrogatives,1,0.8122334480285645,,0.8122334480285645,PNT4,NLI
cô,lạo,Pronouns,1,0.8117871284484863,,0.8117871284484863,PNT3,NLI
vì không,tại hông,Negation/Function words,1,0.8114485740661621,,0.8114485740661621,PNN,QA
quả này,cú ni,Demonstratives/Deixis,1,0.8080506324768066,,0.8080506324768066,PNT4,SENT
trong giai đoạn,hồi,Connectives/Aspect markers,1,0.8021876811981201,,0.8021876811981201,PNT4,NLI
nào tao,mô tau,Interrogatives,1,0.8003578186035156,,0.8003578186035156,PNT2,SENT
nhanh thế,lẹ dữ hồi,Predicate vocabulary,1,0.7951035499572754,,0.7951035499572754,PNN,SENT
như thế nào,kiểu ren,Interrogatives,1,0.7931008338928223,,0.7931008338928223,PNT4,QA
nay tao,ni tau,Pronouns,1,0.7910580635070801,,0.7910580635070801,PNT3,SENT
hôm kia đâu,bựa nớ mô,Demonstratives/Deixis,1,0.7905082702636719,,0.7905082702636719,PNT2,MCQA
thế nào,như răn,Interrogatives,1,0.7854368686676025,,0.7854368686676025,PNT4,QA
khổng lồ,bự chảng,Predicate vocabulary,1,0.777674674987793,,0.777674674987793,PNN,NLI
sợ hãi,sình hại,Predicate vocabulary,1,0.7772178649902344,,0.7772178649902344,PNT2,NLI
nào,mô rựa,Interrogatives,1,0.7764186859130859,,0.7764186859130859,PNT3,QA
đó tao,nớ tau,Pronouns,2,0.7758474349975586,0.0,0.7758474349975586,"PNT2, PNT3",SENT
làm sao,mần răng,Interrogatives,2,0.7730894088745117,0.23638784913129304,0.7730894088745117,"PNT1, PNT2",SENT
này chúng ta,ni bọn miềng,Pronouns,1,0.7699646949768066,,0.7699646949768066,PNT3,SENT
nhỉ,hen,Discourse particles,1,0.7680268287658691,,0.7680268287658691,PNN,SENT
bà đấy thế nào,mệ nớ ra răng,Kinship/Honorific terms,1,0.7650208473205566,,0.7650208473205566,PNT3,SENT
hôm nay đâu,bựa ni mô,Demonstratives/Deixis,1,0.7623474597930908,,0.7623474597930908,PNT2,MCQA
thế,thể,Demonstratives/Deixis,1,0.7615795135498047,,0.7615795135498047,PNT3,QA
sao bọn nó,ren tụi hắn,Interrogatives,1,0.7575478553771973,,0.7575478553771973,PNT4,SENT
đã không,đạ khung,Negation/Function words,1,0.752269983291626,,0.752269983291626,PNT3,QA
"thân""","thân tau""",Pronouns,1,0.750800609588623,,0.750800609588623,PNT3,NLI
đã không,đạ nỏ,Negation/Function words,2,0.7477978467941284,0.6966002462023578,0.7477978467941284,PNT2,"MCQA, QA"
vậy,dậy,Demonstratives/Deixis,1,0.7476515769958496,,0.7476515769958496,PNT4,SENT
nào,mô khác,Interrogatives,1,0.7464339733123779,,0.7464339733123779,PNT3,QA
chúng mày,bọn mi mà,Pronouns,1,0.7456345558166504,,0.7456345558166504,PNT3,SENT
thế này,ri,Demonstratives/Deixis,3,0.7455635070800781,0.39597080949745533,0.974177360534668,"PNT1, PNT3, PNT4",SENT
vỡ vụn,banh,Predicate vocabulary,1,0.7413849830627441,,0.7413849830627441,PNN,NLI
trong tương lai,sau ni,Idiomatic expressions,2,0.7319562435150146,0.0,0.7319562435150146,"PNT3, PNT4",NLI
cô,ả,Pronouns,1,0.7313828468322754,,0.7313828468322754,PNT3,NLI
đó vậy ta,nớ hè,Demonstratives/Deixis,1,0.7310848236083984,,0.7310848236083984,PNT3,SENT
thế này thế kia,như ri như rứa,Demonstratives/Deixis,1,0.7292890548706055,,0.7292890548706055,PNT2,SENT
ấy đã,đạ,Connectives/Aspect markers,1,0.7263388633728027,,0.7263388633728027,PNT3,NLI
xem cái này,xiêm cấy ni,Demonstratives/Deixis,1,0.7252092361450195,,0.7252092361450195,PNT1,SENT
nó đã,hắn đạ,Pronouns,1,0.7218649387359619,,0.7218649387359619,PNT3,QA
cô bé,ả nớ,Pronouns,1,0.7212066650390625,,0.7212066650390625,PNT3,NLI
rất lâu,khi mô đến chừ,Idiomatic expressions,1,0.7192144393920898,,0.7192144393920898,PNT3,NLI
tôi,tau,Pronouns,8,0.7182494103908539,0.45040225211863405,0.6569074392318726,"PNT1, PNT2, PNT3","NLI, SENT"
tình hình kinh doanh,vụ làm ăn,Idiomatic expressions,1,0.7177684307098389,,0.7177684307098389,PNN,NLI
từng,khi mô,Interrogatives,1,0.7145185470581055,,0.7145185470581055,PNT3,NLI
bà đấy,mệ nớ,Pronouns,1,0.7144684791564941,,0.7144684791564941,PNT3,SENT
thế nào,ri,Interrogatives,2,0.7101397514343262,0.20320243213817935,0.7101397514343262,"PNT1, PNT4",SENT
thế nào,ren,Interrogatives,17,0.7086538146523869,0.3341099060376609,0.8038198947906494,PNT4,"MCQA, QA, SENT"
thế nào,răng,Interrogatives,104,0.7074407637119293,0.35148573189489124,0.7857958078384399,"PNT1, PNT2, PNT3, PNT4","MCQA, NLI, QA, SENT"
nơi như thế nào,chỗ a răng,Interrogatives,1,0.7067122459411621,,0.7067122459411621,PNT2,QA
nhỉ,ta,Discourse particles,2,0.7066466808319092,0.16961409127330151,0.7066466808319092,PNN,SENT
làm gì vậy nhỉ,mần chi rứa hè,Interrogatives,1,0.7021708488464355,,0.7021708488464355,PNT2,SENT
những gì,mấy cấy,Interrogatives,1,0.6999771595001221,,0.6999771595001221,PNT3,NLI
như thế nào,ra răng,Interrogatives,11,0.6976199583573774,0.3706121267558152,0.6867966651916504,"PNT1, PNT2","MCQA, NLI, QA"
cô ấy,chị nớ,Pronouns,1,0.6949410438537598,,0.6949410438537598,PNT3,NLI
số lượng lớn,vơ trời,Idiomatic expressions,1,0.6948709487915039,,0.6948709487915039,PNT2,NLI
nhưng không,mà nỏ,Negation/Function words,1,0.6873540878295898,,0.6873540878295898,PNT3,NLI
làm gì,mần cấy chi,Interrogatives,5,0.6836966037750244,0.23511457740127234,0.7108592987060547,"PNT2, PNT3","MCQA, NLI, QA"
cô ấy,hấn,Pronouns,1,0.6822090148925781,,0.6822090148925781,PNT2,NLI
như thế nào,à răng,Interrogatives,3,0.6814766724904379,0.4821116968020028,0.64756178855896,PNT2,"MCQA, QA"
thế nào,cái chi,Interrogatives,1,0.6800074577331543,,0.6800074577331543,PNT1,QA
mẹ và anh,mạ với eng,Kinship/Honorific terms,1,0.679105281829834,,0.679105281829834,PNT3,MCQA
nhìn thấy,ngó chộ,Predicate vocabulary,1,0.6762733459472656,,0.6762733459472656,PNT3,QA
như thế nào,a răng,Interrogatives,30,0.6750568230946858,0.3887357454172983,0.6907238960266113,"PNT2, PNT3","MCQA, QA"
các quốc gia,mấy nước,Negation/Function words,1,0.6709089279174805,,0.6709089279174805,PNN,QA
tao quá vậy,tau rứa he,Pronouns,1,0.6678042411804199,,0.6678042411804199,PNT3,SENT
ấy đã,nớ đạ,Demonstratives/Deixis,1,0.6669020652770996,,0.6669020652770996,PNT3,NLI
đỗ đâu,đậu mô,Interrogatives,1,0.6666412353515625,,0.6666412353515625,PNT2,SENT
tao quá vậy,tau rứa,Pronouns,1,0.6663293838500977,,0.6663293838500977,PNT2,SENT
nay tao,ni ta,Demonstratives/Deixis,1,0.6662859916687012,,0.6662859916687012,PNT4,SENT
ghen tị,èng neng,Predicate vocabulary,1,0.6634728908538818,,0.6634728908538818,PNT3,MCQA
sao cha muốn,răng bọ ưng,Interrogatives,1,0.6632175445556641,,0.6632175445556641,PNT3,MCQA
vì cha không,tại ba hổng,Kinship/Honorific terms,1,0.6579360961914062,,0.6579360961914062,PNN,MCQA
mong muốn,ưng,Predicate vocabulary,3,0.6570694446563721,0.0,0.6570694446563721,"PNT1, PNT2, PNT3",NLI
người như thế nào,ngài a răng,Interrogatives,1,0.6556553840637207,,0.6556553840637207,PNT2,SENT
nó đỗ mình thích,hắn đậu miềng ưng,Pronouns,1,0.6555604934692383,,0.6555604934692383,PNT3,SENT
cô ấy,cổ,Pronouns,11,0.6516786705363881,0.17609793401356735,0.699002742767334,"PNN, PNT4","NLI, SENT"
đâu,đi mô,Interrogatives,4,0.6512911319732666,0.0,0.6512911319732666,PNT1,MCQA
nào vào,chi vô,Interrogatives,1,0.6495630741119385,,0.6495630741119385,PNT3,QA
cô ấy,bả mới,Pronouns,1,0.6490774154663086,,0.6490774154663086,PNT4,NLI
nó đỗ,hấn đậu,Predicate vocabulary,1,0.6487092971801758,,0.6487092971801758,PNT2,SENT
vì sao cha,tại răng bố,Interrogatives,1,0.6485738754272461,,0.6485738754272461,PNT2,MCQA
nên đã,niên đả,Connectives/Aspect markers,1,0.6479177474975586,,0.6479177474975586,PNT1,QA
chúng tôi,choa,Pronouns,1,0.6461091041564941,,0.6461091041564941,PNT3,NLI
cô,con,Kinship/Honorific terms,4,0.6448091268539429,0.7350946339362067,0.6448091268539429,"PNN, PNT2","MCQA, NLI"
sợ hãi,hại,Predicate vocabulary,2,0.6409392356872559,0.0,0.6409392356872559,"PNT2, PNT3",NLI
hôm xưa đâu,chầu tê mô,Interrogatives,1,0.6399943828582764,,0.6399943828582764,PNT3,MCQA
gì cũng,chi cụng,Interrogatives,1,0.6378087997436523,,0.6378087997436523,PNT2,SENT
vào,vô kì,Predicate vocabulary,2,0.6301424503326416,0.4453657482146173,0.6301424503326416,PNT3,"QA, SENT"
trêu đùa quái,chọc đại,Predicate vocabulary,1,0.6250166893005371,,0.6250166893005371,PNT3,SENT
khi xem những,lúc coi mấy,Predicate vocabulary,1,0.6228902339935303,,0.6228902339935303,PNN,NLI
hôm xưa đâu,mọi hồi mô,Interrogatives,1,0.6214199066162109,,0.6214199066162109,PNT2,MCQA
như thế nào nhỉ,sao ta,Interrogatives,1,0.6196961402893066,,0.6196961402893066,PNN,SENT
mới muốn giành,mì ưng treng,Predicate vocabulary,1,0.6194319725036621,,0.6194319725036621,PNT3,NLI
không thể,nỏ,Negation/Function words,2,0.6190322637557983,0.5379426496679484,0.6190322637557983,"PNT2, PNT3","QA, SENT"
các,mấy cì,Pronouns,1,0.6177811622619629,,0.6177811622619629,PNT3,NLI
rơi vào,lọt vô,Predicate vocabulary,1,0.6165597438812256,,0.6165597438812256,PNN,QA
giống tao nhưng,y tau mà,Pronouns,1,0.6071019172668457,,0.6071019172668457,PNT3,SENT
nay,ni,Demonstratives/Deixis,9,0.6069345209333632,0.37094165763116205,0.6063616275787354,"PNT1, PNT2, PNT3, PNT4","MCQA, NLI, QA, SENT"
này,cấy ni,Demonstratives/Deixis,1,0.6058182716369629,,0.6058182716369629,PNT3,SENT
có vẻ ngoài không,nhìn hông,Negation/Function words,1,0.6026382446289062,,0.6026382446289062,PNN,NLI
này không,ni nỏ,Demonstratives/Deixis,1,0.6006011962890625,,0.6006011962890625,PNT2,NLI
đã,nớ,Demonstratives/Deixis,1,0.5993227958679199,,0.5993227958679199,PNT4,NLI
bây chừ,ni,Demonstratives/Deixis,2,0.5977311134338379,0.0,0.5977311134338379,"PNT2, PNT3",SENT
đã sao,ren,Interrogatives,1,0.5958471298217773,,0.5958471298217773,PNT4,SENT
hôm nào,bựa mô,Interrogatives,1,0.5955500602722168,,0.5955500602722168,PNT2,SENT
bởi vì,tại,Connectives/Aspect markers,1,0.5943212509155273,,0.5943212509155273,PNT3,NLI
như thế nào,chi,Interrogatives,10,0.5934284448623657,0.3258437674186099,0.6344969272613525,"PNT2, PNT3, PNT4","MCQA, QA"
miệt,kì,Predicate vocabulary,1,0.5930604934692383,,0.5930604934692383,PNT1,NLI
gì vậy nhỉ,chi rứa he,Interrogatives,1,0.5921158790588379,,0.5921158790588379,PNT3,SENT
như thế nào,dư răng,Interrogatives,1,0.5917272567749023,,0.5917272567749023,PNT3,MCQA
việc ông ấy,vụ ổng,Predicate vocabulary,1,0.5877833366394043,,0.5877833366394043,PNN,SENT
vì cha không,tại bố nỏ,Kinship/Honorific terms,1,0.5864706039428711,,0.5864706039428711,PNT2,MCQA
nó không,hấn nỏ,Negation/Function words,1,0.586432933807373,,0.586432933807373,PNT2,SENT
nơi nào,từng mô,Interrogatives,1,0.579068660736084,,0.579068660736084,PNT3,QA
chiến,ni,Demonstratives/Deixis,1,0.5788445472717285,,0.5788445472717285,PNT3,NLI
này không,ni khung,Demonstratives/Deixis,1,0.5776970386505127,,0.5776970386505127,PNT3,NLI
khiến các,mần mấy,Predicate vocabulary,1,0.5776150226593018,,0.5776150226593018,PNT3,NLI
đâu nhỉ,mô hầy,Interrogatives,1,0.576054573059082,,0.576054573059082,PNT2,SENT
chứ không,chơ khung,Negation/Function words,1,0.5713815689086914,,0.5713815689086914,PNT3,SENT
hối hả,tất ta tất tưởi,Idiomatic expressions,1,0.5702290534973145,,0.5702290534973145,PNT3,MCQA
ôtô cá nhân,xe hơi riêng,Predicate vocabulary,1,0.5698761940002441,,0.5698761940002441,PNT4,NLI
không thành công,hông được,Negation/Function words,1,0.5687518119812012,,0.5687518119812012,PNT4,NLI
anh ấy,hấn,Pronouns,1,0.5670595169067383,,0.5670595169067383,PNT3,NLI
ngày qua,bữa,Predicate vocabulary,1,0.5663652420043945,,0.5663652420043945,PNN,NLI
thì tao,chắc tau,Pronouns,1,0.5621500015258789,,0.5621500015258789,PNT2,SENT
đó cha mẹ,nớ bọ mạ,Kinship/Honorific terms,1,0.5614719390869141,,0.5614719390869141,PNT3,SENT
nay đâu,ni mô,Interrogatives,1,0.5567498207092285,,0.5567498207092285,PNT3,MCQA
chúng mày lớn khôn lớn,bây nậy nậy,Predicate vocabulary,1,0.5565781593322754,,0.5565781593322754,PNT3,SENT
nào,mô,Interrogatives,48,0.5520658145348231,0.38824356663753046,0.4541141986846923,PNT4,"MCQA, NLI, QA, SENT"
muốn như thế nào,ưng chi nựa,Interrogatives,1,0.5520539283752441,,0.5520539283752441,PNT3,SENT
những khu vực,mấy vùng,Negation/Function words,1,0.5516257286071777,,0.5516257286071777,PNN,QA
à,hả,Discourse particles,1,0.5508255958557129,,0.5508255958557129,PNN,SENT
gì đã,chi đạ,Interrogatives,5,0.5481591701507569,0.250070052514059,0.5824027061462402,"PNT2, PNT3","MCQA, NLI"
vì cậu,tại lạo,Pronouns,3,0.546600341796875,0.0,0.546600341796875,PNT2,MCQA
những gì đã,mấy chuyện,Predicate vocabulary,1,0.5435428619384766,,0.5435428619384766,PNT4,NLI
khi đó,hồi nớ,Demonstratives/Deixis,1,0.541978120803833,,0.541978120803833,PNT4,QA
cậu bé,thằng cu,Pronouns,1,0.5382590293884277,,0.5382590293884277,PNT3,NLI
hà,rứa,Demonstratives/Deixis,1,0.536679744720459,,0.536679744720459,PNT2,SENT
hà,rứa,Discourse particles,1,0.536679744720459,,0.536679744720459,PNT4,SENT
nào vào,mô vô,Interrogatives,1,0.5348913669586182,,0.5348913669586182,PNT2,QA
nào mẹ làm,mô mệ mần,Interrogatives,1,0.5344939231872559,,0.5344939231872559,PNT2,SENT
và sự,với,Connectives/Aspect markers,1,0.5324075222015381,,0.5324075222015381,PNT4,QA
chúng mày,nhà bây,Pronouns,1,0.5299968719482422,,0.5299968719482422,PNT2,SENT
nổi bật,trội,Predicate vocabulary,1,0.5280547142028809,,0.5280547142028809,PNT4,QA
đó,đớ,Demonstratives/Deixis,1,0.5277812480926514,,0.5277812480926514,PNT1,NLI
tao ngày nào,ta ngà mô,Interrogatives,1,0.5275497436523438,,0.5275497436523438,PNT4,SENT
cô,cổ,Pronouns,4,0.5269336700439453,0.22514283428351778,0.5334949493408203,PNN,"NLI, SENT"
khi đó,chầu nớ,Demonstratives/Deixis,1,0.5205943584442139,,0.5205943584442139,PNT3,QA
chàng trai,nó,Pronouns,1,0.5196638107299805,,0.5196638107299805,PNT1,NLI
những,mấy cấy,Negation/Function words,2,0.5190185308456421,0.4862712877431684,0.5190185308456421,PNT2,"MCQA, NLI"
cha mẹ,ba mạ,Kinship/Honorific terms,1,0.5179462432861328,,0.5179462432861328,PNT2,SENT
thế kia không,in rứa nỏ,Demonstratives/Deixis,1,0.5179171562194824,,0.5179171562194824,PNT3,SENT
và làm theo,rồi mần dọi,Connectives/Aspect markers,1,0.5164492130279541,,0.5164492130279541,PNT3,MCQA
